<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEN_PE,D,20180509,000000,12.5,12.5,12,12,0,0
PEN_PE,D,20180510,000000,12.6,12.6,12.5,12.5,0,0
PEN_PE,D,20180514,000000,11.3,11.3,11,11,0,0
PEN_PE,D,20180515,000000,11,11,10.6,10.6,0,0
PEN_PE,D,20180516,000000,11.8,12.5,11.8,12.4,0,0
PEN_PE,D,20180517,000000,11.4,12.4,11.4,12.4,0,0
PEN_PE,D,20180518,000000,11.2,12.4,10.9,12.4,0,0
PEN_PE,D,20180521,000000,12.2,12.7,12.2,12.7,0,0
PEN_PE,D,20180522,000000,12.7,13.3,12.3,12.7,0,0
PEN_PE,D,20180523,000000,12.9,13.1,12.3,12.8,0,0
PEN_PE,D,20180524,000000,13.2,13.3,12.7,13.2,0,0
PEN_PE,D,20180525,000000,13.2,13.4,13,13.4,0,0
PEN_PE,D,20180528,000000,13.4,13.4,13.3,13.3,0,0
PEN_PE,D,20180529,000000,13.2,13.3,13.2,13.3,0,0
PEN_PE,D,20180530,000000,13.4,14.3,12.4,13.1,0,0
PEN_PE,D,20180601,000000,13.6,13.8,13.6,13.8,0,0
PEN_PE,D,20180604,000000,13.1,14.3,13,13.8,0,0
PEN_PE,D,20180606,000000,13.5,14.1,13,13.9,0,0
PEN_PE,D,20180607,000000,13,13.5,12.6,13.5,0,0
PEN_PE,D,20180608,000000,12.5,13.5,12.5,13.5,0,0
PEN_PE,D,20180611,000000,13.5,13.5,12.9,13.4,0,0
PEN_PE,D,20180612,000000,13.5,13.9,13.1,13.9,0,0
PEN_PE,D,20180613,000000,13,14.1,13,13.9,0,0
PEN_PE,D,20180614,000000,14.2,14.4,12.7,13.9,0,0
PEN_PE,D,20180615,000000,14.1,14.9,14.1,14.9,0,0
PEN_PE,D,20180618,000000,14.2,14.2,14,14,0,0
PEN_PE,D,20180619,000000,14.5,14.5,14.5,14.5,0,0
PEN_PE,D,20180620,000000,14.5,15,14.5,14.9,0,0
PEN_PE,D,20180621,000000,14.9,15.2,14.9,15.1,0,0
PEN_PE,D,20180622,000000,15.3,15.3,15.2,15.2,0,0
PEN_PE,D,20180627,000000,14.6,14.6,14.6,14.6,0,0
PEN_PE,D,20180629,000000,13.8,13.8,13.8,13.8,0,0
PEN_PE,D,20180703,000000,14.2,14.2,13.7,13.7,0,0
PEN_PE,D,20180704,000000,14.2,15.1,13.6,13.6,0,0
PEN_PE,D,20180706,000000,13.3,14.2,13.3,14.2,0,0
PEN_PE,D,20180709,000000,14.2,14.2,13.3,13.4,0,0
PEN_PE,D,20180710,000000,13.2,14.3,13.1,14.3,0,0
PEN_PE,D,20180711,000000,13,14.1,13,14.1,0,0
PEN_PE,D,20180713,000000,12.9,14.1,12.9,14.1,0,0
PEN_PE,D,20180719,000000,13.3,13.3,13.3,13.3,0,0
PEN_PE,D,20180720,000000,13.1,13.1,12.9,12.9,0,0
PEN_PE,D,20180723,000000,13.2,13.2,13.2,13.2,0,0
PEN_PE,D,20180725,000000,14.1,14.1,14.1,14.1,0,0
PEN_PE,D,20180726,000000,14.1,14.1,12.8,12.8,0,0
PEN_PE,D,20180730,000000,13.4,13.4,12.9,12.9,0,0
PEN_PE,D,20180731,000000,13.4,14.2,13.4,13.9,0,0
PEN_PE,D,20180801,000000,14.2,14.2,14.2,14.2,0,0
PEN_PE,D,20180806,000000,13.9,13.9,13.9,13.9,0,0
PEN_PE,D,20180807,000000,13.9,22.7,13.9,22.7,0,0
PEN_PE,D,20180808,000000,22.7,23.2,22.7,23.2,0,0
PEN_PE,D,20180813,000000,22.8,22.8,22.7,22.7,0,0
PEN_PE,D,20180814,000000,20.9,22.1,20.9,22,0,0
PEN_PE,D,20180817,000000,19.6,19.6,19.4,19.4,0,0
PEN_PE,D,20180820,000000,19.1,21.5,19.1,21.5,0,0
PEN_PE,D,20180821,000000,21.3,21.4,21.3,21.4,0,0
PEN_PE,D,20180823,000000,21.3,21.3,20,20.1,0,0
PEN_PE,D,20180824,000000,21.7,21.7,21.7,21.7,0,0
PEN_PE,D,20180828,000000,21,21.8,21,21.8,0,0
PEN_PE,D,20180829,000000,21.8,21.8,21.8,21.8,0,0
PEN_PE,D,20180831,000000,22.5,22.7,21.7,22.7,0,0
PEN_PE,D,20180903,000000,21.7,21.7,19.3,21.4,0,0
PEN_PE,D,20180905,000000,21.4,21.7,21.4,21.6,0,0
PEN_PE,D,20180906,000000,22.6,22.9,20.8,22.9,0,0
PEN_PE,D,20180907,000000,22.9,26.1,22.9,25.6,0,0
PEN_PE,D,20180910,000000,24.2,24.2,24.2,24.2,0,0
PEN_PE,D,20180911,000000,24,25.5,24,25.4,0,0
PEN_PE,D,20180913,000000,23.4,24.8,22.8,24.5,0,0
PEN_PE,D,20180914,000000,25.5,25.5,25.5,25.5,0,0
PEN_PE,D,20180920,000000,24.8,24.9,24.8,24.9,0,0
PEN_PE,D,20180921,000000,23.3,23.3,23,23,0,0
PEN_PE,D,20180926,000000,24,24.9,24,24.9,0,0
PEN_PE,D,20180927,000000,24.1,25.7,24.1,25.6,0,0
PEN_PE,D,20180928,000000,25.6,25.6,25.6,25.6,0,0
PEN_PE,D,20181001,000000,25.8,25.9,25.8,25.9,0,0
PEN_PE,D,20181002,000000,25.9,25.9,25.8,25.8,0,0
PEN_PE,D,20181003,000000,26,26.3,24.5,26.2,0,0
