<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPE_PE,D,20100630,000000,7.7632,7.7632,7.7632,7.7632,0,0
TPE_PE,D,20100701,000000,7.6793,7.7603,7.5986,7.7603,0,0
TPE_PE,D,20100702,000000,7.7603,7.8411,7.7603,7.7603,0,0
TPE_PE,D,20100705,000000,7.7603,7.7603,7.7603,7.7603,0,0
TPE_PE,D,20100706,000000,7.7603,7.8411,7.7603,7.7603,0,0
TPE_PE,D,20100707,000000,7.7603,7.7603,7.6793,7.7603,0,0
TPE_PE,D,20100708,000000,7.7603,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100709,000000,7.8411,7.9219,7.8411,7.8411,0,0
TPE_PE,D,20100712,000000,7.8411,7.9219,7.8411,7.9219,0,0
TPE_PE,D,20100713,000000,7.9219,7.9219,7.8411,7.8411,0,0
TPE_PE,D,20100714,000000,7.8411,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100715,000000,7.8411,7.8411,7.7603,7.7603,0,0
TPE_PE,D,20100716,000000,7.7603,7.7603,7.7603,7.7603,0,0
TPE_PE,D,20100719,000000,7.7603,7.7603,7.7603,7.7603,0,0
TPE_PE,D,20100720,000000,7.7603,7.7603,7.6793,7.7603,0,0
TPE_PE,D,20100721,000000,7.7603,7.8411,7.7603,7.7603,0,0
TPE_PE,D,20100722,000000,7.7603,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100723,000000,7.8411,7.8411,7.8411,7.8411,0,0
TPE_PE,D,20100726,000000,7.8411,7.8411,7.7603,7.7603,0,0
TPE_PE,D,20100727,000000,7.7603,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100728,000000,7.7603,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100729,000000,7.8411,7.9219,7.8411,7.8411,0,0
TPE_PE,D,20100730,000000,7.8411,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100802,000000,7.8411,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100803,000000,7.8411,7.8411,7.8411,7.8411,0,0
TPE_PE,D,20100804,000000,7.8411,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100805,000000,7.8411,7.8411,7.8411,7.8411,0,0
TPE_PE,D,20100806,000000,7.8411,7.8411,7.8411,7.8411,0,0
TPE_PE,D,20100809,000000,7.8411,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100810,000000,7.7603,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100811,000000,7.8411,7.8411,7.8411,7.8411,0,0
TPE_PE,D,20100812,000000,7.8411,7.9219,7.8411,7.8411,0,0
TPE_PE,D,20100813,000000,7.7603,7.8411,7.7603,7.8411,0,0
TPE_PE,D,20100816,000000,7.8411,7.9219,7.7603,7.9219,0,0
TPE_PE,D,20100817,000000,7.9219,7.9219,7.8411,7.8411,0,0
TPE_PE,D,20100818,000000,7.8411,7.9219,7.7603,7.9219,0,0
TPE_PE,D,20100819,000000,7.8411,7.9219,7.8411,7.8411,0,0
TPE_PE,D,20100820,000000,7.8411,7.8411,7.8411,7.8411,0,0
TPE_PE,D,20100823,000000,7.8411,8.1644,7.8411,8.1644,0,0
TPE_PE,D,20100824,000000,8.1644,8.2451,8.1644,8.1644,0,0
TPE_PE,D,20100825,000000,8.1644,8.1644,8.1644,8.1644,0,0
TPE_PE,D,20100826,000000,8.1644,8.1644,8.0028,8.0836,0,0
TPE_PE,D,20100827,000000,8.0028,8.1644,8.0028,8.1644,0,0
TPE_PE,D,20100830,000000,8.1644,8.2451,8.1644,8.2451,0,0
TPE_PE,D,20100831,000000,8.1644,8.2451,8.0836,8.2451,0,0
TPE_PE,D,20100901,000000,8.1644,8.7301,8.1644,8.7301,0,0
TPE_PE,D,20100902,000000,8.7301,8.8916,8.7301,8.8916,0,0
TPE_PE,D,20100903,000000,8.8916,9.0537,8.8109,8.9731,0,0
TPE_PE,D,20100906,000000,8.9731,9.2144,8.9731,9.1343,0,0
TPE_PE,D,20100907,000000,9.1343,9.2144,8.9731,9.0537,0,0
TPE_PE,D,20100908,000000,9.0537,9.2144,9.0537,9.2144,0,0
TPE_PE,D,20100909,000000,9.2144,9.2144,9.1343,9.1343,0,0
TPE_PE,D,20100910,000000,9.1343,9.2144,9.0537,9.0537,0,0
TPE_PE,D,20100913,000000,9.1343,9.2963,9.1343,9.2963,0,0
TPE_PE,D,20100914,000000,9.2963,9.62,9.2963,9.62,0,0
TPE_PE,D,20100915,000000,9.701,9.944,9.701,9.862,0,0
TPE_PE,D,20100916,000000,9.862,10.023,9.862,10.023,0,0
TPE_PE,D,20100917,000000,10.023,10.104,9.944,10.023,0,0
TPE_PE,D,20100920,000000,10.023,10.023,9.944,10.023,0,0
TPE_PE,D,20100921,000000,10.023,10.023,9.781,9.862,0,0
TPE_PE,D,20100922,000000,9.862,9.862,9.62,9.701,0,0
TPE_PE,D,20100923,000000,9.701,9.701,9.4571,9.4571,0,0
TPE_PE,D,20100924,000000,9.3772,9.862,9.3772,9.862,0,0
TPE_PE,D,20100927,000000,9.862,9.944,9.781,9.862,0,0
TPE_PE,D,20100928,000000,9.862,9.944,9.781,9.944,0,0
TPE_PE,D,20100929,000000,9.944,9.944,9.862,9.944,0,0
TPE_PE,D,20100930,000000,9.862,9.944,9.862,9.944,0,0
TPE_PE,D,20101001,000000,9.944,9.944,9.862,9.944,0,0
TPE_PE,D,20101004,000000,9.944,10.023,9.862,10.023,0,0
TPE_PE,D,20101005,000000,10.023,10.104,9.944,10.023,0,0
TPE_PE,D,20101006,000000,10.023,10.023,9.944,10.023,0,0
TPE_PE,D,20101007,000000,9.944,9.944,9.781,9.862,0,0
TPE_PE,D,20101008,000000,9.781,9.944,9.781,9.862,0,0
TPE_PE,D,20101011,000000,9.862,9.944,9.862,9.944,0,0
TPE_PE,D,20101012,000000,9.862,9.944,9.862,9.862,0,0
TPE_PE,D,20101013,000000,9.862,9.944,9.862,9.944,0,0
