<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALG_PE,D,20130108,000000,30.4,30.4,30.4,30.4,0,0
ALG_PE,D,20130109,000000,25.3,30.4,24.3,30.4,0,0
ALG_PE,D,20130110,000000,30.4,30.6,30.4,30.4,0,0
ALG_PE,D,20130111,000000,33.8,33.8,33.8,33.8,0,0
ALG_PE,D,20130115,000000,32.1,33.8,32.1,33.8,0,0
ALG_PE,D,20130218,000000,32.1,32.1,32.1,32.1,0,0
ALG_PE,D,20130222,000000,43.9,43.9,39,43.9,0,0
ALG_PE,D,20130225,000000,39,43.9,39,43.9,0,0
ALG_PE,D,20130226,000000,48.7,48.7,43.9,46.3,0,0
ALG_PE,D,20130227,000000,46.1,46.1,46.1,46.1,0,0
ALG_PE,D,20130306,000000,46.3,46.3,46.3,46.3,0,0
ALG_PE,D,20130307,000000,43.9,43.9,43.9,43.9,0,0
ALG_PE,D,20130308,000000,43.9,46.3,43.9,46.3,0,0
ALG_PE,D,20130311,000000,43.9,46.3,43.9,46.3,0,0
ALG_PE,D,20130315,000000,48.7,48.8,48.7,48.8,0,0
ALG_PE,D,20130319,000000,48.1,48.1,48.1,48.1,0,0
ALG_PE,D,20130320,000000,48.1,48.8,48.1,48.8,0,0
ALG_PE,D,20130321,000000,48.3,48.3,48.3,48.3,0,0
ALG_PE,D,20130322,000000,48.8,48.8,48.8,48.8,0,0
ALG_PE,D,20130325,000000,48.8,49.3,48.8,49.3,0,0
ALG_PE,D,20130326,000000,48.3,49.5,48.3,49.5,0,0
ALG_PE,D,20130328,000000,49.3,49.8,49.3,49.7,0,0
ALG_PE,D,20130405,000000,50.2,50.7,50.2,50.7,0,0
ALG_PE,D,20130411,000000,53.1,53.2,53.1,53.2,0,0
ALG_PE,D,20130412,000000,52.2,52.2,52.2,52.2,0,0
ALG_PE,D,20130419,000000,53.6,53.6,53.6,53.6,0,0
ALG_PE,D,20130426,000000,53.6,53.6,53.6,53.6,0,0
ALG_PE,D,20130429,000000,53.6,54.6,53.6,54.6,0,0
ALG_PE,D,20130430,000000,54.4,54.4,54.4,54.4,0,0
ALG_PE,D,20130502,000000,54.6,54.6,54.6,54.6,0,0
ALG_PE,D,20130507,000000,54.6,54.7,54.6,54.6,0,0
ALG_PE,D,20130508,000000,55.8,55.8,55.8,55.8,0,0
ALG_PE,D,20130509,000000,56,56,56,56,0,0
ALG_PE,D,20130510,000000,56,56.6,56,56.6,0,0
ALG_PE,D,20130513,000000,56.6,56.6,56.6,56.6,0,0
ALG_PE,D,20130514,000000,56.4,58.3,56.4,58.3,0,0
ALG_PE,D,20130515,000000,58.3,58.5,58.3,58.5,0,0
ALG_PE,D,20130516,000000,56.1,57.8,56.1,57.8,0,0
ALG_PE,D,20130517,000000,58.8,58.8,58.8,58.8,0,0
ALG_PE,D,20130520,000000,58.6,58.6,58.5,58.5,0,0
ALG_PE,D,20130521,000000,58.7,58.7,58.7,58.7,0,0
ALG_PE,D,20130523,000000,58.5,58.5,58.5,58.5,0,0
ALG_PE,D,20130524,000000,58.5,58.5,57.5,57.6,0,0
ALG_PE,D,20130527,000000,56.1,56.1,56.1,56.1,0,0
ALG_PE,D,20130528,000000,57.6,57.6,57.6,57.6,0,0
ALG_PE,D,20130529,000000,58.6,58.7,58.6,58.6,0,0
ALG_PE,D,20130531,000000,58.7,73.3,58.7,73.3,0,0
ALG_PE,D,20130603,000000,73.3,73.3,68.2,68.2,0,0
ALG_PE,D,20130604,000000,72.6,72.6,72.6,72.6,0,0
ALG_PE,D,20130605,000000,73.2,73.3,73.2,73.3,0,0
ALG_PE,D,20130606,000000,73.2,73.2,73.2,73.2,0,0
ALG_PE,D,20130607,000000,73.3,73.6,73.3,73.6,0,0
ALG_PE,D,20130610,000000,73.6,73.6,73.6,73.6,0,0
ALG_PE,D,20130611,000000,73.5,73.5,73.5,73.5,0,0
ALG_PE,D,20130612,000000,73.5,73.5,73.5,73.5,0,0
ALG_PE,D,20130613,000000,73.5,73.5,73.5,73.5,0,0
ALG_PE,D,20130614,000000,73.5,73.5,73.5,73.5,0,0
ALG_PE,D,20130617,000000,73.7,73.8,73.7,73.8,0,0
ALG_PE,D,20130619,000000,73.8,73.8,73.8,73.8,0,0
ALG_PE,D,20130620,000000,73.9,73.9,73.9,73.9,0,0
ALG_PE,D,20130621,000000,73.9,74.1,73.9,74.1,0,0
ALG_PE,D,20130624,000000,74.2,74.2,74.2,74.2,0,0
ALG_PE,D,20130625,000000,73,73,72.9,72.9,0,0
ALG_PE,D,20130627,000000,75.9,76,75.9,76,0,0
ALG_PE,D,20130628,000000,76.6,76.6,76.6,76.6,0,0
ALG_PE,D,20130702,000000,76.3,76.3,76.3,76.3,0,0
ALG_PE,D,20130703,000000,76.3,76.3,76.3,76.3,0,0
ALG_PE,D,20130704,000000,71.4,76.6,71.4,76.6,0,0
ALG_PE,D,20130708,000000,71.3,72.5,71.3,72.5,0,0
ALG_PE,D,20130709,000000,73.1,73.1,73.1,73.1,0,0
ALG_PE,D,20130710,000000,68,68,67.8,67.8,0,0
ALG_PE,D,20130711,000000,67.8,67.8,67.8,67.8,0,0
ALG_PE,D,20130716,000000,63.4,63.4,63.4,63.4,0,0
ALG_PE,D,20130717,000000,64,64,64,64,0,0
ALG_PE,D,20130725,000000,63.3,63.3,63.3,63.3,0,0
ALG_PE,D,20130805,000000,59.6,59.6,59.6,59.6,0,0
ALG_PE,D,20130806,000000,59.6,59.6,59.3,59.3,0,0
ALG_PE,D,20130808,000000,59.3,59.3,59.3,59.3,0,0
ALG_PE,D,20130813,000000,59.3,59.3,59.3,59.3,0,0
ALG_PE,D,20130819,000000,59,59,59,59,0,0
ALG_PE,D,20130820,000000,59,59,59,59,0,0
ALG_PE,D,20130821,000000,59,59,59,59,0,0
ALG_PE,D,20130822,000000,59,59,59,59,0,0
ALG_PE,D,20130823,000000,59.3,59.3,59.3,59.3,0,0
ALG_PE,D,20130826,000000,59.3,59.3,59.3,59.3,0,0
ALG_PE,D,20130827,000000,59.3,59.3,59.3,59.3,0,0
ALG_PE,D,20130829,000000,55.3,56.5,55.3,56.5,0,0
ALG_PE,D,20130830,000000,52.6,56.5,52.6,56.5,0,0
ALG_PE,D,20130902,000000,49,52.6,49,52.6,0,0
ALG_PE,D,20130906,000000,47.4,48,47.4,48,0,0
ALG_PE,D,20130909,000000,44.7,45.2,44.7,45.2,0,0
ALG_PE,D,20130910,000000,40.8,41,40.8,41,0,0
ALG_PE,D,20130911,000000,41,41.1,41,41.1,0,0
ALG_PE,D,20130912,000000,41.2,41.2,41.2,41.2,0,0
ALG_PE,D,20130913,000000,41.3,41.4,41.3,41.4,0,0
ALG_PE,D,20130916,000000,41.5,41.5,41.4,41.4,0,0
ALG_PE,D,20130917,000000,44.5,44.6,44.5,44.6,0,0
ALG_PE,D,20130918,000000,41.5,222.3,41.5,222.3,0,0
ALG_PE,D,20130919,000000,222.9,222.9,222.9,222.9,0,0
ALG_PE,D,20130920,000000,225.6,225.6,225.6,225.6,0,0
ALG_PE,D,20130923,000000,225.6,226.3,225.6,226.3,0,0
ALG_PE,D,20130924,000000,218.9,218.9,218.9,218.9,0,0
ALG_PE,D,20130927,000000,218.9,218.9,218.9,218.9,0,0
ALG_PE,D,20130930,000000,218.9,218.9,218.9,218.9,0,0
ALG_PE,D,20131004,000000,218.9,218.9,218.9,218.9,0,0
ALG_PE,D,20131016,000000,218.9,218.9,218.9,218.9,0,0
ALG_PE,D,20131021,000000,218.9,225.6,218.9,225.6,0,0
ALG_PE,D,20131022,000000,218.9,218.9,218.9,218.9,0,0
ALG_PE,D,20131023,000000,225.6,235.7,225.6,235.7,0,0
ALG_PE,D,20131025,000000,235.7,235.7,235.7,235.7,0,0
ALG_PE,D,20131028,000000,235.7,235.7,235.7,235.7,0,0
ALG_PE,D,20131030,000000,235.7,235.7,235.7,235.7,0,0
ALG_PE,D,20131119,000000,235.7,235.7,235.7,235.7,0,0
ALG_PE,D,20131120,000000,235.7,252.6,235.7,252.6,0,0
ALG_PE,D,20131121,000000,252.5,252.5,252.5,252.5,0,0
ALG_PE,D,20131126,000000,252.5,252.6,252.5,252.6,0,0
ALG_PE,D,20131127,000000,252.5,252.6,252.5,252.6,0,0
ALG_PE,D,20131203,000000,252.5,252.6,252.5,252.6,0,0
ALG_PE,D,20131204,000000,252.5,252.6,252.5,252.6,0,0
ALG_PE,D,20131205,000000,252.5,252.6,252.5,252.6,0,0
ALG_PE,D,20131206,000000,252.5,252.6,252.5,252.6,0,0
ALG_PE,D,20131209,000000,252.5,286.2,252.5,286.2,0,0
ALG_PE,D,20131211,000000,269.4,269.4,269.4,269.4,0,0
ALG_PE,D,20131212,000000,269.4,269.4,269.4,269.4,0,0
ALG_PE,D,20131216,000000,235.7,269.4,235.7,269.4,0,0
ALG_PE,D,20140627,000000,1381.3,1381.3,1381.3,1381.3,0,0
ALG_PE,D,20140701,000000,1347.8,1347.8,1346.6,1346.6,0,0
ALG_PE,D,20140714,000000,3613.6,3613.6,3580.8,3580.8,0,0
ALG_PE,D,20140715,000000,3613.6,3613.6,3580.8,3580.8,0,0
ALG_PE,D,20140717,000000,3613.6,3613.6,3580.8,3580.8,0,0
ALG_PE,D,20140718,000000,3613.6,3636.4,3603.3,3603.3,0,0
ALG_PE,D,20140805,000000,3404.5,3613.6,3404.5,3580.8,0,0
ALG_PE,D,20140818,000000,3363.6,3522.7,3363.6,3490.7,0,0
ALG_PE,D,20140829,000000,352.9,352.9,352.9,352.9,0,0
ALG_PE,D,20140902,000000,355.3,355.3,355.3,355.3,0,0
ALG_PE,D,20140903,000000,355.3,355.3,355.3,355.3,0,0
ALG_PE,D,20140904,000000,357.6,357.6,357.6,357.6,0,0
ALG_PE,D,20140908,000000,348.2,348.2,348.2,348.2,0,0
ALG_PE,D,20140909,000000,357.6,357.6,357.6,357.6,0,0
ALG_PE,D,20140910,000000,357.6,357.6,357.6,357.6,0,0
ALG_PE,D,20140911,000000,357.6,357.6,357.6,357.6,0,0
ALG_PE,D,20140912,000000,357.6,357.6,357.6,357.6,0,0
ALG_PE,D,20140915,000000,348.2,358.8,348.2,358.8,0,0
ALG_PE,D,20140926,000000,345.9,374.1,345.9,374.1,0,0
ALG_PE,D,20140929,000000,375.3,375.3,375.3,375.3,0,0
ALG_PE,D,20141007,000000,352.9,352.9,352.9,352.9,0,0
ALG_PE,D,20141008,000000,352.9,352.9,352.9,352.9,0,0
ALG_PE,D,20141010,000000,362.4,362.4,362.3,362.3,0,0
ALG_PE,D,20141014,000000,352.9,352.9,352.9,352.9,0,0
ALG_PE,D,20141015,000000,362.4,362.4,362.3,362.3,0,0
ALG_PE,D,20141017,000000,362.4,362.4,362.3,362.3,0,0
ALG_PE,D,20141027,000000,362.4,362.4,362.3,362.3,0,0
ALG_PE,D,20141112,000000,362.4,362.4,362.3,362.3,0,0
ALG_PE,D,20141117,000000,362.4,362.4,362.3,362.3,0,0
ALG_PE,D,20141211,000000,338.8,361.3,338.8,361.3,0,0
ALG_PE,D,20141230,000000,338.8,362,338.8,362,0,0
