<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KSG_PB,D,20110505,000000,9.55,9.55,9.55,9.55,0,0
KSG_PB,D,20110506,000000,9.54,9.56,9.52,9.55,0,0
KSG_PB,D,20110509,000000,9.56,9.61,9.54,9.54,0,0
KSG_PB,D,20110510,000000,9.55,9.56,9.07,9.26,0,0
KSG_PB,D,20110511,000000,9.3,9.35,8.98,9.02,0,0
KSG_PB,D,20110512,000000,8.83,9.28,8.64,9.28,0,0
KSG_PB,D,20110513,000000,9.22,9.28,8.98,9.2,0,0
KSG_PB,D,20110516,000000,9.24,9.28,9.07,9.11,0,0
KSG_PB,D,20110517,000000,9.24,9.24,9,9.22,0,0
KSG_PB,D,20110518,000000,9.07,9.45,9.07,9.28,0,0
KSG_PB,D,20110519,000000,9.45,9.45,9.37,9.37,0,0
KSG_PB,D,20110520,000000,9.45,9.69,9.37,9.69,0,0
KSG_PB,D,20110523,000000,9.51,9.86,9.51,9.86,0,0
KSG_PB,D,20110524,000000,9.85,10.06,9.65,9.9,0,0
KSG_PB,D,20110525,000000,9.93,10.02,9.71,9.96,0,0
KSG_PB,D,20110526,000000,9.96,9.97,9.93,9.96,0,0
KSG_PB,D,20110527,000000,10.84,11.01,9.96,10.97,0,0
KSG_PB,D,20110530,000000,11.22,11.39,11.22,11.27,0,0
KSG_PB,D,20110531,000000,11.53,12.24,11.53,12,0,0
KSG_PB,D,20110601,000000,12.51,12.51,12.01,12.07,0,0
KSG_PB,D,20110602,000000,12.09,12.09,11.64,11.83,0,0
KSG_PB,D,20110603,000000,12.07,12.13,11.48,11.57,0,0
KSG_PB,D,20110606,000000,11.66,11.66,11.27,11.35,0,0
KSG_PB,D,20110607,000000,11.35,11.48,11.11,11.31,0,0
KSG_PB,D,20110608,000000,11.41,11.41,11.05,11.22,0,0
KSG_PB,D,20110609,000000,11.22,11.22,10.84,10.97,0,0
KSG_PB,D,20110610,000000,11.01,11.19,10.97,11.16,0,0
KSG_PB,D,20110613,000000,11.23,11.44,11.08,11.16,0,0
KSG_PB,D,20110614,000000,11.18,11.18,10.84,10.85,0,0
KSG_PB,D,20110615,000000,10.83,10.85,10.17,10.34,0,0
KSG_PB,D,20110616,000000,10.13,10.19,9.78,9.91,0,0
KSG_PB,D,20110617,000000,9.89,10.64,9.89,10.3,0,0
KSG_PB,D,20110620,000000,10.33,10.4,10.19,10.2,0,0
KSG_PB,D,20110621,000000,10.19,10.19,9.95,10.18,0,0
KSG_PB,D,20110622,000000,9.97,10.18,9.78,10,0,0
KSG_PB,D,20110624,000000,10,10,9.63,9.74,0,0
KSG_PB,D,20110627,000000,9.65,9.65,9.24,9.27,0,0
KSG_PB,D,20110628,000000,9.28,9.48,9.27,9.46,0,0
KSG_PB,D,20110629,000000,9.37,9.67,9.37,9.63,0,0
KSG_PB,D,20110630,000000,9.63,9.67,9.46,9.63,0,0
KSG_PB,D,20110701,000000,9.61,9.71,9.48,9.54,0,0
KSG_PB,D,20110704,000000,9.93,9.93,9.5,9.5,0,0
KSG_PB,D,20110705,000000,9.44,9.49,9.39,9.41,0,0
KSG_PB,D,20110706,000000,9.5,9.5,9.28,9.28,0,0
KSG_PB,D,20110707,000000,9.28,9.93,9.28,9.93,0,0
KSG_PB,D,20110708,000000,9.93,9.93,9.61,9.71,0,0
KSG_PB,D,20110711,000000,9.63,9.68,9.39,9.39,0,0
KSG_PB,D,20110712,000000,9.12,9.2,8.85,9.15,0,0
KSG_PB,D,20110713,000000,9.28,9.41,9.15,9.4,0,0
