<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND_MV,D,20210719,000000,1313.58,1313.58,1313.58,1313.58,0,0
OND_MV,D,20210720,000000,1333.23,1378.84,1263.06,1287.39,0,0
OND_MV,D,20210721,000000,1313.58,1313.58,1263.06,1263.06,0,0
OND_MV,D,20210722,000000,1264,1264.23,1244.82,1253.7,0,0
OND_MV,D,20210723,000000,1253.7,1284.58,1251.37,1258.38,0,0
OND_MV,D,20210726,000000,1305.16,1305.16,1262.59,1277.09,0,0
OND_MV,D,20210727,000000,1290.89,1290.89,1258.85,1258.85,0,0
OND_MV,D,20210728,000000,1258.85,1261.89,1225.64,1239.67,0,0
OND_MV,D,20210729,000000,1258.38,1286.45,1239.67,1256.98,0,0
OND_MV,D,20210730,000000,1263.06,1319.2,1232.65,1313.58,0,0
OND_MV,D,20210802,000000,1328.32,1351.94,1298.15,1298.15,0,0
OND_MV,D,20210803,000000,1319.2,1323.64,1263.29,1295.34,0,0
OND_MV,D,20210804,000000,1309.84,1309.84,1263.06,1291.13,0,0
OND_MV,D,20210805,000000,1290.89,1290.89,1262.83,1284.34,0,0
OND_MV,D,20210806,000000,1291.13,1291.13,1253.7,1267.5,0,0
OND_MV,D,20210809,000000,1285.98,1285.98,1263.06,1285.51,0,0
OND_MV,D,20210810,000000,1272.42,1292.06,1249.03,1258.38,0,0
OND_MV,D,20210811,000000,1299.55,1299.55,1253.7,1280.37,0,0
OND_MV,D,20210812,000000,1264.46,1283.88,1253.94,1254.17,0,0
OND_MV,D,20210813,000000,1263.06,1263.06,1251.37,1263.06,0,0
OND_MV,D,20210816,000000,1263.06,1263.06,1234.99,1253.24,0,0
OND_MV,D,20210817,000000,1262.59,1262.59,1235.46,1249.03,0,0
OND_MV,D,20210818,000000,1240.14,1253.24,1234.99,1253.24,0,0
OND_MV,D,20210819,000000,1262.59,1262.59,1239.67,1239.67,0,0
