<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE_PB,D,20201012,000000,10.36,10.36,10.36,10.36,0,0
ALE_PB,D,20201013,000000,10.66,11.85,10.66,11.85,0,0
ALE_PB,D,20201014,000000,12.44,13.32,10.59,11.25,0,0
ALE_PB,D,20201015,000000,11.25,11.82,11.21,11.73,0,0
ALE_PB,D,20201016,000000,11.85,12.59,11.85,12.06,0,0
ALE_PB,D,20201019,000000,12.06,12.37,12.06,12.35,0,0
ALE_PB,D,20201020,000000,12.36,12.65,12.36,12.59,0,0
ALE_PB,D,20201021,000000,12.73,12.73,12.28,12.46,0,0
ALE_PB,D,20201022,000000,12.41,13.14,12.41,12.64,0,0
ALE_PB,D,20201023,000000,12.79,13.18,12.68,13.18,0,0
ALE_PB,D,20201026,000000,13.18,13.74,12.68,13.58,0,0
ALE_PB,D,20201027,000000,13.56,14.45,13.44,14.01,0,0
ALE_PB,D,20201028,000000,14.01,14.27,12.43,12.98,0,0
ALE_PB,D,20201029,000000,13.03,13.16,12.54,12.72,0,0
ALE_PB,D,20201030,000000,12.59,12.72,11.91,11.91,0,0
ALE_PB,D,20201102,000000,12.02,12.57,12.02,12.46,0,0
ALE_PB,D,20201103,000000,12.64,12.64,12.19,12.39,0,0
ALE_PB,D,20201104,000000,12.29,12.88,12.22,12.82,0,0
ALE_PB,D,20201105,000000,13.07,13.21,12.86,12.96,0,0
ALE_PB,D,20201106,000000,13.03,13.76,13.03,13.64,0,0
ALE_PB,D,20201109,000000,13.92,14.07,12.53,13.42,0,0
ALE_PB,D,20201110,000000,13.18,13.18,12.25,12.25,0,0
ALE_PB,D,20201112,000000,12.5,12.5,11.77,11.77,0,0
ALE_PB,D,20201113,000000,11.84,11.84,11.18,11.24,0,0
ALE_PB,D,20201116,000000,11.26,11.26,10.68,10.72,0,0
ALE_PB,D,20201117,000000,10.54,10.54,10.01,10.05,0,0
