<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIG_PE,D,20071228,000000,51.9,51.9,51.9,51.9,0,0
CIG_PE,D,20080102,000000,54.2,54.2,53.9,53.9,0,0
CIG_PE,D,20080103,000000,52.4,52.7,52,52.1,0,0
CIG_PE,D,20080104,000000,52.2,53.6,52.2,52.3,0,0
CIG_PE,D,20080107,000000,52.5,52.5,52,52,0,0
CIG_PE,D,20080108,000000,53.1,53.1,51,52.8,0,0
CIG_PE,D,20080109,000000,52.2,52.2,50.3,50.3,0,0
CIG_PE,D,20080110,000000,51.4,51.6,50.3,50.3,0,0
CIG_PE,D,20080111,000000,49.1,49.1,49.1,49.1,0,0
CIG_PE,D,20080114,000000,50.5,50.5,50.5,50.5,0,0
CIG_PE,D,20080115,000000,51,51,50.2,50.2,0,0
CIG_PE,D,20080116,000000,50.8,50.8,47.6,47.6,0,0
CIG_PE,D,20080117,000000,49,49,49,49,0,0
CIG_PE,D,20080118,000000,49.6,49.6,48,48,0,0
CIG_PE,D,20080121,000000,47.6,47.6,45.6,45.6,0,0
CIG_PE,D,20080122,000000,47,47,47,47,0,0
CIG_PE,D,20080123,000000,47,49.9,45.2,49.9,0,0
CIG_PE,D,20080124,000000,49.9,51.2,49.6,51.2,0,0
CIG_PE,D,20080125,000000,52.2,52.2,52.2,52.2,0,0
CIG_PE,D,20080128,000000,51.6,51.6,51.6,51.6,0,0
CIG_PE,D,20080129,000000,53.6,53.6,53.1,53.1,0,0
CIG_PE,D,20080130,000000,54.8,54.8,53.7,54.8,0,0
CIG_PE,D,20080131,000000,54.8,54.8,52.7,52.7,0,0
CIG_PE,D,20080201,000000,54.7,54.7,52.3,53.6,0,0
CIG_PE,D,20080204,000000,54.6,54.8,49.8,54.7,0,0
CIG_PE,D,20080205,000000,54.6,54.6,53.6,53.6,0,0
CIG_PE,D,20080206,000000,53.6,53.6,53.6,53.6,0,0
CIG_PE,D,20080207,000000,54.6,55.2,54.6,55.2,0,0
CIG_PE,D,20080208,000000,54.9,57.1,54.9,57,0,0
CIG_PE,D,20080211,000000,55,57,55,57,0,0
CIG_PE,D,20080212,000000,56.5,56.5,55.3,56,0,0
CIG_PE,D,20080213,000000,55.9,55.9,53.6,53.6,0,0
CIG_PE,D,20080214,000000,55,55,55,55,0,0
CIG_PE,D,20080215,000000,54.8,54.8,54.8,54.8,0,0
CIG_PE,D,20080218,000000,54.8,55,35.3,35.3,0,0
CIG_PE,D,20080219,000000,35.3,35.3,35.3,35.3,0,0
CIG_PE,D,20080220,000000,34.7,34.7,33.8,34.7,0,0
CIG_PE,D,20080221,000000,34.7,34.7,34.7,34.7,0,0
CIG_PE,D,20080222,000000,34.7,34.7,34.6,34.7,0,0
CIG_PE,D,20080225,000000,32.5,34.8,32.5,34.7,0,0
