<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEN_MV,D,20130604,000000,46,46,46,46,0,0
PEN_MV,D,20130605,000000,55.2,55.2,44.16,44.16,0,0
PEN_MV,D,20130606,000000,39.1,39.1,32.2,33.58,0,0
PEN_MV,D,20130607,000000,33.35,33.35,30.36,32.2,0,0
PEN_MV,D,20130610,000000,29.9,30.36,28.98,30.36,0,0
PEN_MV,D,20130611,000000,28.98,29.9,28.75,29.9,0,0
PEN_MV,D,20130612,000000,27.6,27.6,27.37,27.6,0,0
PEN_MV,D,20130613,000000,27.6,27.6,27.6,27.6,0,0
PEN_MV,D,20130619,000000,28.75,28.75,28.75,28.75,0,0
PEN_MV,D,20130620,000000,28.75,28.75,28.75,28.75,0,0
PEN_MV,D,20130621,000000,29.21,29.21,28.06,28.06,0,0
PEN_MV,D,20130624,000000,29.21,29.21,29.21,29.21,0,0
PEN_MV,D,20130627,000000,31.51,31.51,31.51,31.51,0,0
PEN_MV,D,20130628,000000,31.97,31.97,31.97,31.97,0,0
PEN_MV,D,20130701,000000,34.04,37.49,34.04,37.49,0,0
PEN_MV,D,20130702,000000,37.49,95,37.49,95,0,0
PEN_MV,D,20130703,000000,114,120,110.5,115,0,0
PEN_MV,D,20130704,000000,118,125,118,123,0,0
PEN_MV,D,20130705,000000,116,116,97.5,110,0,0
PEN_MV,D,20130708,000000,105,111.5,100,111.5,0,0
PEN_MV,D,20130709,000000,116,122.5,116,119.5,0,0
PEN_MV,D,20130710,000000,121.5,125,121.5,125,0,0
PEN_MV,D,20130711,000000,120,125,107,108.5,0,0
PEN_MV,D,20130712,000000,115.5,115.5,113.5,113.5,0,0
PEN_MV,D,20130715,000000,110,110,100,106,0,0
PEN_MV,D,20130716,000000,99.5,107.5,99.5,107.5,0,0
PEN_MV,D,20130717,000000,110,110,110,110,0,0
PEN_MV,D,20130718,000000,106.5,106.5,106.5,106.5,0,0
PEN_MV,D,20130722,000000,102,102,102,102,0,0
PEN_MV,D,20130723,000000,102.5,102.5,99,99,0,0
PEN_MV,D,20130726,000000,101.5,102.5,101.5,102.5,0,0
PEN_MV,D,20130729,000000,102.5,103,102.5,103,0,0
PEN_MV,D,20130730,000000,99,99,92.5,92.5,0,0
PEN_MV,D,20130731,000000,97.5,97.5,97.5,97.5,0,0
PEN_MV,D,20130801,000000,97.5,97.5,97.5,97.5,0,0
PEN_MV,D,20130805,000000,95,95,89,89,0,0
PEN_MV,D,20130806,000000,86,86,86,86,0,0
PEN_MV,D,20130807,000000,85.5,85.5,85.5,85.5,0,0
PEN_MV,D,20130812,000000,87,87,87,87,0,0
PEN_MV,D,20130816,000000,80,80,80,80,0,0
PEN_MV,D,20130820,000000,67.5,75,67.5,74.5,0,0
PEN_MV,D,20130826,000000,68,74.5,68,74.5,0,0
PEN_MV,D,20130910,000000,77.5,77.5,77.5,77.5,0,0
PEN_MV,D,20130911,000000,83.5,87.5,83.5,87.5,0,0
PEN_MV,D,20130912,000000,85,85,85,85,0,0
