<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXG_MV,D,20141126,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20141127,000000,73.45,73.45,72.15,72.28,0,0
NXG_MV,D,20141128,000000,72.8,76.44,72.15,76.44,0,0
NXG_MV,D,20141201,000000,76.57,79.95,76.57,79.95,0,0
NXG_MV,D,20141202,000000,79.04,79.04,78.65,78.65,0,0
NXG_MV,D,20141203,000000,77.74,77.74,76.7,76.7,0,0
NXG_MV,D,20141204,000000,75.92,75.92,70.85,75.27,0,0
NXG_MV,D,20141205,000000,73.97,73.97,73.97,73.97,0,0
NXG_MV,D,20141208,000000,70.33,72.02,70.33,72.02,0,0
NXG_MV,D,20141209,000000,72.02,72.02,70.59,70.59,0,0
NXG_MV,D,20141210,000000,72.28,72.28,67.6,67.6,0,0
NXG_MV,D,20141211,000000,69.94,69.94,68.51,68.51,0,0
NXG_MV,D,20141212,000000,68.51,68.51,64.09,65.52,0,0
NXG_MV,D,20141215,000000,67.21,67.21,67.21,67.21,0,0
NXG_MV,D,20141216,000000,69.94,69.94,69.94,69.94,0,0
NXG_MV,D,20141217,000000,66.43,66.43,65.13,65.13,0,0
NXG_MV,D,20141218,000000,70.07,70.07,70.07,70.07,0,0
NXG_MV,D,20141219,000000,68.38,68.38,68.38,68.38,0,0
NXG_MV,D,20141222,000000,68.38,68.38,67.6,67.6,0,0
NXG_MV,D,20141223,000000,68.38,68.38,64.87,68.25,0,0
NXG_MV,D,20141229,000000,68.38,68.38,68.38,68.38,0,0
NXG_MV,D,20141230,000000,68.25,68.25,62.53,68.25,0,0
NXG_MV,D,20150105,000000,67.08,67.08,67.08,67.08,0,0
NXG_MV,D,20150107,000000,70.46,77.35,70.46,77.35,0,0
NXG_MV,D,20150108,000000,71.5,77.22,71.5,77.22,0,0
NXG_MV,D,20150109,000000,78,85.41,78,78,0,0
NXG_MV,D,20150112,000000,81.25,85.41,78.91,85.41,0,0
NXG_MV,D,20150113,000000,84.5,86.45,80.08,86.45,0,0
NXG_MV,D,20150114,000000,86.45,86.45,86.45,86.45,0,0
NXG_MV,D,20150115,000000,86.45,86.45,84.5,84.5,0,0
NXG_MV,D,20150116,000000,86.45,86.45,86.45,86.45,0,0
NXG_MV,D,20150119,000000,94.25,94.25,86.32,91,0,0
NXG_MV,D,20150120,000000,98.8,98.8,91,91,0,0
NXG_MV,D,20150121,000000,97.5,97.5,91,92.69,0,0
NXG_MV,D,20150122,000000,97.5,97.5,94.25,97.5,0,0
NXG_MV,D,20150123,000000,97.5,97.5,91.13,94.38,0,0
NXG_MV,D,20150126,000000,97.5,97.5,97.5,97.5,0,0
NXG_MV,D,20150127,000000,97.5,97.5,94.77,94.77,0,0
NXG_MV,D,20150128,000000,91,91,91,91,0,0
NXG_MV,D,20150129,000000,91,91,86.58,91,0,0
NXG_MV,D,20150130,000000,97.5,106.6,91.78,106.6,0,0
NXG_MV,D,20150202,000000,106.6,106.6,101.53,101.53,0,0
NXG_MV,D,20150203,000000,108.03,108.03,91.39,91.52,0,0
NXG_MV,D,20150204,000000,89.96,91.65,89.96,91.65,0,0
NXG_MV,D,20150205,000000,89.05,91,89.05,91,0,0
NXG_MV,D,20150210,000000,87.75,88.27,86.06,87.88,0,0
NXG_MV,D,20150211,000000,84.76,88.92,84.76,88.92,0,0
NXG_MV,D,20150216,000000,86.84,91,86.84,91,0,0
NXG_MV,D,20150217,000000,89.05,89.05,89.05,89.05,0,0
NXG_MV,D,20150218,000000,91,91,91,91,0,0
NXG_MV,D,20150219,000000,91,91,91,91,0,0
NXG_MV,D,20150220,000000,91,91,91,91,0,0
NXG_MV,D,20150223,000000,91,91,91,91,0,0
NXG_MV,D,20150225,000000,91,91,91,91,0,0
NXG_MV,D,20150226,000000,91,91,91,91,0,0
NXG_MV,D,20150227,000000,91,91,91,91,0,0
NXG_MV,D,20150302,000000,91,91,91,91,0,0
NXG_MV,D,20150303,000000,91,91,91,91,0,0
NXG_MV,D,20150304,000000,91,91,91,91,0,0
NXG_MV,D,20150305,000000,91,94.9,91,94.9,0,0
NXG_MV,D,20150306,000000,91,91,85.28,91,0,0
NXG_MV,D,20150309,000000,91,91,91,91,0,0
NXG_MV,D,20150310,000000,91,91,91,91,0,0
NXG_MV,D,20150311,000000,91,91,91,91,0,0
NXG_MV,D,20150312,000000,91,91,91,91,0,0
NXG_MV,D,20150313,000000,91,91,91,91,0,0
NXG_MV,D,20150323,000000,81.77,81.77,81.77,81.77,0,0
NXG_MV,D,20150324,000000,81.77,81.77,81.77,81.77,0,0
NXG_MV,D,20150325,000000,81.77,81.77,81.77,81.77,0,0
NXG_MV,D,20150326,000000,81.77,81.77,73.71,73.71,0,0
NXG_MV,D,20150327,000000,73.71,73.71,73.71,73.71,0,0
NXG_MV,D,20150330,000000,73.71,73.71,73.71,73.71,0,0
NXG_MV,D,20150331,000000,73.71,73.71,66.43,66.43,0,0
NXG_MV,D,20150401,000000,66.43,66.43,66.43,66.43,0,0
NXG_MV,D,20150402,000000,66.43,66.43,66.43,66.43,0,0
NXG_MV,D,20150407,000000,66.04,66.04,66.04,66.04,0,0
NXG_MV,D,20150408,000000,66.04,72.67,66.04,72.67,0,0
NXG_MV,D,20150409,000000,72.67,72.67,68.25,70.59,0,0
NXG_MV,D,20150410,000000,76.44,78,76.44,78,0,0
NXG_MV,D,20150413,000000,81.77,81.77,81.77,81.77,0,0
NXG_MV,D,20150414,000000,81.77,81.77,81.77,81.77,0,0
NXG_MV,D,20150416,000000,76.7,76.7,69.03,69.03,0,0
NXG_MV,D,20150417,000000,75.4,75.4,70.85,70.98,0,0
NXG_MV,D,20150420,000000,76.7,76.7,70.98,71.11,0,0
NXG_MV,D,20150421,000000,75.4,75.4,75.4,75.4,0,0
NXG_MV,D,20150422,000000,75.4,75.4,75.4,75.4,0,0
NXG_MV,D,20150423,000000,75.4,75.4,75.4,75.4,0,0
NXG_MV,D,20150424,000000,75.4,75.4,75.4,75.4,0,0
NXG_MV,D,20150427,000000,75.4,75.4,75.4,75.4,0,0
NXG_MV,D,20150428,000000,75.4,75.4,68.9,68.9,0,0
NXG_MV,D,20150429,000000,75.4,75.4,75.4,75.4,0,0
NXG_MV,D,20150430,000000,74.1,74.1,74.1,74.1,0,0
NXG_MV,D,20150504,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20150505,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20150506,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20150507,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20150508,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20150511,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20150513,000000,68.25,68.25,65,65,0,0
NXG_MV,D,20150514,000000,67.73,67.73,67.73,67.73,0,0
NXG_MV,D,20150515,000000,67.73,67.73,67.73,67.73,0,0
NXG_MV,D,20150518,000000,68.9,68.9,68.9,68.9,0,0
NXG_MV,D,20150519,000000,68.9,68.9,62.27,62.27,0,0
NXG_MV,D,20150520,000000,62.27,62.27,62.27,62.27,0,0
NXG_MV,D,20150521,000000,61.36,61.36,60.45,60.45,0,0
NXG_MV,D,20150525,000000,62.53,62.53,62.14,62.14,0,0
NXG_MV,D,20150527,000000,61.88,62.27,61.88,62.27,0,0
NXG_MV,D,20150528,000000,68.25,68.25,57.2,59.8,0,0
NXG_MV,D,20150529,000000,54.86,59.15,52,52,0,0
NXG_MV,D,20150601,000000,52,57.2,52,57.2,0,0
NXG_MV,D,20150602,000000,49.4,54.34,49.4,54.34,0,0
NXG_MV,D,20150603,000000,56.81,56.81,56.81,56.81,0,0
NXG_MV,D,20150605,000000,53.3,53.3,48.1,52,0,0
NXG_MV,D,20150608,000000,52,52,49.4,52,0,0
NXG_MV,D,20150609,000000,52,52,52,52,0,0
NXG_MV,D,20150610,000000,52,52,48.1,48.1,0,0
NXG_MV,D,20150611,000000,52,52,48.1,48.1,0,0
NXG_MV,D,20150615,000000,52.91,52.91,50.05,50.05,0,0
NXG_MV,D,20150619,000000,49.53,49.53,44.85,44.85,0,0
NXG_MV,D,20150622,000000,57.2,57.2,57.2,57.2,0,0
NXG_MV,D,20150623,000000,44.33,45.5,44.33,45.5,0,0
NXG_MV,D,20150626,000000,47.71,47.71,45.5,45.5,0,0
NXG_MV,D,20150629,000000,50.05,50.05,50.05,50.05,0,0
NXG_MV,D,20150630,000000,54.47,54.47,49.4,49.4,0,0
NXG_MV,D,20150701,000000,50.83,50.83,45.63,45.63,0,0
NXG_MV,D,20150707,000000,49.53,49.53,44.46,46.93,0,0
NXG_MV,D,20150708,000000,50.83,50.83,50.83,50.83,0,0
NXG_MV,D,20150709,000000,50.83,50.83,50.83,50.83,0,0
NXG_MV,D,20150710,000000,50.83,50.83,50.83,50.83,0,0
NXG_MV,D,20150713,000000,50.83,50.83,50.83,50.83,0,0
NXG_MV,D,20150714,000000,50.83,50.83,50.83,50.83,0,0
NXG_MV,D,20150715,000000,50.83,50.83,45.76,45.76,0,0
NXG_MV,D,20150717,000000,46.02,46.02,46.02,46.02,0,0
NXG_MV,D,20150722,000000,45.89,45.89,40.95,40.95,0,0
NXG_MV,D,20150723,000000,41.21,41.21,41.21,41.21,0,0
NXG_MV,D,20150724,000000,45.11,45.11,40.69,40.69,0,0
NXG_MV,D,20150728,000000,40.95,40.95,40.95,40.95,0,0
NXG_MV,D,20150731,000000,41.6,41.6,40.04,40.04,0,0
NXG_MV,D,20150803,000000,39.65,39.65,39,39,0,0
NXG_MV,D,20150804,000000,40.04,40.3,40.04,40.3,0,0
NXG_MV,D,20150805,000000,41.6,41.6,38.35,39.13,0,0
NXG_MV,D,20150806,000000,40.3,40.3,36.14,36.14,0,0
NXG_MV,D,20150807,000000,35.75,39.26,35.75,39.26,0,0
NXG_MV,D,20150810,000000,39.91,40.3,37.83,40.17,0,0
NXG_MV,D,20150811,000000,40.17,40.17,37.44,37.44,0,0
NXG_MV,D,20150812,000000,39,39,35.1,35.1,0,0
NXG_MV,D,20150813,000000,36.4,36.4,32.89,32.89,0,0
NXG_MV,D,20150814,000000,33.8,33.93,33.8,33.93,0,0
NXG_MV,D,20150817,000000,34.45,34.45,31.07,31.85,0,0
NXG_MV,D,20150818,000000,32.5,32.5,31.07,31.07,0,0
NXG_MV,D,20150819,000000,32.89,32.89,29.9,31.33,0,0
NXG_MV,D,20150820,000000,31.85,32.5,30.55,30.55,0,0
NXG_MV,D,20150821,000000,32.5,32.5,31.2,31.2,0,0
NXG_MV,D,20150824,000000,32.5,32.5,29.25,32.5,0,0
NXG_MV,D,20150825,000000,32.5,32.5,32.5,32.5,0,0
NXG_MV,D,20150826,000000,30.55,30.55,28.73,30.55,0,0
NXG_MV,D,20150827,000000,30.55,30.55,28.6,28.6,0,0
NXG_MV,D,20150828,000000,29.64,29.64,26.91,28.34,0,0
NXG_MV,D,20150831,000000,28.34,28.34,27.95,28.21,0,0
NXG_MV,D,20150901,000000,28.21,28.21,27.43,27.43,0,0
NXG_MV,D,20150902,000000,26,26,26,26,0,0
NXG_MV,D,20150903,000000,24.83,25.35,23.4,25.35,0,0
NXG_MV,D,20150904,000000,26,26,25.87,25.87,0,0
NXG_MV,D,20150907,000000,26,26,25.09,25.09,0,0
NXG_MV,D,20150908,000000,25.09,25.09,23.4,24.05,0,0
NXG_MV,D,20150909,000000,25.09,25.09,24.05,24.44,0,0
NXG_MV,D,20150910,000000,24.44,24.57,24.44,24.57,0,0
NXG_MV,D,20150911,000000,24.57,24.57,24.18,24.18,0,0
NXG_MV,D,20150914,000000,24.18,24.57,24.18,24.57,0,0
NXG_MV,D,20150915,000000,24.57,24.96,23.4,24.96,0,0
NXG_MV,D,20150916,000000,24.96,24.96,23.4,24.18,0,0
NXG_MV,D,20150917,000000,24.96,26,24.7,24.7,0,0
NXG_MV,D,20150918,000000,26,26,25.61,25.61,0,0
NXG_MV,D,20150921,000000,25.61,25.61,25.48,25.61,0,0
NXG_MV,D,20150922,000000,25.61,25.74,25.61,25.74,0,0
NXG_MV,D,20150923,000000,26,26.26,26,26.26,0,0
NXG_MV,D,20150924,000000,27.3,27.3,26.65,26.65,0,0
NXG_MV,D,20150925,000000,27.43,30.16,27.43,30.16,0,0
NXG_MV,D,20150928,000000,30.16,30.16,29.25,29.25,0,0
NXG_MV,D,20150929,000000,29.25,29.25,26.65,26.65,0,0
NXG_MV,D,20150930,000000,27.3,27.3,26.65,26.65,0,0
NXG_MV,D,20151001,000000,26.52,26.52,26.52,26.52,0,0
NXG_MV,D,20151002,000000,26.39,26.39,26,26,0,0
NXG_MV,D,20151005,000000,26,26,26,26,0,0
NXG_MV,D,20151006,000000,26,26,25.22,25.35,0,0
NXG_MV,D,20151007,000000,25.09,26,24.7,26,0,0
