<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVU_PB,D,20110714,000000,470.83,470.83,470.83,470.83,0,0
RVU_PB,D,20110715,000000,479.58,483.92,464.75,478.67,0,0
RVU_PB,D,20110718,000000,464.75,475.25,462.17,462.17,0,0
RVU_PB,D,20110719,000000,474.33,474.33,470.83,474.33,0,0
RVU_PB,D,20110720,000000,483.08,483.08,470.83,470.83,0,0
RVU_PB,D,20110721,000000,479.58,479.58,457.75,470,0,0
RVU_PB,D,20110722,000000,462.17,462.17,420.25,449.08,0,0
RVU_PB,D,20110725,000000,466.5,466.5,446.42,446.42,0,0
RVU_PB,D,20110726,000000,470.83,470.83,470.83,470.83,0,0
RVU_PB,D,20110727,000000,470.83,470.83,470.83,470.83,0,0
RVU_PB,D,20110728,000000,470.83,470.83,470.83,470.83,0,0
RVU_PB,D,20110729,000000,470.83,470.83,470.83,470.83,0,0
RVU_PB,D,20110801,000000,549.33,549.33,474.33,474.33,0,0
RVU_PB,D,20110802,000000,479.58,479.58,479.58,479.58,0,0
RVU_PB,D,20110803,000000,483.92,483.92,453.42,470.83,0,0
RVU_PB,D,20110804,000000,470.83,470.83,445.58,470,0,0
RVU_PB,D,20110805,000000,445.58,470.83,444.67,444.67,0,0
RVU_PB,D,20110808,000000,436,436,436,436,0,0
RVU_PB,D,20110809,000000,479.58,479.58,425.5,425.5,0,0
RVU_PB,D,20110810,000000,470.83,470.83,393.25,393.25,0,0
RVU_PB,D,20110811,000000,413.33,413.33,401.08,413.33,0,0
RVU_PB,D,20110812,000000,462.17,462.17,436,436,0,0
RVU_PB,D,20110816,000000,462.17,462.17,3.52,3.52,0,0
RVU_PB,D,20110817,000000,3.68,3.68,3.54,3.54,0,0
RVU_PB,D,20110818,000000,3.68,3.68,3.68,3.68,0,0
RVU_PB,D,20110819,000000,3.54,3.68,3.54,3.68,0,0
RVU_PB,D,20110822,000000,3.68,3.68,3.68,3.68,0,0
RVU_PB,D,20110823,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110824,000000,3.73,3.73,3.53,3.73,0,0
RVU_PB,D,20110825,000000,3.61,3.61,3.61,3.61,0,0
RVU_PB,D,20110826,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110829,000000,3.71,3.71,3.71,3.71,0,0
RVU_PB,D,20110830,000000,3.71,3.74,3.71,3.74,0,0
RVU_PB,D,20110831,000000,3.73,3.73,3.73,3.73,0,0
RVU_PB,D,20110901,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110902,000000,3.74,3.74,3.52,3.74,0,0
RVU_PB,D,20110905,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110906,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110907,000000,3.54,3.54,3.54,3.54,0,0
RVU_PB,D,20110908,000000,3.54,3.54,3.54,3.54,0,0
RVU_PB,D,20110909,000000,3.54,3.54,3.54,3.54,0,0
RVU_PB,D,20110912,000000,3.75,3.75,3.75,3.75,0,0
RVU_PB,D,20110913,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110914,000000,3.73,3.73,3.73,3.73,0,0
RVU_PB,D,20110915,000000,3.73,3.73,3.73,3.73,0,0
RVU_PB,D,20110916,000000,3.71,3.71,3.71,3.71,0,0
RVU_PB,D,20110919,000000,3.71,3.71,3.71,3.71,0,0
RVU_PB,D,20110920,000000,3.71,3.71,3.71,3.71,0,0
RVU_PB,D,20110921,000000,3.71,3.71,3.71,3.71,0,0
RVU_PB,D,20110922,000000,3.74,3.74,3.5,3.5,0,0
RVU_PB,D,20110923,000000,3.74,3.74,3.47,3.47,0,0
RVU_PB,D,20110927,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110928,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110929,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20110930,000000,3.71,3.71,3.71,3.71,0,0
RVU_PB,D,20111003,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20111004,000000,3.74,3.74,3.74,3.74,0,0
RVU_PB,D,20111005,000000,3.74,3.88,3.74,3.88,0,0
RVU_PB,D,20111006,000000,3.88,3.88,3.71,3.86,0,0
RVU_PB,D,20111007,000000,3.61,3.88,3.61,3.88,0,0
RVU_PB,D,20111010,000000,3.88,3.88,3.88,3.88,0,0
RVU_PB,D,20111011,000000,3.88,3.88,3.88,3.88,0,0
RVU_PB,D,20111012,000000,3.88,3.88,3.88,3.88,0,0
RVU_PB,D,20111013,000000,3.86,3.86,3.86,3.86,0,0
RVU_PB,D,20111014,000000,3.86,3.86,3.86,3.86,0,0
RVU_PB,D,20111017,000000,3.86,3.86,3.86,3.86,0,0
RVU_PB,D,20111018,000000,3.86,3.86,3.86,3.86,0,0
RVU_PB,D,20111019,000000,3.81,3.85,3.81,3.82,0,0
RVU_PB,D,20111020,000000,3.82,3.82,3.82,3.82,0,0
RVU_PB,D,20111021,000000,3.82,3.82,3.82,3.82,0,0
RVU_PB,D,20111024,000000,3.82,3.82,3.82,3.82,0,0
RVU_PB,D,20111025,000000,3.82,3.82,3.82,3.82,0,0
RVU_PB,D,20111026,000000,3.82,3.82,3.82,3.82,0,0
RVU_PB,D,20111027,000000,3.82,3.82,3.82,3.82,0,0
RVU_PB,D,20111028,000000,3.82,3.82,3.82,3.82,0,0
RVU_PB,D,20111031,000000,3.82,3.85,3.82,3.84,0,0
RVU_PB,D,20111102,000000,3.84,3.84,3.84,3.84,0,0
RVU_PB,D,20111103,000000,3.84,3.84,3.84,3.84,0,0
RVU_PB,D,20111104,000000,3.75,3.84,3.75,3.84,0,0
RVU_PB,D,20111107,000000,3.84,3.84,3.84,3.84,0,0
RVU_PB,D,20111108,000000,3.84,3.84,3.68,3.68,0,0
RVU_PB,D,20111109,000000,3.84,3.84,3.84,3.84,0,0
RVU_PB,D,20111110,000000,3.84,3.84,3.84,3.84,0,0
RVU_PB,D,20111114,000000,3.84,3.84,3.84,3.84,0,0
RVU_PB,D,20111115,000000,3.84,3.84,3.84,3.84,0,0
RVU_PB,D,20111116,000000,3.84,3.84,3.75,3.75,0,0
RVU_PB,D,20111117,000000,3.85,3.85,3.85,3.85,0,0
RVU_PB,D,20111118,000000,3.86,3.86,3.86,3.86,0,0
RVU_PB,D,20111121,000000,3.86,3.86,3.86,3.86,0,0
RVU_PB,D,20111122,000000,3.86,4.21,3.86,4.21,0,0
RVU_PB,D,20111123,000000,4.05,4.21,4.05,4.21,0,0
RVU_PB,D,20111124,000000,4.01,4.17,4.01,4.17,0,0
RVU_PB,D,20111125,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20111128,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20111129,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20111130,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20111201,000000,4.16,4.16,4.16,4.16,0,0
RVU_PB,D,20111202,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111205,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111206,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111207,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111208,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111209,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111212,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111213,000000,4.15,4.15,3.94,4.15,0,0
RVU_PB,D,20111214,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111215,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111216,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111219,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111220,000000,4.15,4.15,3.9,4.15,0,0
RVU_PB,D,20111221,000000,4.15,4.15,3.9,4.15,0,0
RVU_PB,D,20111222,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111223,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111227,000000,4.15,4.15,4.14,4.15,0,0
RVU_PB,D,20111228,000000,4.15,4.15,4.15,4.15,0,0
RVU_PB,D,20111229,000000,4.15,4.15,3.87,4.15,0,0
RVU_PB,D,20111230,000000,4.15,4.15,3.71,4.15,0,0
RVU_PB,D,20120102,000000,4.24,4.24,4.24,4.24,0,0
RVU_PB,D,20120103,000000,4.24,4.24,4.01,4.24,0,0
RVU_PB,D,20120104,000000,4.24,4.24,4.24,4.24,0,0
RVU_PB,D,20120105,000000,4.24,4.24,4.24,4.24,0,0
RVU_PB,D,20120109,000000,4.24,4.24,4.24,4.24,0,0
RVU_PB,D,20120110,000000,4.24,4.24,4.24,4.24,0,0
RVU_PB,D,20120111,000000,4.21,4.21,4.2,4.2,0,0
RVU_PB,D,20120112,000000,4.2,4.2,4.2,4.2,0,0
RVU_PB,D,20120113,000000,4.2,4.2,4.2,4.2,0,0
RVU_PB,D,20120116,000000,4.21,4.21,4.21,4.21,0,0
RVU_PB,D,20120117,000000,4.2,4.2,4.2,4.2,0,0
RVU_PB,D,20120118,000000,4.09,4.09,4.09,4.09,0,0
RVU_PB,D,20120120,000000,4.07,4.07,4.07,4.07,0,0
RVU_PB,D,20120123,000000,4.08,4.08,3.9,4.07,0,0
RVU_PB,D,20120124,000000,4.07,4.07,3.9,3.9,0,0
RVU_PB,D,20120125,000000,4.07,4.07,3.94,3.94,0,0
RVU_PB,D,20120126,000000,4.07,4.07,4.07,4.07,0,0
RVU_PB,D,20120127,000000,4.07,4.07,4.07,4.07,0,0
RVU_PB,D,20120130,000000,4.08,4.08,4.08,4.08,0,0
RVU_PB,D,20120131,000000,4.07,4.07,4.07,4.07,0,0
RVU_PB,D,20120201,000000,4.07,4.07,3.98,3.98,0,0
RVU_PB,D,20120202,000000,4.01,4.02,4.01,4.02,0,0
RVU_PB,D,20120203,000000,4.2,4.2,4.2,4.2,0,0
RVU_PB,D,20120206,000000,4.2,4.2,4.2,4.2,0,0
RVU_PB,D,20120207,000000,4.2,4.2,4.2,4.2,0,0
RVU_PB,D,20120208,000000,4.2,4.2,4.02,4.17,0,0
RVU_PB,D,20120209,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20120210,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20120213,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20120214,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20120215,000000,4.17,4.17,4.17,4.17,0,0
RVU_PB,D,20120216,000000,4.16,4.71,3.95,4.71,0,0
RVU_PB,D,20120217,000000,4.95,4.95,4.95,4.95,0,0
RVU_PB,D,20120220,000000,4.95,4.95,4.95,4.95,0,0
RVU_PB,D,20120221,000000,4.95,4.95,4.7,4.7,0,0
RVU_PB,D,20120222,000000,4.93,4.93,4.93,4.93,0,0
RVU_PB,D,20120223,000000,4.91,4.91,4.91,4.91,0,0
RVU_PB,D,20120224,000000,4.93,4.93,4.8,4.91,0,0
RVU_PB,D,20120227,000000,4.95,4.95,4.95,4.95,0,0
RVU_PB,D,20120228,000000,4.95,4.95,4.74,4.86,0,0
RVU_PB,D,20120229,000000,4.88,4.88,4.78,4.86,0,0
RVU_PB,D,20120301,000000,4.94,4.94,4.64,4.64,0,0
RVU_PB,D,20120302,000000,4.94,4.94,4.94,4.94,0,0
RVU_PB,D,20120305,000000,4.95,4.95,4.79,4.79,0,0
RVU_PB,D,20120306,000000,4.94,4.94,4.94,4.94,0,0
RVU_PB,D,20120307,000000,4.94,4.94,4.76,4.87,0,0
RVU_PB,D,20120308,000000,4.94,4.94,4.94,4.94,0,0
RVU_PB,D,20120309,000000,4.94,4.94,4.94,4.94,0,0
RVU_PB,D,20120312,000000,4.87,4.87,4.87,4.87,0,0
RVU_PB,D,20120313,000000,4.92,4.92,4.92,4.92,0,0
RVU_PB,D,20120314,000000,4.92,4.92,4.7,4.7,0,0
RVU_PB,D,20120315,000000,4.92,4.92,4.92,4.92,0,0
RVU_PB,D,20120316,000000,4.92,4.92,4.92,4.92,0,0
RVU_PB,D,20120319,000000,4.87,4.87,4.87,4.87,0,0
RVU_PB,D,20120320,000000,4.92,4.92,4.78,4.78,0,0
RVU_PB,D,20120321,000000,4.91,4.91,4.91,4.91,0,0
RVU_PB,D,20120322,000000,4.87,4.87,4.87,4.87,0,0
RVU_PB,D,20120323,000000,4.91,4.91,4.91,4.91,0,0
RVU_PB,D,20120326,000000,4.92,4.92,4.92,4.92,0,0
RVU_PB,D,20120327,000000,4.91,4.91,4.91,4.91,0,0
RVU_PB,D,20120328,000000,4.88,4.88,4.88,4.88,0,0
