<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALG_MV,D,20130108,000000,19.09,19.09,19.09,19.09,0,0
ALG_MV,D,20130109,000000,15.91,19.09,15.28,19.09,0,0
ALG_MV,D,20130110,000000,19.09,19.2,19.09,19.09,0,0
ALG_MV,D,20130111,000000,21.22,21.22,21.22,21.22,0,0
ALG_MV,D,20130115,000000,20.16,21.22,20.16,21.22,0,0
ALG_MV,D,20130218,000000,20.16,20.16,20.16,20.16,0,0
ALG_MV,D,20130222,000000,19.09,19.09,16.97,19.09,0,0
ALG_MV,D,20130225,000000,16.97,19.09,16.97,19.09,0,0
ALG_MV,D,20130226,000000,21.19,21.19,19.09,20.16,0,0
ALG_MV,D,20130227,000000,20.05,20.05,20.05,20.05,0,0
ALG_MV,D,20130306,000000,20.16,20.16,20.16,20.16,0,0
ALG_MV,D,20130307,000000,19.09,19.09,19.09,19.09,0,0
ALG_MV,D,20130308,000000,19.09,20.16,19.09,20.16,0,0
ALG_MV,D,20130311,000000,19.09,20.16,19.09,20.16,0,0
ALG_MV,D,20130315,000000,21.19,21.22,21.19,21.22,0,0
ALG_MV,D,20130319,000000,20.92,20.92,20.92,20.92,0,0
ALG_MV,D,20130320,000000,20.94,21.22,20.94,21.22,0,0
ALG_MV,D,20130321,000000,21,21,21,21,0,0
ALG_MV,D,20130322,000000,21.22,21.22,21.22,21.22,0,0
ALG_MV,D,20130325,000000,21.22,21.43,21.22,21.43,0,0
ALG_MV,D,20130326,000000,21,21.51,21,21.51,0,0
ALG_MV,D,20130328,000000,21.43,21.64,21.43,21.64,0,0
ALG_MV,D,20130405,000000,21.85,22.06,21.85,22.06,0,0
ALG_MV,D,20130411,000000,23.13,23.13,23.13,23.13,0,0
ALG_MV,D,20130412,000000,22.7,22.7,22.7,22.7,0,0
ALG_MV,D,20130419,000000,23.32,23.32,23.32,23.32,0,0
ALG_MV,D,20130426,000000,23.32,23.32,23.32,23.32,0,0
ALG_MV,D,20130429,000000,23.32,23.74,23.32,23.74,0,0
ALG_MV,D,20130430,000000,23.66,23.66,23.66,23.66,0,0
ALG_MV,D,20130502,000000,23.74,23.74,23.74,23.74,0,0
ALG_MV,D,20130507,000000,23.74,23.76,23.74,23.76,0,0
ALG_MV,D,20130508,000000,24.29,24.29,24.29,24.29,0,0
ALG_MV,D,20130509,000000,24.38,24.38,24.38,24.38,0,0
ALG_MV,D,20130510,000000,24.4,24.61,24.4,24.61,0,0
ALG_MV,D,20130513,000000,24.61,24.61,24.61,24.61,0,0
ALG_MV,D,20130514,000000,24.5,25.35,24.5,25.35,0,0
ALG_MV,D,20130515,000000,25.35,25.46,25.35,25.46,0,0
ALG_MV,D,20130516,000000,24.4,25.14,24.4,25.14,0,0
ALG_MV,D,20130517,000000,25.57,25.57,25.57,25.57,0,0
ALG_MV,D,20130520,000000,25.46,25.46,25.46,25.46,0,0
ALG_MV,D,20130521,000000,25.54,25.54,25.54,25.54,0,0
ALG_MV,D,20130523,000000,25.46,25.46,25.46,25.46,0,0
ALG_MV,D,20130524,000000,25.46,25.46,25.03,25.03,0,0
ALG_MV,D,20130527,000000,24.4,24.4,24.4,24.4,0,0
ALG_MV,D,20130528,000000,25.03,25.03,25.03,25.03,0,0
ALG_MV,D,20130529,000000,25.48,25.5,25.48,25.48,0,0
ALG_MV,D,20130531,000000,25.5,25.57,25.5,25.57,0,0
ALG_MV,D,20130603,000000,25.57,25.57,23.8,23.8,0,0
ALG_MV,D,20130604,000000,25.35,25.35,25.35,25.35,0,0
ALG_MV,D,20130605,000000,25.57,25.57,25.57,25.57,0,0
ALG_MV,D,20130606,000000,25.54,25.54,25.54,25.54,0,0
ALG_MV,D,20130607,000000,25.57,25.67,25.57,25.67,0,0
ALG_MV,D,20130610,000000,25.67,25.67,25.67,25.67,0,0
ALG_MV,D,20130611,000000,25.65,25.65,25.65,25.65,0,0
ALG_MV,D,20130612,000000,25.65,25.65,25.65,25.65,0,0
ALG_MV,D,20130613,000000,25.65,25.65,25.65,25.65,0,0
ALG_MV,D,20130614,000000,25.65,25.65,25.65,25.65,0,0
ALG_MV,D,20130617,000000,25.71,25.76,25.71,25.76,0,0
ALG_MV,D,20130619,000000,25.76,25.76,25.76,25.76,0,0
ALG_MV,D,20130620,000000,25.78,25.78,25.78,25.78,0,0
ALG_MV,D,20130621,000000,25.78,25.86,25.78,25.86,0,0
ALG_MV,D,20130624,000000,25.88,25.88,25.88,25.88,0,0
ALG_MV,D,20130625,000000,25.46,25.46,25.46,25.46,0,0
ALG_MV,D,20130627,000000,25.67,25.67,25.67,25.67,0,0
ALG_MV,D,20130628,000000,25.88,25.88,25.88,25.88,0,0
ALG_MV,D,20130702,000000,25.78,25.78,25.78,25.78,0,0
ALG_MV,D,20130703,000000,25.78,25.78,25.78,25.78,0,0
ALG_MV,D,20130704,000000,24.1,25.88,24.1,25.88,0,0
ALG_MV,D,20130708,000000,24.1,24.5,24.1,24.5,0,0
ALG_MV,D,20130709,000000,24.72,24.72,24.72,24.72,0,0
ALG_MV,D,20130710,000000,23,23,22.91,22.91,0,0
ALG_MV,D,20130711,000000,22.91,22.91,22.91,22.91,0,0
ALG_MV,D,20130716,000000,21.43,21.43,21.43,21.43,0,0
ALG_MV,D,20130717,000000,21.64,21.64,21.64,21.64,0,0
ALG_MV,D,20130725,000000,21.41,21.41,21.41,21.41,0,0
ALG_MV,D,20130805,000000,20.16,20.16,20.16,20.16,0,0
ALG_MV,D,20130806,000000,20.16,20.16,20.05,20.05,0,0
ALG_MV,D,20130808,000000,20.05,20.05,20.05,20.05,0,0
ALG_MV,D,20130813,000000,20.05,20.05,20.05,20.05,0,0
ALG_MV,D,20130819,000000,19.94,19.94,19.94,19.94,0,0
ALG_MV,D,20130820,000000,19.94,19.94,19.94,19.94,0,0
ALG_MV,D,20130821,000000,19.94,19.94,19.94,19.94,0,0
ALG_MV,D,20130822,000000,19.94,19.94,19.94,19.94,0,0
ALG_MV,D,20130823,000000,20.03,20.03,20.03,20.03,0,0
ALG_MV,D,20130826,000000,20.03,20.03,20.03,20.03,0,0
ALG_MV,D,20130827,000000,20.03,20.03,20.03,20.03,0,0
ALG_MV,D,20130829,000000,18.67,19.09,18.67,19.09,0,0
ALG_MV,D,20130830,000000,17.78,19.09,17.78,19.09,0,0
ALG_MV,D,20130902,000000,16.55,17.78,16.55,17.78,0,0
ALG_MV,D,20130906,000000,16.02,16.23,16.02,16.23,0,0
ALG_MV,D,20130909,000000,15.11,15.28,15.11,15.28,0,0
ALG_MV,D,20130910,000000,13.79,13.85,13.79,13.85,0,0
ALG_MV,D,20130911,000000,13.85,13.9,13.85,13.9,0,0
ALG_MV,D,20130912,000000,13.92,13.92,13.92,13.92,0,0
ALG_MV,D,20130913,000000,13.94,13.98,13.94,13.98,0,0
ALG_MV,D,20130916,000000,14,14,14,14,0,0
ALG_MV,D,20130917,000000,15.06,15.06,15.06,15.06,0,0
ALG_MV,D,20130918,000000,14,14,14,14,0,0
ALG_MV,D,20130919,000000,14.04,14.04,14.04,14.04,0,0
ALG_MV,D,20130920,000000,14.21,14.21,14.21,14.21,0,0
ALG_MV,D,20130923,000000,14.21,14.26,14.21,14.26,0,0
ALG_MV,D,20130924,000000,13.79,13.79,13.79,13.79,0,0
ALG_MV,D,20130927,000000,13.79,13.79,13.79,13.79,0,0
ALG_MV,D,20130930,000000,13.79,13.79,13.79,13.79,0,0
ALG_MV,D,20131004,000000,13.79,13.79,13.79,13.79,0,0
ALG_MV,D,20131016,000000,13.79,13.79,13.79,13.79,0,0
ALG_MV,D,20131021,000000,13.79,14.21,13.79,14.21,0,0
ALG_MV,D,20131022,000000,13.79,13.79,13.79,13.79,0,0
ALG_MV,D,20131023,000000,14.21,14.85,14.21,14.85,0,0
