<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZEP_MV,D,20121030,000000,993.69,993.69,993.69,993.69,0,0
ZEP_MV,D,20121031,000000,993.69,998.3,986.02,986.02,0,0
ZEP_MV,D,20121102,000000,986.02,986.02,970.68,974.51,0,0
ZEP_MV,D,20121105,000000,970.68,971.83,970.68,970.68,0,0
ZEP_MV,D,20121106,000000,970.68,983.34,970.68,981.04,0,0
ZEP_MV,D,20121107,000000,985.25,989.48,981.43,981.43,0,0
ZEP_MV,D,20121108,000000,981.43,984.1,981.43,984.1,0,0
ZEP_MV,D,20121109,000000,984.1,984.87,979.5,982.19,0,0
ZEP_MV,D,20121112,000000,982.19,984.49,980.27,980.27,0,0
ZEP_MV,D,20121113,000000,980.27,982.95,980.27,982.95,0,0
ZEP_MV,D,20121114,000000,986.02,992.15,986.02,991.39,0,0
ZEP_MV,D,20121115,000000,992.93,997.54,989.86,991.78,0,0
ZEP_MV,D,20121116,000000,993.31,999.45,993.31,998.3,0,0
ZEP_MV,D,20121119,000000,997.54,999.45,991.78,995.61,0,0
ZEP_MV,D,20121120,000000,993.69,995.61,986.02,986.79,0,0
ZEP_MV,D,20121121,000000,984.1,985.64,982.19,982.57,0,0
ZEP_MV,D,20121122,000000,982.19,1008.27,978.73,1007.5,0,0
ZEP_MV,D,20121123,000000,1005.21,1010.96,1000.23,1009.04,0,0
ZEP_MV,D,20121126,000000,1009.04,1014.03,1009.04,1013.65,0,0
ZEP_MV,D,20121127,000000,1013.65,1013.65,1005.59,1011.74,0,0
ZEP_MV,D,20121128,000000,1009.04,1011.74,1002.9,1004.44,0,0
ZEP_MV,D,20121129,000000,1006.35,1012.5,1004.05,1011.74,0,0
ZEP_MV,D,20121130,000000,1012.89,1012.89,1009.42,1011.35,0,0
ZEP_MV,D,20121203,000000,1011.35,1011.35,1005.59,1007.88,0,0
ZEP_MV,D,20121204,000000,1005.97,1009.04,1005.97,1009.04,0,0
ZEP_MV,D,20121205,000000,1006.35,1009.81,1005.97,1006.73,0,0
ZEP_MV,D,20121206,000000,1006.35,1008.27,1005.97,1007.12,0,0
ZEP_MV,D,20121207,000000,1008.27,1009.81,1005.97,1009.81,0,0
ZEP_MV,D,20121210,000000,1010.58,1012.5,1007.12,1009.04,0,0
ZEP_MV,D,20121211,000000,1007.12,1009.81,1006.35,1009.04,0,0
ZEP_MV,D,20121212,000000,1006.73,1012.12,1003.29,1009.04,0,0
ZEP_MV,D,20121213,000000,1010.96,1050.48,1009.04,1045.49,0,0
ZEP_MV,D,20121214,000000,1043.57,1077.34,1039.73,1075.03,0,0
ZEP_MV,D,20121217,000000,1076.18,1083.09,1051.25,1064.29,0,0
ZEP_MV,D,20121218,000000,1062.75,1073.5,1058.92,1066.59,0,0
ZEP_MV,D,20121219,000000,1070.44,1079.63,1057,1076.95,0,0
ZEP_MV,D,20121220,000000,1068.9,1073.12,1066.59,1066.59,0,0
ZEP_MV,D,20121221,000000,1062.75,1062.75,1051.64,1055.08,0,0
ZEP_MV,D,20121227,000000,1049.71,1086.16,1049.71,1086.16,0,0
ZEP_MV,D,20121228,000000,1086.16,1091.54,1068.9,1091.54,0,0
ZEP_MV,D,20130102,000000,1092.69,1098.82,1090.77,1093.45,0,0
ZEP_MV,D,20130103,000000,1093.45,1106.88,1092.69,1106.88,0,0
ZEP_MV,D,20130104,000000,1101.13,1149.08,1101.13,1137.57,0,0
ZEP_MV,D,20130107,000000,1131.82,1159.82,1131.82,1156.75,0,0
ZEP_MV,D,20130108,000000,1156.75,1189.75,1151,1166.34,0,0
ZEP_MV,D,20130109,000000,1170.95,1212.39,1170.95,1212.39,0,0
ZEP_MV,D,20130110,000000,1227.74,1253.44,1200.87,1208.55,0,0
ZEP_MV,D,20130111,000000,1209.32,1220.06,1176.33,1187.83,0,0
ZEP_MV,D,20130114,000000,1174.41,1200.87,1174.41,1189.75,0,0
ZEP_MV,D,20130115,000000,1189.36,1189.36,1173.63,1173.63,0,0
ZEP_MV,D,20130116,000000,1172.48,1175.94,1166.72,1170.18,0,0
ZEP_MV,D,20130117,000000,1170.18,1189.36,1168.26,1178.63,0,0
ZEP_MV,D,20130118,000000,1182.07,1205.87,1178.63,1193.21,0,0
ZEP_MV,D,20130121,000000,1195.13,1204.71,1189.75,1198.96,0,0
