<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGN_PE,D,20081118,000000,11.8,11.8,11.8,11.8,0,0
SGN_PE,D,20081119,000000,11.9,12.8,11.9,12.8,0,0
SGN_PE,D,20081120,000000,12.5,13.3,12.2,13.2,0,0
SGN_PE,D,20081121,000000,13.4,13.4,13,13.4,0,0
SGN_PE,D,20081124,000000,13.4,13.4,12.4,13.2,0,0
SGN_PE,D,20081125,000000,13,13,12,12.2,0,0
SGN_PE,D,20081126,000000,12.2,12.2,11.7,11.9,0,0
SGN_PE,D,20081127,000000,11.9,12.4,11.9,12.1,0,0
SGN_PE,D,20081128,000000,12,12.7,12,12.7,0,0
SGN_PE,D,20081201,000000,12.9,13.2,12.5,12.7,0,0
SGN_PE,D,20081202,000000,12.5,12.8,12.4,12.4,0,0
SGN_PE,D,20081203,000000,12.4,12.4,11.9,12.2,0,0
SGN_PE,D,20081204,000000,12.2,12.9,12,12.9,0,0
SGN_PE,D,20081205,000000,12.6,13.4,11.4,11.4,0,0
SGN_PE,D,20081208,000000,11.5,11.8,11,11.7,0,0
SGN_PE,D,20081209,000000,11.9,12.1,11.7,11.9,0,0
SGN_PE,D,20081210,000000,11.9,12.4,11.2,12.4,0,0
SGN_PE,D,20081211,000000,12.4,12.4,11.8,11.8,0,0
SGN_PE,D,20081212,000000,11.6,11.6,11.2,11.3,0,0
SGN_PE,D,20081215,000000,11.4,11.6,11.4,11.5,0,0
SGN_PE,D,20081216,000000,11.6,11.6,11.3,11.4,0,0
SGN_PE,D,20081217,000000,11.4,11.4,10.9,11.4,0,0
SGN_PE,D,20081218,000000,11.4,11.5,11,11.5,0,0
SGN_PE,D,20081219,000000,11.5,11.7,11.2,11.7,0,0
SGN_PE,D,20081222,000000,11.7,11.9,11.5,11.9,0,0
SGN_PE,D,20081223,000000,11.9,12,11.8,11.9,0,0
SGN_PE,D,20081229,000000,11.7,12.3,11.7,12.3,0,0
SGN_PE,D,20081230,000000,12.3,12.4,12.2,12.4,0,0
SGN_PE,D,20081231,000000,12.4,12.6,12.2,12.6,0,0
SGN_PE,D,20090105,000000,12.6,12.8,12.5,12.8,0,0
SGN_PE,D,20090106,000000,12.8,12.8,12.7,12.7,0,0
SGN_PE,D,20090107,000000,12.5,12.7,12.4,12.4,0,0
SGN_PE,D,20090108,000000,12.4,12.4,12,12,0,0
SGN_PE,D,20090109,000000,11.7,11.8,11.7,11.7,0,0
SGN_PE,D,20090112,000000,11.7,11.7,11.1,11.3,0,0
SGN_PE,D,20090113,000000,11.2,11.2,11,11.1,0,0
SGN_PE,D,20090114,000000,11,11,10.6,10.6,0,0
SGN_PE,D,20090115,000000,10.5,10.6,10.2,10.3,0,0
SGN_PE,D,20090116,000000,10.3,10.4,10.2,10.4,0,0
SGN_PE,D,20090119,000000,10.5,10.5,10,10.4,0,0
SGN_PE,D,20090120,000000,10.5,10.5,9.6,9.7,0,0
SGN_PE,D,20090121,000000,9.9,9.9,9.5,9.5,0,0
SGN_PE,D,20090122,000000,9.7,9.7,9.3,9.5,0,0
