<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLS_PE,D,20180628,000000,25.292,25.292,25.292,25.292,0,0
MLS_PE,D,20180629,000000,25.689,26.184,24.796,25.887,0,0
MLS_PE,D,20180702,000000,26.284,26.383,25.887,25.887,0,0
MLS_PE,D,20180703,000000,25.887,25.887,25.391,25.788,0,0
MLS_PE,D,20180704,000000,25.788,25.887,25.788,25.887,0,0
MLS_PE,D,20180705,000000,25.887,25.887,25.887,25.887,0,0
MLS_PE,D,20180706,000000,26.383,26.383,25.193,25.193,0,0
MLS_PE,D,20180709,000000,25.887,25.887,25.887,25.887,0,0
MLS_PE,D,20180710,000000,24.994,25.887,24.002,25.887,0,0
MLS_PE,D,20180711,000000,25.887,25.887,24.994,25.788,0,0
MLS_PE,D,20180712,000000,24.994,25.887,24.201,25.887,0,0
MLS_PE,D,20180713,000000,25.391,26.78,25.391,26.78,0,0
MLS_PE,D,20180716,000000,26.78,26.78,25.887,25.887,0,0
MLS_PE,D,20180717,000000,25.986,26.284,25.292,26.284,0,0
MLS_PE,D,20180718,000000,26.284,26.284,25.292,26.184,0,0
MLS_PE,D,20180720,000000,26.184,26.184,26.184,26.184,0,0
MLS_PE,D,20180723,000000,26.085,26.184,25.292,26.184,0,0
MLS_PE,D,20180724,000000,24.895,26.78,24.895,26.78,0,0
MLS_PE,D,20180725,000000,26.78,27.375,26.184,27.276,0,0
MLS_PE,D,20180726,000000,27.573,27.573,25.986,27.474,0,0
MLS_PE,D,20180727,000000,27.474,29.557,26.78,29.557,0,0
MLS_PE,D,20180730,000000,29.358,30.449,29.358,29.854,0,0
MLS_PE,D,20180731,000000,29.755,29.755,26.978,29.557,0,0
MLS_PE,D,20180801,000000,29.557,29.656,29.557,29.656,0,0
MLS_PE,D,20180802,000000,29.854,29.854,29.854,29.854,0,0
MLS_PE,D,20180803,000000,29.953,30.152,29.557,29.557,0,0
MLS_PE,D,20180806,000000,29.557,29.656,29.358,29.656,0,0
MLS_PE,D,20180807,000000,29.755,30.449,29.755,30.449,0,0
MLS_PE,D,20180808,000000,30.449,32.334,29.557,31.838,0,0
MLS_PE,D,20180809,000000,33.722,33.722,31.838,31.937,0,0
MLS_PE,D,20180810,000000,31.838,31.838,31.54,31.739,0,0
MLS_PE,D,20180813,000000,31.739,31.838,30.945,31.342,0,0
MLS_PE,D,20180814,000000,31.441,31.441,31.342,31.342,0,0
MLS_PE,D,20180816,000000,31.342,31.739,31.342,31.342,0,0
MLS_PE,D,20180817,000000,30.846,30.945,30.846,30.945,0,0
MLS_PE,D,20180820,000000,30.648,30.747,30.648,30.747,0,0
MLS_PE,D,20180821,000000,30.747,31.243,30.747,31.243,0,0
MLS_PE,D,20180822,000000,31.243,31.243,28.267,30.945,0,0
MLS_PE,D,20180823,000000,30.747,30.945,30.747,30.747,0,0
MLS_PE,D,20180824,000000,30.747,30.747,30.747,30.747,0,0
MLS_PE,D,20180827,000000,30.747,30.945,30.747,30.945,0,0
MLS_PE,D,20180828,000000,30.846,30.846,30.846,30.846,0,0
MLS_PE,D,20180829,000000,30.747,30.945,29.557,30.945,0,0
MLS_PE,D,20180830,000000,30.846,30.846,29.755,30.648,0,0
MLS_PE,D,20180831,000000,29.854,29.854,27.97,28.069,0,0
MLS_PE,D,20180903,000000,27.672,27.672,24.002,24.002,0,0
MLS_PE,D,20180904,000000,24.895,24.895,20.333,22.812,0,0
MLS_PE,D,20180905,000000,23.407,23.804,22.217,23.705,0,0
MLS_PE,D,20180906,000000,23.705,23.705,22.614,23.209,0,0
MLS_PE,D,20180907,000000,23.11,23.209,22.316,22.713,0,0
MLS_PE,D,20180910,000000,22.713,23.308,22.416,22.416,0,0
MLS_PE,D,20180911,000000,22.416,22.416,22.217,22.416,0,0
MLS_PE,D,20180912,000000,22.416,22.614,22.416,22.614,0,0
MLS_PE,D,20180913,000000,22.614,22.614,22.614,22.614,0,0
MLS_PE,D,20180914,000000,22.812,22.812,22.416,22.416,0,0
MLS_PE,D,20180917,000000,22.812,23.11,22.812,23.011,0,0
MLS_PE,D,20180918,000000,23.011,23.011,22.217,22.217,0,0
MLS_PE,D,20180919,000000,23.011,23.011,22.911,22.911,0,0
MLS_PE,D,20180920,000000,22.316,22.316,22.217,22.217,0,0
MLS_PE,D,20180921,000000,22.217,22.217,21.82,21.82,0,0
MLS_PE,D,20180924,000000,21.721,22.713,21.721,21.721,0,0
MLS_PE,D,20180925,000000,22.713,22.911,21.92,22.911,0,0
MLS_PE,D,20180926,000000,22.416,22.911,22.019,22.911,0,0
MLS_PE,D,20180927,000000,22.911,22.911,22.911,22.911,0,0
MLS_PE,D,20180928,000000,22.812,22.812,22.812,22.812,0,0
MLS_PE,D,20181001,000000,22.019,22.812,22.019,22.812,0,0
