<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAD_MV,D,20210312,000000,221.681,221.681,221.681,221.681,0,0
DAD_MV,D,20210315,000000,221.711,226.208,219.985,226.208,0,0
DAD_MV,D,20210316,000000,226.1,226.1,221.454,221.681,0,0
DAD_MV,D,20210317,000000,223.378,225.074,220.557,225.074,0,0
DAD_MV,D,20210318,000000,223.378,226.208,222.362,222.815,0,0
DAD_MV,D,20210319,000000,227.342,231.86,222.924,231.86,0,0
DAD_MV,D,20210322,000000,231.86,247.532,231.86,247.473,0,0
DAD_MV,D,20210323,000000,247.473,247.7,234.69,234.69,0,0
DAD_MV,D,20210324,000000,237.521,238.645,235.253,235.253,0,0
DAD_MV,D,20210325,000000,237.521,237.521,232.432,233.556,0,0
DAD_MV,D,20210326,000000,232.994,234.128,231.919,232.432,0,0
DAD_MV,D,20210329,000000,231.86,237.521,231.86,236.387,0,0
DAD_MV,D,20210330,000000,236.505,236.505,231.298,232.994,0,0
DAD_MV,D,20210331,000000,234.128,237.462,230.735,231.978,0,0
DAD_MV,D,20210401,000000,231.86,237.462,230.735,234.69,0,0
DAD_MV,D,20210406,000000,237.403,237.403,231.86,236.949,0,0
DAD_MV,D,20210407,000000,237.403,237.403,232.994,235.825,0,0
DAD_MV,D,20210408,000000,238.645,247.7,237.521,242.038,0,0
DAD_MV,D,20210409,000000,244.366,251.319,241.476,251.319,0,0
DAD_MV,D,20210412,000000,252.503,269.191,252.503,265.798,0,0
DAD_MV,D,20210413,000000,269.014,269.014,260.137,263.53,0,0
DAD_MV,D,20210414,000000,269.191,269.191,260.255,263.303,0,0
DAD_MV,D,20210415,000000,263.303,266.923,262.405,266.587,0,0
DAD_MV,D,20210416,000000,264.102,280.948,264.102,274.734,0,0
DAD_MV,D,20210419,000000,274.784,280.267,271.45,274.843,0,0
DAD_MV,D,20210420,000000,274.843,277.101,271.45,271.45,0,0
DAD_MV,D,20210421,000000,271.45,276.204,271.45,272.13,0,0
DAD_MV,D,20210422,000000,273.038,276.026,273.038,273.038,0,0
DAD_MV,D,20210423,000000,273.146,277.101,271.45,273.6,0,0
DAD_MV,D,20210426,000000,276.993,276.993,273.659,273.708,0,0
DAD_MV,D,20210427,000000,276.658,279.143,273.768,279.143,0,0
DAD_MV,D,20210428,000000,278.236,288.414,275.977,287.28,0,0
DAD_MV,D,20210429,000000,294.016,298.593,287.339,298.593,0,0
DAD_MV,D,20210430,000000,300.861,301.877,294.076,301.877,0,0
DAD_MV,D,20210504,000000,305.379,305.951,292.941,294.076,0,0
DAD_MV,D,20210505,000000,299.727,299.727,284.459,293.05,0,0
DAD_MV,D,20210506,000000,294.076,313.299,285.021,294.076,0,0
DAD_MV,D,20210507,000000,294.076,294.076,289.548,293.957,0,0
DAD_MV,D,20210510,000000,290.732,294.076,287.28,289.548,0,0
DAD_MV,D,20210511,000000,289.548,289.548,279.37,279.824,0,0
DAD_MV,D,20210512,000000,279.37,279.37,261.271,276.431,0,0
DAD_MV,D,20210513,000000,276.431,282.763,273.708,273.708,0,0
DAD_MV,D,20210514,000000,278.295,282.763,275.977,281.628,0,0
DAD_MV,D,20210517,000000,282.644,282.644,278.403,281.628,0,0
DAD_MV,D,20210518,000000,278.63,281.628,275.405,275.405,0,0
DAD_MV,D,20210519,000000,278.236,281.52,275.405,277.101,0,0
DAD_MV,D,20210520,000000,280.218,280.494,277.101,277.22,0,0
DAD_MV,D,20210521,000000,278.295,291.58,278.295,291.245,0,0
DAD_MV,D,20210524,000000,294.076,294.076,280.494,286.659,0,0
DAD_MV,D,20210525,000000,288.306,288.306,282.812,283.443,0,0
DAD_MV,D,20210526,000000,282.871,283.325,282.871,282.871,0,0
DAD_MV,D,20210527,000000,282.871,283.443,282.644,282.763,0,0
DAD_MV,D,20210528,000000,282.763,282.763,271.45,271.785,0,0
DAD_MV,D,20210531,000000,271.45,275.977,267.495,271.45,0,0
DAD_MV,D,20210601,000000,270.316,270.316,265.798,266.923,0,0
DAD_MV,D,20210602,000000,266.923,266.923,252.789,257.878,0,0
DAD_MV,D,20210604,000000,255.837,270.316,255.837,270.316,0,0
DAD_MV,D,20210607,000000,265.798,272.584,265.798,272.584,0,0
DAD_MV,D,20210608,000000,274.843,275.859,265.739,275.75,0,0
DAD_MV,D,20210609,000000,276.204,276.204,268.057,274.281,0,0
DAD_MV,D,20210610,000000,274.281,274.281,267.495,267.495,0,0
DAD_MV,D,20210611,000000,266.242,266.242,262.405,262.849,0,0
DAD_MV,D,20210614,000000,261.952,262.405,256.971,261.833,0,0
DAD_MV,D,20210615,000000,265.798,265.798,260.196,261.833,0,0
DAD_MV,D,20210616,000000,265.798,268.964,260.305,268.964,0,0
DAD_MV,D,20210617,000000,271.45,282.763,268.964,282.763,0,0
DAD_MV,D,20210618,000000,283.887,288.414,278.295,282.191,0,0
DAD_MV,D,20210621,000000,282.763,286.156,269.813,273.935,0,0
DAD_MV,D,20210622,000000,275.977,275.977,268.165,273.708,0,0
DAD_MV,D,20210623,000000,275.977,275.977,269.753,269.862,0,0
DAD_MV,D,20210624,000000,271.45,272.584,269.753,271.45,0,0
DAD_MV,D,20210625,000000,265.848,275.859,265.572,275.859,0,0
DAD_MV,D,20210628,000000,275.977,275.977,264.102,265.345,0,0
DAD_MV,D,20210629,000000,265.345,270.316,264.664,270.316,0,0
DAD_MV,D,20210630,000000,269.191,271.45,259.861,262.405,0,0
DAD_MV,D,20210701,000000,262.405,268.452,260.137,260.137,0,0
DAD_MV,D,20210702,000000,262.405,271.223,260.137,262.741,0,0
DAD_MV,D,20210705,000000,265.798,265.798,263.648,265.798,0,0
DAD_MV,D,20210706,000000,267.603,270.769,247.7,256.182,0,0
DAD_MV,D,20210707,000000,252.227,259.91,250.53,252.227,0,0
DAD_MV,D,20210708,000000,254.485,254.485,249.278,252.789,0,0
DAD_MV,D,20210709,000000,249.958,253.351,247.7,249.958,0,0
DAD_MV,D,20210712,000000,253.243,253.243,236.387,243.173,0,0
DAD_MV,D,20210713,000000,248.834,253.016,243.173,253.016,0,0
DAD_MV,D,20210714,000000,253.016,259.91,253.016,255.669,0,0
DAD_MV,D,20210715,000000,255.62,255.62,254.485,254.939,0,0
DAD_MV,D,20210716,000000,255.62,255.62,254.485,255.62,0,0
DAD_MV,D,20210719,000000,257.878,257.878,245.431,247.7,0,0
DAD_MV,D,20210720,000000,245.431,253.351,245.431,253.351,0,0
DAD_MV,D,20210721,000000,253.351,254.485,246.112,252.227,0,0
DAD_MV,D,20210722,000000,254.426,254.426,248.834,249.958,0,0
DAD_MV,D,20210723,000000,249.958,249.958,248.262,248.262,0,0
DAD_MV,D,20210726,000000,247.7,248.834,243.735,243.735,0,0
DAD_MV,D,20210727,000000,245.431,248.834,243.735,245.431,0,0
DAD_MV,D,20210728,000000,246.565,251.655,244.307,244.307,0,0
