<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASM_PB,D,20130318,000000,1.6724,1.6724,1.6724,1.6724,0,0
ASM_PB,D,20130319,000000,1.425,1.425,1.326,1.326,0,0
ASM_PB,D,20130320,000000,1.0489,1.0489,1.0489,1.0489,0,0
ASM_PB,D,20130321,000000,1.326,1.326,1.326,1.326,0,0
ASM_PB,D,20130326,000000,0.9104,0.9104,0.9104,0.9104,0,0
ASM_PB,D,20130327,000000,0.9104,0.9104,0.9104,0.9104,0,0
ASM_PB,D,20130328,000000,0.8411,0.8411,0.8312,0.8312,0,0
ASM_PB,D,20130408,000000,0.8312,0.8312,0.8312,0.8312,0,0
ASM_PB,D,20130606,000000,0.7719,0.9203,0.7719,0.9203,0,0
ASM_PB,D,20130611,000000,0.9896,0.9896,0.9896,0.9896,0,0
ASM_PB,D,20130619,000000,0.9995,0.9995,0.9995,0.9995,0,0
ASM_PB,D,20130710,000000,1.1182,1.1182,1.1182,1.1182,0,0
ASM_PB,D,20130819,000000,1.0489,1.0489,1.0489,1.0489,0,0
ASM_PB,D,20130902,000000,0.9698,0.9698,0.9698,0.9698,0,0
ASM_PB,D,20130917,000000,1.0489,1.0489,1.0489,1.0489,0,0
ASM_PB,D,20130918,000000,1.2864,1.2864,1.2864,1.2864,0,0
ASM_PB,D,20130919,000000,1.7119,1.7119,1.7119,1.7119,0,0
ASM_PB,D,20130920,000000,1.7119,1.7119,1.7119,1.7119,0,0
ASM_PB,D,20130925,000000,1.613,1.613,1.613,1.613,0,0
ASM_PB,D,20131014,000000,1.6724,1.6724,1.6724,1.6724,0,0
ASM_PB,D,20140107,000000,1.6229,1.6229,1.6229,1.6229,0,0
ASM_PB,D,20140108,000000,1.6922,1.6922,1.6922,1.6922,0,0
ASM_PB,D,20140930,000000,1.5932,1.5932,1.5932,1.5932,0,0
ASM_PB,D,20141001,000000,1.8901,1.8901,1.8901,1.8901,0,0
ASM_PB,D,20141010,000000,1.6229,1.6229,1.6229,1.6229,0,0
ASM_PB,D,20141013,000000,1.6229,1.6229,1.6229,1.6229,0,0
ASM_PB,D,20141016,000000,1.514,1.514,1.514,1.514,0,0
ASM_PB,D,20141027,000000,1.514,1.514,1.514,1.514,0,0
ASM_PB,D,20141223,000000,1.6328,1.6328,1.6328,1.6328,0,0
ASM_PB,D,20150107,000000,1.5338,1.5338,1.5338,1.5338,0,0
ASM_PB,D,20150128,000000,1.6427,1.6427,1.6427,1.6427,0,0
ASM_PB,D,20150204,000000,1.5338,1.5338,1.5338,1.5338,0,0
ASM_PB,D,20150330,000000,1.613,1.613,1.613,1.613,0,0
ASM_PB,D,20150427,000000,1.6328,1.6328,1.6328,1.6328,0,0
ASM_PB,D,20150430,000000,1.5239,1.5239,1.5239,1.5239,0,0
