<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ART_PE,D,20161117,000000,37.3,37.3,37.3,37.3,0,0
ART_PE,D,20161118,000000,38.7,39.1,37.2,37.2,0,0
ART_PE,D,20161121,000000,36.5,38.3,36.5,38.3,0,0
ART_PE,D,20161122,000000,38.5,38.5,37.9,38.3,0,0
ART_PE,D,20161123,000000,38.3,38.3,37.2,38.2,0,0
ART_PE,D,20161124,000000,37.4,40.1,37.4,39.9,0,0
ART_PE,D,20161125,000000,40.1,40.1,38.6,38.6,0,0
ART_PE,D,20161128,000000,38.4,38.4,38.2,38.2,0,0
ART_PE,D,20161129,000000,38.8,38.8,37.3,37.3,0,0
ART_PE,D,20161130,000000,38.1,38.2,37.3,38.2,0,0
ART_PE,D,20161201,000000,38.4,38.4,38,38.3,0,0
ART_PE,D,20161202,000000,38.4,38.4,37.4,38.2,0,0
ART_PE,D,20161205,000000,38.2,38.2,34.1,34.1,0,0
ART_PE,D,20161206,000000,34.5,34.5,32.6,32.6,0,0
ART_PE,D,20161207,000000,32.8,32.8,32.3,32.3,0,0
ART_PE,D,20161208,000000,32.3,33.6,30.4,33.6,0,0
ART_PE,D,20161209,000000,33.6,33.6,32.5,33,0,0
ART_PE,D,20161212,000000,32.8,33.6,32.1,33.6,0,0
ART_PE,D,20161213,000000,33.6,34.4,33,34.2,0,0
ART_PE,D,20161214,000000,34.3,34.3,33.7,34.2,0,0
ART_PE,D,20161215,000000,33.9,34.3,33.7,34.2,0,0
ART_PE,D,20161216,000000,34.3,34.3,32.3,33.8,0,0
ART_PE,D,20161219,000000,34,34,33.8,34,0,0
ART_PE,D,20161220,000000,34,34,33.4,33.8,0,0
ART_PE,D,20161221,000000,33.8,35.5,33.1,35.5,0,0
ART_PE,D,20161222,000000,34.7,36.9,34.7,35.5,0,0
ART_PE,D,20161223,000000,35.5,35.5,35.5,35.5,0,0
ART_PE,D,20161227,000000,35.5,35.5,35.2,35.5,0,0
ART_PE,D,20161228,000000,35.5,36.3,35.2,35.5,0,0
ART_PE,D,20161229,000000,35.5,36.3,35.5,36.1,0,0
ART_PE,D,20161230,000000,36.2,36.2,35.3,36.2,0,0
ART_PE,D,20170102,000000,36.2,36.2,35.5,36.2,0,0
ART_PE,D,20170103,000000,36.2,36.2,35.8,35.9,0,0
ART_PE,D,20170104,000000,36.2,36.3,34.5,36.3,0,0
ART_PE,D,20170105,000000,36.3,36.3,35.3,35.3,0,0
ART_PE,D,20170109,000000,35.3,35.5,35.3,35.5,0,0
ART_PE,D,20170110,000000,35.4,35.4,34.4,34.5,0,0
ART_PE,D,20170111,000000,35.3,35.3,35.1,35.1,0,0
ART_PE,D,20170112,000000,35.1,35.3,34.3,34.5,0,0
ART_PE,D,20170113,000000,35.1,35.1,35.1,35.1,0,0
ART_PE,D,20170116,000000,35,35,34.8,34.8,0,0
ART_PE,D,20170117,000000,35,35,34.6,34.7,0,0
ART_PE,D,20170118,000000,34.1,34.3,34.1,34.3,0,0
ART_PE,D,20170119,000000,34.7,34.7,33.3,34,0,0
ART_PE,D,20170120,000000,34.2,34.4,31.1,33.1,0,0
ART_PE,D,20170123,000000,33.1,33.9,33.1,33.8,0,0
ART_PE,D,20170124,000000,33,33.8,33,33.8,0,0
ART_PE,D,20170125,000000,33.8,35.4,32.9,35.4,0,0
ART_PE,D,20170126,000000,34.1,35.1,34.1,35.1,0,0
ART_PE,D,20170127,000000,35.4,35.4,33.8,33.8,0,0
ART_PE,D,20170130,000000,35.2,35.2,34.5,34.8,0,0
ART_PE,D,20170131,000000,34.8,34.8,33.2,33.2,0,0
ART_PE,D,20170201,000000,33,34.5,33,34.5,0,0
ART_PE,D,20170202,000000,35.3,35.3,33.8,33.9,0,0
ART_PE,D,20170203,000000,35,35,33.5,33.5,0,0
ART_PE,D,20170206,000000,34.9,34.9,34.3,34.3,0,0
ART_PE,D,20170207,000000,34,34,33.9,33.9,0,0
ART_PE,D,20170208,000000,34.9,34.9,33,33.7,0,0
ART_PE,D,20170209,000000,33.7,33.7,33.1,33.5,0,0
ART_PE,D,20170210,000000,33.5,33.8,33,33.7,0,0
ART_PE,D,20170213,000000,33.7,33.7,33,33.7,0,0
ART_PE,D,20170214,000000,33.7,33.9,33.2,33.8,0,0
ART_PE,D,20170215,000000,33.8,34.6,33.3,34.6,0,0
ART_PE,D,20170216,000000,34.5,34.5,33.9,34.3,0,0
ART_PE,D,20170217,000000,34.3,34.3,33.2,33.4,0,0
ART_PE,D,20170220,000000,33.1,34.3,33.1,33.9,0,0
ART_PE,D,20170221,000000,34.4,36.6,33.9,36.3,0,0
ART_PE,D,20170222,000000,35.5,37.9,35.5,37.9,0,0
ART_PE,D,20170223,000000,38,38.4,37.3,38.3,0,0
ART_PE,D,20170224,000000,38.2,38.3,36.4,37.1,0,0
ART_PE,D,20170227,000000,37.1,37.3,36.5,36.9,0,0
ART_PE,D,20170228,000000,36.9,36.9,36.3,36.5,0,0
ART_PE,D,20170301,000000,36.5,36.6,36,36.4,0,0
ART_PE,D,20170302,000000,36.9,36.9,36.4,36.4,0,0
ART_PE,D,20170303,000000,36.6,36.8,36.6,36.6,0,0
ART_PE,D,20170306,000000,36.6,36.6,35.5,36.6,0,0
ART_PE,D,20170307,000000,36.3,36.3,34.9,35.5,0,0
ART_PE,D,20170308,000000,35.5,35.5,35,35.5,0,0
ART_PE,D,20170309,000000,35,35.5,35,35.5,0,0
ART_PE,D,20170310,000000,35.5,35.5,34.5,35.4,0,0
ART_PE,D,20170313,000000,35.4,35.4,33.6,33.7,0,0
ART_PE,D,20170314,000000,33.7,33.7,32.2,32.2,0,0
ART_PE,D,20170315,000000,32.2,32.6,31.3,31.9,0,0
ART_PE,D,20170316,000000,34.1,34.1,32,33.4,0,0
ART_PE,D,20170317,000000,33.4,33.4,32.3,32.6,0,0
ART_PE,D,20170320,000000,33.3,33.3,32.2,32.7,0,0
ART_PE,D,20170321,000000,33.2,33.2,31.8,31.8,0,0
ART_PE,D,20170322,000000,31.9,31.9,31.9,31.9,0,0
ART_PE,D,20170323,000000,32.9,32.9,31.7,32.2,0,0
ART_PE,D,20170324,000000,32.6,32.6,31.8,32.6,0,0
ART_PE,D,20170327,000000,32.6,32.6,32.5,32.5,0,0
ART_PE,D,20170328,000000,32.5,32.8,31.9,32.2,0,0
