<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENG_MV,D,20131211,000000,5569.07,5569.07,5569.07,5569.07,0,0
ENG_MV,D,20131212,000000,5503.31,5607.14,5472.15,5472.15,0,0
ENG_MV,D,20131213,000000,5472.15,5603.68,5472.15,5603.68,0,0
ENG_MV,D,20131216,000000,5572.53,5683.28,5572.53,5641.75,0,0
ENG_MV,D,20131217,000000,5631.37,5648.68,5555.22,5555.22,0,0
ENG_MV,D,20131218,000000,5607.14,5607.14,5544.85,5586.36,0,0
ENG_MV,D,20131219,000000,5586.36,5586.36,5537.91,5555.22,0,0
ENG_MV,D,20131220,000000,5537.91,5555.22,5530.98,5555.22,0,0
ENG_MV,D,20131223,000000,5596.75,5596.75,5537.91,5537.91,0,0
ENG_MV,D,20131227,000000,5537.91,5555.22,5530.98,5551.75,0,0
ENG_MV,D,20131230,000000,5520.6,5530.98,5506.77,5513.69,0,0
ENG_MV,D,20140102,000000,5537.91,5537.91,5472.15,5520.6,0,0
ENG_MV,D,20140103,000000,5524.07,5534.45,5465.23,5503.31,0,0
ENG_MV,D,20140107,000000,5472.15,5485.99,5434.07,5468.69,0,0
ENG_MV,D,20140108,000000,5420.23,5468.69,5402.92,5468.69,0,0
ENG_MV,D,20140109,000000,5434.07,5489.45,5434.07,5479.07,0,0
ENG_MV,D,20140110,000000,5451.39,5485.99,5409.84,5479.07,0,0
ENG_MV,D,20140113,000000,5510.23,5745.58,5510.23,5724.81,0,0
ENG_MV,D,20140114,000000,5672.89,5738.66,5638.29,5707.52,0,0
ENG_MV,D,20140115,000000,5679.82,5704.05,5641.75,5686.75,0,0
ENG_MV,D,20140116,000000,5683.28,5728.28,5676.36,5693.66,0,0
ENG_MV,D,20140117,000000,5738.66,5814.82,5735.19,5783.66,0,0
ENG_MV,D,20140120,000000,5814.82,5814.82,5749.05,5780.2,0,0
ENG_MV,D,20140121,000000,5787.12,5790.57,5728.28,5745.58,0,0
ENG_MV,D,20140122,000000,5721.36,5752.52,5697.13,5745.58,0,0
ENG_MV,D,20140123,000000,5728.28,5745.58,5710.98,5714.44,0,0
ENG_MV,D,20140124,000000,5700.59,5721.36,5700.59,5717.9,0,0
ENG_MV,D,20140127,000000,5645.21,5717.9,5645.21,5717.9,0,0
ENG_MV,D,20140128,000000,5662.51,5710.98,5662.51,5693.66,0,0
ENG_MV,D,20140129,000000,5662.51,5683.28,5555.22,5589.83,0,0
ENG_MV,D,20140130,000000,5589.83,5614.06,5565.61,5607.14,0,0
ENG_MV,D,20140131,000000,5596.75,5600.22,5572.53,5572.53,0,0
ENG_MV,D,20140203,000000,5548.29,5607.14,5548.29,5603.68,0,0
ENG_MV,D,20140204,000000,5537.91,5607.14,5537.91,5607.14,0,0
ENG_MV,D,20140205,000000,5607.14,5676.36,5589.83,5641.75,0,0
ENG_MV,D,20140206,000000,5641.75,5728.28,5624.44,5728.28,0,0
ENG_MV,D,20140207,000000,5745.58,5780.2,5700.59,5780.2,0,0
ENG_MV,D,20140210,000000,5780.2,5849.42,5749.05,5839.04,0,0
ENG_MV,D,20140211,000000,5835.58,5859.81,5794.04,5842.5,0,0
ENG_MV,D,20140212,000000,5839.04,5915.18,5794.04,5884.03,0,0
ENG_MV,D,20140213,000000,5884.03,5953.25,5842.5,5953.25,0,0
ENG_MV,D,20140214,000000,5953.25,6001.71,5915.18,6001.71,0,0
ENG_MV,D,20140217,000000,5977.48,6039.78,5963.65,6019.03,0,0
ENG_MV,D,20140218,000000,6019.03,6022.49,5915.18,6005.17,0,0
ENG_MV,D,20140219,000000,5953.25,6022.49,5922.11,6015.56,0,0
ENG_MV,D,20140220,000000,5953.25,6001.71,5946.33,5984.4,0,0
ENG_MV,D,20140221,000000,5956.73,6005.17,5956.73,5991.33,0,0
ENG_MV,D,20140224,000000,5987.87,6001.71,5960.19,5970.56,0,0
ENG_MV,D,20140225,000000,5970.56,6029.41,5970.56,6015.56,0,0
ENG_MV,D,20140226,000000,5984.4,6015.56,5949.79,6005.17,0,0
ENG_MV,D,20140227,000000,5987.87,6057.09,5987.87,6057.09,0,0
ENG_MV,D,20140228,000000,6057.09,6119.39,6053.63,6091.7,0,0
ENG_MV,D,20140303,000000,5884.03,5915.18,5742.12,5825.2,0,0
ENG_MV,D,20140304,000000,5832.11,5963.65,5825.2,5942.87,0,0
ENG_MV,D,20140305,000000,5953.25,5963.65,5942.87,5953.25,0,0
ENG_MV,D,20140306,000000,5942.87,6025.95,5942.87,6022.49,0,0
ENG_MV,D,20140307,000000,5987.87,6039.78,5987.87,6022.49,0,0
ENG_MV,D,20140310,000000,6019.03,6084.79,5977.48,6015.56,0,0
ENG_MV,D,20140311,000000,5987.87,6015.56,5953.25,5991.33,0,0
ENG_MV,D,20140312,000000,5991.33,6012.1,5877.11,5953.25,0,0
ENG_MV,D,20140313,000000,5932.5,5953.25,5901.34,5939.4,0,0
ENG_MV,D,20140314,000000,5897.88,5897.88,5832.11,5842.5,0,0
ENG_MV,D,20140317,000000,5856.34,5987.87,5856.34,5970.56,0,0
ENG_MV,D,20140318,000000,5970.56,5974.01,5939.4,5967.12,0,0
ENG_MV,D,20140319,000000,5932.5,5987.87,5932.5,5987.87,0,0
ENG_MV,D,20140320,000000,5935.95,6081.32,5935.95,6081.32,0,0
ENG_MV,D,20140321,000000,6057.09,6164.39,6057.09,6164.39,0,0
ENG_MV,D,20140324,000000,6133.24,6174.78,6095.17,6160.92,0,0
ENG_MV,D,20140325,000000,6119.39,6230.15,6119.39,6212.85,0,0
ENG_MV,D,20140326,000000,6212.85,6261.3,6205.93,6226.69,0,0
ENG_MV,D,20140327,000000,6205.93,6226.69,6181.69,6209.39,0,0
ENG_MV,D,20140328,000000,6188.61,6209.39,6171.32,6199,0,0
ENG_MV,D,20140331,000000,6188.61,6188.61,6122.85,6178.24,0,0
ENG_MV,D,20140401,000000,6178.24,6188.61,6164.39,6188.61,0,0
ENG_MV,D,20140402,000000,6150.54,6212.85,6150.54,6212.85,0,0
ENG_MV,D,20140403,000000,6167.85,6205.93,6167.85,6192.08,0,0
ENG_MV,D,20140404,000000,6178.24,6247.46,6178.24,6247.46,0,0
ENG_MV,D,20140407,000000,6226.69,6261.3,6226.69,6230.15,0,0
ENG_MV,D,20140408,000000,6223.23,6333.99,6223.23,6333.99,0,0
ENG_MV,D,20140409,000000,6330.52,6333.99,6271.69,6333.99,0,0
