<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCF_PB,D,20201218,000000,29.5379,29.5379,29.5379,29.5379,0,0
PCF_PB,D,20201221,000000,29.5479,29.5479,26.5952,27.3776,0,0
PCF_PB,D,20201222,000000,27.5555,29.2307,26.9809,28.676,0,0
PCF_PB,D,20201223,000000,28.7545,28.7545,27.6351,27.9721,0,0
PCF_PB,D,20201228,000000,28.3688,28.6362,27.4372,27.7941,0,0
PCF_PB,D,20201229,000000,27.9721,28.4771,27.7345,28.1202,0,0
PCF_PB,D,20201230,000000,28.3091,28.3091,27.655,27.655,0,0
PCF_PB,D,20210104,000000,28.3588,29.4087,27.9721,29.2307,0,0
PCF_PB,D,20210105,000000,29.6264,31.7072,29.6264,31.5193,0,0
PCF_PB,D,20210107,000000,29.5479,33.6797,29.5479,31.5193,0,0
PCF_PB,D,20210108,000000,32.0641,32.0641,30.3005,30.3303,0,0
PCF_PB,D,20210111,000000,30.3303,31.4199,30.3303,30.6872,0,0
PCF_PB,D,20210112,000000,31.0829,31.5193,30.727,30.9248,0,0
PCF_PB,D,20210113,000000,30.9646,30.9944,30.4496,30.5281,0,0
PCF_PB,D,20210114,000000,30.727,31.1723,30.727,30.8453,0,0
PCF_PB,D,20210115,000000,31.2618,31.2618,30.6375,30.9248,0,0
PCF_PB,D,20210118,000000,31.2817,31.3115,30.6872,30.9248,0,0
PCF_PB,D,20210119,000000,30.885,30.885,30.4098,30.6673,0,0
PCF_PB,D,20210120,000000,30.727,30.9248,30.6077,30.6872,0,0
PCF_PB,D,20210121,000000,30.7667,30.8055,30.2408,30.3303,0,0
PCF_PB,D,20210122,000000,30.1722,30.3303,29.6264,30.033,0,0
PCF_PB,D,20210125,000000,30.043,30.4098,29.9435,30.0529,0,0
PCF_PB,D,20210126,000000,30.0529,30.5579,30.0529,30.2507,0,0
PCF_PB,D,20210127,000000,30.0629,30.3303,29.3093,29.3888,0,0
PCF_PB,D,20210128,000000,29.5479,29.5479,28.7147,29.5479,0,0
PCF_PB,D,20210129,000000,29.7059,29.7557,29.2705,29.349,0,0
PCF_PB,D,20210201,000000,29.5479,29.5479,28.3688,28.3688,0,0
PCF_PB,D,20210202,000000,28.7545,29.1512,28.1699,28.1699,0,0
PCF_PB,D,20210203,000000,28.5964,30.4884,28.3688,30.4884,0,0
PCF_PB,D,20210204,000000,30.7369,33.0354,30.4884,33.0354,0,0
PCF_PB,D,20210205,000000,33.1249,33.451,32.3912,33.451,0,0
PCF_PB,D,20210208,000000,33.6697,34.65,33.451,34.2145,0,0
PCF_PB,D,20210209,000000,34.2046,34.2046,32.8277,32.8277,0,0
PCF_PB,D,20210210,000000,32.8277,33.4023,32.3117,32.4011,0,0
PCF_PB,D,20210211,000000,32.5105,32.7779,32.0144,32.7779,0,0
PCF_PB,D,20210212,000000,32.8177,33.3128,31.9746,31.9746,0,0
PCF_PB,D,20210215,000000,32.4011,32.9957,32.1834,32.8177,0,0
PCF_PB,D,20210216,000000,32.8177,33.1537,32.6089,32.6586,0,0
PCF_PB,D,20210217,000000,33.0354,33.0354,32.0542,32.0542,0,0
PCF_PB,D,20210218,000000,32.1834,33.0354,32.0542,32.9062,0,0
PCF_PB,D,20210219,000000,33.1537,33.1537,32.6089,32.6089,0,0
PCF_PB,D,20210222,000000,33.0255,33.0255,32.3614,32.8078,0,0
PCF_PB,D,20210223,000000,32.7581,32.768,31.3414,31.7569,0,0
PCF_PB,D,20210224,000000,31.7172,32.9857,31.7172,32.9857,0,0
PCF_PB,D,20210225,000000,33.7483,34.6798,33.4122,34.2145,0,0
PCF_PB,D,20210226,000000,34.7295,34.7295,33.8278,34.1946,0,0
PCF_PB,D,20210301,000000,34.5118,34.5118,32.936,33.1537,0,0
PCF_PB,D,20210302,000000,33.3625,33.6598,32.2719,33.1249,0,0
PCF_PB,D,20210303,000000,33.0354,33.1637,32.0144,32.2719,0,0
PCF_PB,D,20210304,000000,31.7569,31.9359,31.4298,31.5889,0,0
PCF_PB,D,20210305,000000,32.1635,32.5403,32.0343,32.4011,0,0
PCF_PB,D,20210308,000000,32.599,33.5007,32.4011,33.5007,0,0
PCF_PB,D,20210309,000000,33.5802,33.798,33.0354,33.5405,0,0
PCF_PB,D,20210310,000000,33.7483,33.7483,32.8664,32.8664,0,0
PCF_PB,D,20210311,000000,33.273,33.273,32.6686,33.1537,0,0
PCF_PB,D,20210312,000000,33.3625,33.4122,32.6785,33.2034,0,0
PCF_PB,D,20210315,000000,33.3128,33.788,33.0354,33.788,0,0
PCF_PB,D,20210316,000000,33.8377,34.1946,32.8664,32.8664,0,0
PCF_PB,D,20210317,000000,33.2333,33.2333,32.2331,32.5205,0,0
PCF_PB,D,20210318,000000,32.6885,32.9161,32.3514,32.5205,0,0
PCF_PB,D,20210319,000000,32.4011,32.8177,32.1238,32.6885,0,0
PCF_PB,D,20210322,000000,33.0354,33.0354,32.6089,32.9062,0,0
PCF_PB,D,20210323,000000,33.0255,33.5405,32.6586,33.451,0,0
PCF_PB,D,20210324,000000,33.451,33.451,33.0354,33.4122,0,0
PCF_PB,D,20210325,000000,33.2432,33.4122,32.3713,32.4409,0,0
PCF_PB,D,20210326,000000,32.599,34.6997,32.4409,34.2941,0,0
PCF_PB,D,20210329,000000,34.5615,34.8389,33.6001,33.8775,0,0
PCF_PB,D,20210330,000000,34.472,34.472,33.6299,33.8377,0,0
PCF_PB,D,20210331,000000,33.8775,33.8775,32.4111,32.4111,0,0
PCF_PB,D,20210401,000000,32.5692,33.4122,31.8663,32.8664,0,0
PCF_PB,D,20210406,000000,34.7295,35.0268,33.4808,34.4322,0,0
PCF_PB,D,20210407,000000,34.304,34.304,32.1834,33.0752,0,0
PCF_PB,D,20210408,000000,33.0752,33.2432,32.4807,32.6288,0,0
PCF_PB,D,20210409,000000,32.6487,32.6686,32.2033,32.4409,0,0
PCF_PB,D,20210412,000000,32.2033,32.3117,31.1226,31.5094,0,0
PCF_PB,D,20210413,000000,31.5491,32.2918,31.5491,31.7172,0,0
PCF_PB,D,20210414,000000,31.7172,31.7172,31.1226,31.3801,0,0
PCF_PB,D,20210415,000000,31.2917,31.2917,29.9237,30.3203,0,0
PCF_PB,D,20210416,000000,29.9435,29.9435,28.1998,28.7147,0,0
PCF_PB,D,20210419,000000,28.7147,29.7258,28.7147,29.5578,0,0
PCF_PB,D,20210420,000000,29.6463,30.2806,28.7943,29.2208,0,0
PCF_PB,D,20210421,000000,29.2208,29.8551,28.5467,28.7943,0,0
PCF_PB,D,20210422,000000,29.0518,29.5966,28.9434,28.9434,0,0
PCF_PB,D,20210423,000000,29.2208,29.2208,28.7545,28.7545,0,0
PCF_PB,D,20210426,000000,28.7943,29.8938,28.7943,29.7755,0,0
PCF_PB,D,20210427,000000,30.0231,30.4884,27.5655,27.5655,0,0
PCF_PB,D,20210428,000000,27.5655,27.5655,26.6837,26.6837,0,0
PCF_PB,D,20210429,000000,26.7234,26.7731,26.2581,26.7035,0,0
PCF_PB,D,20210430,000000,26.7035,27.4671,26.2383,27.4074,0,0
PCF_PB,D,20210504,000000,27.3875,27.3875,26.4162,26.6837,0,0
PCF_PB,D,20210505,000000,26.6837,26.6837,26.0295,26.0693,0,0
PCF_PB,D,20210506,000000,26.2184,26.2184,24.9796,25.0791,0,0
PCF_PB,D,20210507,000000,25.0393,26.1687,24.3255,25.8217,0,0
PCF_PB,D,20210510,000000,25.6338,26.4162,25.3962,25.594,0,0
PCF_PB,D,20210511,000000,25.594,25.594,24.6128,24.9995,0,0
PCF_PB,D,20210512,000000,24.9995,24.9995,24.3056,24.6724,0,0
PCF_PB,D,20210513,000000,24.1376,24.3454,22.8193,23.2756,0,0
PCF_PB,D,20210514,000000,23.2359,23.2359,22.3938,22.5817,0,0
PCF_PB,D,20210517,000000,22.5817,22.9485,21.8192,21.9772,0,0
PCF_PB,D,20210518,000000,21.839,22.5817,21.839,22.2447,0,0
PCF_PB,D,20210519,000000,21.839,22.7795,21.7794,22.4336,0,0
PCF_PB,D,20210520,000000,22.8292,22.8292,21.8192,22.0269,0,0
PCF_PB,D,20210521,000000,22.0269,22.532,21.6899,22.2049,0,0
PCF_PB,D,20210524,000000,22.2745,24.8216,22.2745,24.8216,0,0
PCF_PB,D,20210525,000000,24.5044,24.7321,22.0468,22.0468,0,0
PCF_PB,D,20210526,000000,22.4922,23.1066,22.3938,23.047,0,0
PCF_PB,D,20210527,000000,22.9485,23.6415,22.701,23.4238,0,0
PCF_PB,D,20210528,000000,23.6415,23.6415,21.6303,22.2049,0,0
PCF_PB,D,20210531,000000,21.67,21.7993,9.0961,9.0961,0,0
PCF_PB,D,20210601,000000,9.11589,9.2844,9.0961,9.17534,0,0
PCF_PB,D,20210602,000000,9.07632,9.32397,9.07632,9.19522,0,0
PCF_PB,D,20210604,000000,9.19522,9.37358,9.10604,9.32397,0,0
PCF_PB,D,20210607,000000,9.33391,9.54209,9.24473,9.52221,0,0
PCF_PB,D,20210608,000000,9.37358,9.52221,9.37358,9.50232,0,0
PCF_PB,D,20210609,000000,9.35369,9.49238,9.32397,9.49238,0,0
PCF_PB,D,20210610,000000,9.49238,9.49238,9.34385,9.46256,0,0
PCF_PB,D,20210611,000000,9.37358,9.46256,9.34385,9.43303,0,0
PCF_PB,D,20210614,000000,9.50232,9.63157,9.43303,9.62162,0,0
PCF_PB,D,20210615,000000,9.54209,9.73993,9.54209,9.73993,0,0
PCF_PB,D,20210616,000000,9.75981,9.92882,9.75981,9.88906,0,0
