<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FON_PE,D,20110322,000000,9.6,9.6,9.6,9.6,0,0
FON_PE,D,20110323,000000,9.4,9.6,8.9,9.4,0,0
FON_PE,D,20110324,000000,9.2,9.4,8.9,9,0,0
FON_PE,D,20110325,000000,9,9.2,8.8,9.2,0,0
FON_PE,D,20110328,000000,9.2,9.2,8.7,9.2,0,0
FON_PE,D,20110329,000000,9,9.2,8.7,9.2,0,0
FON_PE,D,20110330,000000,9.2,9.2,8.7,9.2,0,0
FON_PE,D,20110331,000000,9,9.2,8.7,9,0,0
FON_PE,D,20110401,000000,9,9,8.8,9,0,0
FON_PE,D,20110404,000000,9,9,8.6,9,0,0
FON_PE,D,20110405,000000,9,9,8.3,8.5,0,0
FON_PE,D,20110406,000000,8.5,8.7,8.5,8.7,0,0
FON_PE,D,20110407,000000,8.7,9,8.5,9,0,0
FON_PE,D,20110408,000000,9,9.9,8.8,9.4,0,0
FON_PE,D,20110411,000000,9.2,9.6,8.9,9,0,0
FON_PE,D,20110412,000000,9.2,9.5,9,9.4,0,0
FON_PE,D,20110413,000000,9.4,9.4,9.2,9.4,0,0
FON_PE,D,20110414,000000,9.4,9.6,8.9,9.6,0,0
FON_PE,D,20110415,000000,9.2,9.6,9.2,9.4,0,0
FON_PE,D,20110418,000000,9.6,9.6,9.2,9.4,0,0
FON_PE,D,20110419,000000,9.4,9.4,9.2,9.4,0,0
FON_PE,D,20110420,000000,9.2,9.4,8.5,9,0,0
FON_PE,D,20110421,000000,9,9.2,8.7,8.7,0,0
FON_PE,D,20110426,000000,8.9,9,8.7,9,0,0
FON_PE,D,20110427,000000,8.8,9,8.6,9,0,0
FON_PE,D,20110428,000000,8.8,9,8.7,8.7,0,0
FON_PE,D,20110429,000000,8.9,9,8.7,9,0,0
FON_PE,D,20110502,000000,8.8,9,8.7,8.7,0,0
FON_PE,D,20110504,000000,8.7,8.9,8.5,8.7,0,0
FON_PE,D,20110505,000000,8.7,8.9,8.5,8.5,0,0
FON_PE,D,20110506,000000,8.5,8.9,8.5,8.7,0,0
FON_PE,D,20110509,000000,8.7,8.7,8.5,8.7,0,0
FON_PE,D,20110510,000000,8.7,8.7,8.5,8.7,0,0
FON_PE,D,20110511,000000,8.7,8.9,8.5,8.7,0,0
FON_PE,D,20110512,000000,8.5,8.7,8.5,8.7,0,0
FON_PE,D,20110513,000000,8.5,8.7,8.5,8.7,0,0
FON_PE,D,20110516,000000,8.5,8.7,8.3,8.7,0,0
FON_PE,D,20110517,000000,8.7,16.8,8.2,16.8,0,0
FON_PE,D,20110518,000000,16.8,17.3,16.8,17.3,0,0
FON_PE,D,20110519,000000,17.3,17.3,16.8,17.3,0,0
FON_PE,D,20110520,000000,16.8,17.3,16.8,16.8,0,0
FON_PE,D,20110523,000000,17.3,17.3,16.4,17.3,0,0
FON_PE,D,20110524,000000,16.4,17.3,16.4,16.8,0,0
FON_PE,D,20110525,000000,16.4,17.3,16.4,17.3,0,0
FON_PE,D,20110526,000000,17.3,17.3,16.4,16.8,0,0
FON_PE,D,20110527,000000,16.8,18.7,16.4,18.7,0,0
FON_PE,D,20110530,000000,19.2,19.2,17.8,17.8,0,0
FON_PE,D,20110531,000000,18.3,18.3,17.8,17.8,0,0
FON_PE,D,20110601,000000,17.8,17.8,16.9,17.8,0,0
FON_PE,D,20110602,000000,17.4,17.8,17.4,17.8,0,0
FON_PE,D,20110603,000000,17.4,17.8,17.3,17.3,0,0
FON_PE,D,20110606,000000,17.7,17.7,17.3,17.3,0,0
FON_PE,D,20110607,000000,17.3,17.8,17.3,17.8,0,0
FON_PE,D,20110608,000000,17.4,17.4,17.3,17.3,0,0
FON_PE,D,20110609,000000,17.3,17.7,16.8,17.3,0,0
FON_PE,D,20110610,000000,16.8,17.7,16.8,16.8,0,0
FON_PE,D,20110613,000000,17.3,17.3,16.8,16.8,0,0
FON_PE,D,20110614,000000,17.3,17.3,16.8,17.3,0,0
FON_PE,D,20110615,000000,16.8,17.3,16.8,16.8,0,0
