<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALE_PE,D,20201012,000000,147.4,147.4,147.4,147.4,0,0
ALE_PE,D,20201013,000000,163.3,181.4,163.3,168.5,0,0
ALE_PE,D,20201014,000000,176.9,189.5,150.6,160,0,0
ALE_PE,D,20201015,000000,160.1,168.2,159.5,166.8,0,0
ALE_PE,D,20201016,000000,168.5,179,168.5,171.5,0,0
ALE_PE,D,20201019,000000,171.5,176,171.5,175.6,0,0
ALE_PE,D,20201020,000000,175.7,179.9,175.7,179,0,0
ALE_PE,D,20201021,000000,181.1,181.1,174.7,177.3,0,0
ALE_PE,D,20201022,000000,176.6,187,176.6,179.8,0,0
ALE_PE,D,20201023,000000,181.9,187.4,180.4,187.4,0,0
ALE_PE,D,20201026,000000,187.4,195.4,180.4,193.1,0,0
ALE_PE,D,20201027,000000,192.9,205.5,191.1,199.3,0,0
ALE_PE,D,20201028,000000,199.3,202.9,176.8,184.6,0,0
ALE_PE,D,20201029,000000,185.3,187.1,178.3,181,0,0
ALE_PE,D,20201030,000000,179,180.9,169.4,169.4,0,0
ALE_PE,D,20201102,000000,171,178.8,171,177.3,0,0
ALE_PE,D,20201103,000000,179.9,179.9,173.4,176.2,0,0
ALE_PE,D,20201104,000000,174.7,183.2,173.7,182.4,0,0
ALE_PE,D,20201105,000000,186,188,182.9,184.4,0,0
ALE_PE,D,20201106,000000,185.3,195.7,185.3,194,0,0
ALE_PE,D,20201109,000000,197.9,200,178.1,190.8,0,0
ALE_PE,D,20201110,000000,187.4,187.4,174.2,174.3,0,0
ALE_PE,D,20201112,000000,177.8,177.8,167.4,167.4,0,0
ALE_PE,D,20201113,000000,168.4,168.4,159,159.8,0,0
ALE_PE,D,20201116,000000,160.2,160.2,152,152.5,0,0
ALE_PE,D,20201117,000000,150,150,142.4,143,0,0
ALE_PE,D,20201118,000000,142.8,146.8,139.1,141.7,0,0
ALE_PE,D,20201119,000000,142.5,151.4,142.5,151.4,0,0
ALE_PE,D,20201120,000000,154.3,167,154.3,164.9,0,0
ALE_PE,D,20201123,000000,167.6,167.6,160.2,161.3,0,0
