<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QRS_PE,D,20100805,000000,138.04,138.04,138.04,138.04,0,0
QRS_PE,D,20100806,000000,138.47,138.47,137.96,138.04,0,0
QRS_PE,D,20100809,000000,138.47,138.99,137.96,138.99,0,0
QRS_PE,D,20100810,000000,134.16,134.25,133.13,134.25,0,0
QRS_PE,D,20100811,000000,137.01,138.47,134.16,134.25,0,0
QRS_PE,D,20100812,000000,131.75,135.54,130.28,134.25,0,0
QRS_PE,D,20100813,000000,133.65,134.16,120.19,125.11,0,0
QRS_PE,D,20100816,000000,122.61,131.75,122.61,129.94,0,0
QRS_PE,D,20100817,000000,127.87,133.13,127.44,129.42,0,0
QRS_PE,D,20100818,000000,129.33,132.18,118.3,124.68,0,0
QRS_PE,D,20100819,000000,131.75,131.75,123.56,124.16,0,0
QRS_PE,D,20100820,000000,126.92,126.92,123.56,126.06,0,0
QRS_PE,D,20100823,000000,127.87,127.87,122.61,122.69,0,0
QRS_PE,D,20100824,000000,123.13,124.07,119.25,123.64,0,0
QRS_PE,D,20100825,000000,124.51,124.51,118.81,118.9,0,0
QRS_PE,D,20100826,000000,124.07,124.07,119.76,119.85,0,0
QRS_PE,D,20100827,000000,118.3,119.85,118.3,119.85,0,0
QRS_PE,D,20100830,000000,126.49,126.49,118.81,123.21,0,0
QRS_PE,D,20100831,000000,120.2,124.67,120.2,124.67,0,0
QRS_PE,D,20100901,000000,124.51,132.7,122.18,131.83,0,0
QRS_PE,D,20100902,000000,123.56,131.75,123.56,128.99,0,0
QRS_PE,D,20100903,000000,128.39,128.99,122.18,128.99,0,0
QRS_PE,D,20100906,000000,130.8,130.8,125.97,128.99,0,0
QRS_PE,D,20100907,000000,128.82,130.8,125.54,129.42,0,0
QRS_PE,D,20100908,000000,130.28,130.28,127.44,129.94,0,0
QRS_PE,D,20100909,000000,129.33,129.94,128.39,129.94,0,0
QRS_PE,D,20100910,000000,129.33,129.42,124.07,129.42,0,0
QRS_PE,D,20100913,000000,129.85,129.85,124.51,127.52,0,0
QRS_PE,D,20100914,000000,127.44,128.04,127.44,128.04,0,0
QRS_PE,D,20100915,000000,128.39,128.47,126.92,128.47,0,0
QRS_PE,D,20100916,000000,127.87,127.87,124.07,127.01,0,0
QRS_PE,D,20100917,000000,129.33,129.33,128.82,128.99,0,0
QRS_PE,D,20100920,000000,129.33,131.83,127.44,131.83,0,0
QRS_PE,D,20100921,000000,136.06,138.9,133.13,137.61,0,0
