<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAB_PE,D,20110214,000000,183.5,183.5,183.5,183.5,0,0
MAB_PE,D,20110215,000000,183.1,183.1,179.3,182.4,0,0
MAB_PE,D,20110216,000000,183.5,183.5,174.5,180.8,0,0
MAB_PE,D,20110218,000000,170.7,173,166.6,173,0,0
MAB_PE,D,20110221,000000,168.2,170.2,167.2,167.3,0,0
MAB_PE,D,20110222,000000,167.7,170.5,167.2,170.5,0,0
MAB_PE,D,20110223,000000,166.4,168.9,164.6,168.9,0,0
MAB_PE,D,20110224,000000,165.9,177.9,165.9,176.4,0,0
MAB_PE,D,20110225,000000,176.2,187.4,176.2,187.4,0,0
MAB_PE,D,20110228,000000,185.2,185.2,181.2,185.1,0,0
MAB_PE,D,20110301,000000,184.8,187.8,184.6,187.1,0,0
MAB_PE,D,20110302,000000,183,185.9,182.6,185.9,0,0
MAB_PE,D,20110303,000000,181.1,189.8,181.1,189.8,0,0
MAB_PE,D,20110304,000000,190.3,190.3,183.9,189.3,0,0
MAB_PE,D,20110307,000000,181.9,184.6,181.2,183.9,0,0
MAB_PE,D,20110308,000000,182.6,182.6,181.2,181.2,0,0
MAB_PE,D,20110309,000000,177.3,183.8,177.3,183.6,0,0
MAB_PE,D,20110310,000000,182.4,183.4,178.8,183.4,0,0
MAB_PE,D,20110311,000000,177.2,182,177.2,182,0,0
MAB_PE,D,20110314,000000,182.6,182.6,173.8,178.5,0,0
MAB_PE,D,20110315,000000,173.8,176.5,165.1,173.8,0,0
MAB_PE,D,20110316,000000,174,180.1,173.8,173.8,0,0
MAB_PE,D,20110317,000000,174.2,178.3,174.2,178.3,0,0
MAB_PE,D,20110318,000000,175.8,175.8,174.5,174.5,0,0
MAB_PE,D,20110321,000000,174.5,178.1,168.1,168.1,0,0
MAB_PE,D,20110322,000000,169.7,179.2,169.4,179.2,0,0
MAB_PE,D,20110323,000000,178.8,178.8,175.8,177.2,0,0
MAB_PE,D,20110324,000000,177.2,177.2,171.8,174.5,0,0
MAB_PE,D,20110325,000000,174.5,177.2,171.8,177.2,0,0
MAB_PE,D,20110328,000000,173.6,173.6,171.1,173.6,0,0
MAB_PE,D,20110329,000000,170.5,173.3,170.5,173.3,0,0
MAB_PE,D,20110330,000000,170.6,173.4,169.8,173.4,0,0
MAB_PE,D,20110331,000000,170.6,173.2,169.1,173.2,0,0
MAB_PE,D,20110401,000000,172.9,172.9,161.1,169.5,0,0
MAB_PE,D,20110404,000000,167.8,167.8,162.7,163.9,0,0
MAB_PE,D,20110405,000000,163.9,163.9,161.3,161.4,0,0
MAB_PE,D,20110406,000000,161.7,167.8,161.3,163.8,0,0
MAB_PE,D,20110407,000000,161.1,163.4,158.9,161.1,0,0
MAB_PE,D,20110408,000000,159.8,162.1,154.1,154.2,0,0
MAB_PE,D,20110411,000000,156.9,156.9,141.7,143.6,0,0
MAB_PE,D,20110412,000000,151.1,157.7,149,152.4,0,0
MAB_PE,D,20110413,000000,160.3,160.3,149.4,150.4,0,0
MAB_PE,D,20110414,000000,147.9,151,147.5,151,0,0
MAB_PE,D,20110415,000000,148.3,149,147.7,149,0,0
MAB_PE,D,20110418,000000,149,149.5,145.6,149,0,0
MAB_PE,D,20110419,000000,145.6,148.6,145.6,145.7,0,0
MAB_PE,D,20110420,000000,143,143,142.7,143,0,0
MAB_PE,D,20110421,000000,147.2,147.2,141.3,142.3,0,0
