<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL_MV,D,20141212,000000,78.0673,78.0673,75.898,77.9444,0,0
CDL_MV,D,20141215,000000,78.8936,78.8936,78.8936,78.8936,0,0
CDL_MV,D,20141216,000000,76.7765,76.7765,74.6478,76.7765,0,0
CDL_MV,D,20141217,000000,76.7233,76.7233,74.6024,75.898,0,0
CDL_MV,D,20141218,000000,76.5134,76.5134,71.5661,71.5661,0,0
CDL_MV,D,20141219,000000,71.6531,79.7645,71.6531,79.7645,0,0
CDL_MV,D,20141222,000000,79.3349,79.3349,75.898,78.8936,0,0
CDL_MV,D,20141223,000000,78.6779,78.6779,77.2032,77.9909,0,0
CDL_MV,D,20141229,000000,77.9909,77.9909,75.898,77.2032,0,0
CDL_MV,D,20141230,000000,77.1655,77.1655,77.1655,77.1655,0,0
CDL_MV,D,20150102,000000,78.0673,78.0673,78.0673,78.0673,0,0
CDL_MV,D,20150105,000000,78.0296,79.3349,75.898,77.5971,0,0
CDL_MV,D,20150107,000000,78.0673,78.0673,78.0673,78.0673,0,0
CDL_MV,D,20150108,000000,77.9909,79.1568,77.9909,78.0673,0,0
CDL_MV,D,20150109,000000,78.0673,79.3349,75.4722,75.4722,0,0
CDL_MV,D,20150112,000000,75.4722,77.2032,75.2555,77.2032,0,0
CDL_MV,D,20150113,000000,78.0296,78.0296,77.6435,78.0296,0,0
CDL_MV,D,20150114,000000,77.3726,77.3726,75.898,75.898,0,0
CDL_MV,D,20150115,000000,73.9521,77.42,71.5661,76.5134,0,0
CDL_MV,D,20150116,000000,76.5134,77.1655,76.5134,77.1655,0,0
CDL_MV,D,20150119,000000,77.6435,77.6435,77.42,77.42,0,0
CDL_MV,D,20150120,000000,77.1181,77.2032,77.1181,77.2032,0,0
CDL_MV,D,20150121,000000,76.7233,76.7233,74.6478,76.5511,0,0
CDL_MV,D,20150122,000000,76.3421,76.3421,73.7373,73.7373,0,0
CDL_MV,D,20150123,000000,73.7373,73.7373,70.2627,70.6991,0,0
CDL_MV,D,20150126,000000,72.2201,72.2201,68.5297,70.6149,0,0
CDL_MV,D,20150127,000000,71.3532,71.3532,70.2627,70.2627,0,0
CDL_MV,D,20150128,000000,70.9139,71.5661,70.0479,71.4809,0,0
CDL_MV,D,20150129,000000,70.9139,71.5661,70.9139,71.5661,0,0
CDL_MV,D,20150130,000000,71.7818,72.8713,70.6991,72.0044,0,0
CDL_MV,D,20150202,000000,72.7852,72.7852,70.0914,71.7818,0,0
CDL_MV,D,20150203,000000,71.8679,71.8679,69.3967,71.18,0,0
CDL_MV,D,20150204,000000,71.3967,71.3967,69.0958,69.0958,0,0
CDL_MV,D,20150205,000000,69.3967,69.8341,68.7,68.7,0,0
CDL_MV,D,20150206,000000,68.7,74.5191,68.5297,72.0044,0,0
CDL_MV,D,20150209,000000,76.3421,76.3421,70.3062,72.8713,0,0
CDL_MV,D,20150210,000000,71.6531,73.0861,69.3967,71.0436,0,0
CDL_MV,D,20150211,000000,69.4402,70.2201,68.7446,68.7446,0,0
CDL_MV,D,20150212,000000,69.8341,69.8341,65.8863,66.581,0,0
CDL_MV,D,20150213,000000,67.2332,68.5297,67.2332,68.5297,0,0
CDL_MV,D,20150216,000000,68.6565,68.6565,66.7958,68.5297,0,0
CDL_MV,D,20150217,000000,68.5297,68.5297,66.4514,66.4514,0,0
CDL_MV,D,20150218,000000,67.2332,68.5297,67.2332,68.5297,0,0
CDL_MV,D,20150219,000000,68.6565,72.9991,68.6565,71.5661,0,0
CDL_MV,D,20150220,000000,71.5661,73.3009,71.5661,71.5661,0,0
CDL_MV,D,20150223,000000,69.4819,71.3967,69.4402,71.3532,0,0
CDL_MV,D,20150224,000000,71.3532,71.3532,69.3967,69.3967,0,0
CDL_MV,D,20150225,000000,69.8341,69.8341,68.5297,68.5733,0,0
CDL_MV,D,20150226,000000,69.8341,69.8341,68.7446,69.8341,0,0
CDL_MV,D,20150227,000000,69.8341,72.8713,68.5297,68.5297,0,0
CDL_MV,D,20150302,000000,68.5297,70.6991,67.6618,70.4852,0,0
CDL_MV,D,20150303,000000,69.3967,70.6991,69.3967,69.3967,0,0
CDL_MV,D,20150304,000000,68.6149,69.3967,67.6618,68.7,0,0
CDL_MV,D,20150305,000000,69.3967,70.2201,69.3967,70.2201,0,0
CDL_MV,D,20150306,000000,71.3967,71.3967,70.2627,70.8723,0,0
CDL_MV,D,20150309,000000,71.18,71.3967,69.3967,69.3967,0,0
CDL_MV,D,20150311,000000,70.2627,70.2627,69.3967,69.3967,0,0
CDL_MV,D,20150312,000000,67.4489,69.3967,67.4489,69.3967,0,0
CDL_MV,D,20150313,000000,68.1001,68.1001,68.1001,68.1001,0,0
CDL_MV,D,20150316,000000,69.8341,69.8341,68.1427,68.1427,0,0
CDL_MV,D,20150317,000000,69.3967,69.3967,69.3967,69.3967,0,0
CDL_MV,D,20150318,000000,70.0479,71.5661,70.0479,71.5661,0,0
CDL_MV,D,20150319,000000,71.3532,74.4321,71.3532,74.4321,0,0
CDL_MV,D,20150320,000000,74.4321,84.1564,74.4321,82.1912,0,0
CDL_MV,D,20150323,000000,82.4118,82.4118,79.3349,82.1912,0,0
CDL_MV,D,20150324,000000,82.1912,82.1912,78.7243,79.3349,0,0
CDL_MV,D,20150325,000000,79.1568,79.8041,79.1568,79.3716,0,0
CDL_MV,D,20150326,000000,78.9401,80.2444,77.6435,79.2942,0,0
CDL_MV,D,20150327,000000,79.3716,80.2444,78.2928,78.7243,0,0
CDL_MV,D,20150330,000000,78.7243,80.1486,78.7243,80.1486,0,0
CDL_MV,D,20150331,000000,80.196,80.196,78.0673,78.0673,0,0
CDL_MV,D,20150401,000000,78.8936,78.8936,75.898,77.1655,0,0
CDL_MV,D,20150402,000000,77.0717,77.0717,73.6948,74.3401,0,0
CDL_MV,D,20150407,000000,74.7301,76.7233,74.7301,75.8612,0,0
CDL_MV,D,20150408,000000,75.8612,78.0296,75.8612,76.4698,0,0
CDL_MV,D,20150409,000000,77.5574,77.5574,75.5535,75.5535,0,0
CDL_MV,D,20150410,000000,75.5535,76.7233,75.1181,76.6856,0,0
CDL_MV,D,20150413,000000,75.2555,76.1244,75.1713,75.599,0,0
CDL_MV,D,20150414,000000,75.599,75.6445,75.5167,75.5167,0,0
CDL_MV,D,20150415,000000,75.4267,75.4267,73.7809,75.2555,0,0
CDL_MV,D,20150416,000000,75.0387,75.0387,74.3895,74.3895,0,0
CDL_MV,D,20150417,000000,74.3895,76.7765,74.3895,76.7765,0,0
CDL_MV,D,20150420,000000,76.7233,76.7233,75.0736,76.3421,0,0
CDL_MV,D,20150421,000000,77.9444,77.9444,74.9468,77.1655,0,0
CDL_MV,D,20150422,000000,77.1655,77.1655,75.1713,76.2956,0,0
CDL_MV,D,20150423,000000,76.6856,76.6856,76.6411,76.6411,0,0
CDL_MV,D,20150424,000000,76.3779,76.3779,75.898,76.2511,0,0
CDL_MV,D,20150427,000000,76.4698,76.4698,73.7373,75.4722,0,0
CDL_MV,D,20150428,000000,76.1244,76.1244,73.7373,74.6923,0,0
CDL_MV,D,20150429,000000,75.5167,75.5167,73.7373,73.7373,0,0
CDL_MV,D,20150430,000000,73.7373,74.9913,72.9991,74.9913,0,0
CDL_MV,D,20150504,000000,75.4722,75.4722,74.5191,74.5191,0,0
CDL_MV,D,20150505,000000,74.5191,75.1713,74.5191,75.0387,0,0
CDL_MV,D,20150506,000000,75.4267,77.8515,75.0387,77.8515,0,0
CDL_MV,D,20150507,000000,79.419,80.0286,78.2453,78.6779,0,0
CDL_MV,D,20150508,000000,79.7645,79.7645,78.0673,78.6392,0,0
CDL_MV,D,20150511,000000,77.2032,78.6779,77.2032,78.6779,0,0
CDL_MV,D,20150512,000000,78.0673,78.0673,76.1244,78.0296,0,0
CDL_MV,D,20150513,000000,77.9909,77.9909,75.1713,77.2032,0,0
CDL_MV,D,20150514,000000,77.2032,77.2032,74.2114,75.898,0,0
CDL_MV,D,20150515,000000,72.8713,72.8713,68.5297,70.8297,0,0
CDL_MV,D,20150518,000000,70.8297,75.8612,70.7862,75.8612,0,0
CDL_MV,D,20150519,000000,75.2555,75.898,74.3895,74.6024,0,0
CDL_MV,D,20150520,000000,75.689,75.689,71.5661,72.0479,0,0
CDL_MV,D,20150521,000000,74.2956,74.2956,72.2201,73.9105,0,0
CDL_MV,D,20150522,000000,73.9105,74.8201,72.0479,74.1669,0,0
CDL_MV,D,20150525,000000,74.3924,75.5312,73.718,73.718,0,0
CDL_MV,D,20150526,000000,73.0813,74.7591,73.0813,74.7591,0,0
CDL_MV,D,20150527,000000,74.6701,74.6701,73.4858,73.4858,0,0
CDL_MV,D,20150528,000000,73.4858,73.4858,73.4858,73.4858,0,0
CDL_MV,D,20150529,000000,73.0813,73.8989,72.5801,73.8989,0,0
CDL_MV,D,20150601,000000,72.6691,72.6691,68.045,69.8602,0,0
CDL_MV,D,20150602,000000,70.3159,70.9913,70.3159,70.3159,0,0
CDL_MV,D,20150603,000000,71.6725,71.6725,69.8602,69.8602,0,0
CDL_MV,D,20150605,000000,68.9536,68.9536,68.2724,68.2724,0,0
CDL_MV,D,20150608,000000,68.3169,73.3958,68.3169,72.0392,0,0
CDL_MV,D,20150609,000000,68.7281,68.8636,68.4968,68.4968,0,0
CDL_MV,D,20150610,000000,71.448,71.538,68.4968,71.2235,0,0
CDL_MV,D,20150611,000000,71.0794,71.448,68.8191,71.448,0,0
CDL_MV,D,20150612,000000,71.5835,71.5835,69.6792,70.0847,0,0
CDL_MV,D,20150615,000000,71.628,71.628,71.628,71.628,0,0
CDL_MV,D,20150616,000000,70.3159,70.3159,70.3159,70.3159,0,0
CDL_MV,D,20150617,000000,70.3159,71.2235,70.3159,70.3159,0,0
CDL_MV,D,20150618,000000,70.3159,70.3159,69.4548,69.4548,0,0
CDL_MV,D,20150619,000000,69.4548,69.6338,69.4548,69.6338,0,0
CDL_MV,D,20150622,000000,71.448,71.448,71.448,71.448,0,0
CDL_MV,D,20150623,000000,69.6338,70.9468,69.6338,70.9468,0,0
CDL_MV,D,20150624,000000,70.9913,70.9913,69.8602,69.8602,0,0
CDL_MV,D,20150625,000000,70.7204,70.7204,68.9536,70.5868,0,0
CDL_MV,D,20150626,000000,70.6314,70.6314,68.4968,68.7281,0,0
CDL_MV,D,20150629,000000,68.2724,68.2724,67.8224,67.8224,0,0
CDL_MV,D,20150630,000000,64.2791,67.8224,64.2791,67.8224,0,0
CDL_MV,D,20150701,000000,66.2336,69.178,65.776,69.178,0,0
CDL_MV,D,20150702,000000,69.178,72.0847,69.178,72.0847,0,0
CDL_MV,D,20150703,000000,72.1302,72.1302,70.4069,70.4069,0,0
CDL_MV,D,20150706,000000,71.628,71.628,68.4968,68.4968,0,0
CDL_MV,D,20150707,000000,68.4968,68.7281,68.4968,68.6381,0,0
CDL_MV,D,20150708,000000,71.2235,71.2235,68.5414,71.2235,0,0
CDL_MV,D,20150709,000000,71.448,71.4935,71.448,71.4935,0,0
CDL_MV,D,20150710,000000,72.4891,72.4891,72.4891,72.4891,0,0
CDL_MV,D,20150713,000000,72.5346,72.5346,70.3159,70.3159,0,0
CDL_MV,D,20150714,000000,71.2235,71.2235,68.9536,70.3159,0,0
CDL_MV,D,20150715,000000,71.6725,71.6725,68.9971,71.4025,0,0
CDL_MV,D,20150716,000000,71.628,71.628,69.0416,71.2235,0,0
CDL_MV,D,20150717,000000,72.3546,72.3546,68.7281,71.448,0,0
CDL_MV,D,20150720,000000,66.0024,69.8147,64.7803,67.1858,0,0
CDL_MV,D,20150721,000000,69.178,69.178,66.0024,66.0024,0,0
CDL_MV,D,20150722,000000,65.776,65.776,65.776,65.776,0,0
CDL_MV,D,20150723,000000,69.358,69.358,68.045,68.045,0,0
CDL_MV,D,20150724,000000,69.8602,69.8602,68.045,68.4968,0,0
CDL_MV,D,20150727,000000,68.4968,70.5868,68.4968,70.5868,0,0
CDL_MV,D,20150728,000000,70.3159,70.3159,70.3159,70.3159,0,0
CDL_MV,D,20150729,000000,70.3159,70.3159,70.3159,70.3159,0,0
CDL_MV,D,20150730,000000,70.3159,71.8534,70.3159,71.8534,0,0
CDL_MV,D,20150731,000000,70.6759,70.6759,68.4968,69.358,0,0
CDL_MV,D,20150803,000000,69.4015,69.4015,68.4968,69.4015,0,0
CDL_MV,D,20150804,000000,68.5414,68.5414,68.4968,68.4968,0,0
CDL_MV,D,20150806,000000,68.4968,68.4968,67.3638,68.045,0,0
CDL_MV,D,20150807,000000,69.358,70.2646,69.358,70.2646,0,0
CDL_MV,D,20150810,000000,70.2646,70.9468,69.6338,70.9468,0,0
CDL_MV,D,20150811,000000,71.2235,71.2235,70.9913,70.9913,0,0
CDL_MV,D,20150812,000000,71.2235,71.2235,70.4069,70.9468,0,0
