<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKH_PB,D,20141118,000000,1.9549,1.9549,1.9549,1.9549,0,0
SKH_PB,D,20141119,000000,1.9549,1.9674,1.8922,1.9674,0,0
SKH_PB,D,20141120,000000,1.9737,1.9799,1.9737,1.9799,0,0
SKH_PB,D,20141121,000000,1.9737,1.9987,1.9612,1.9987,0,0
SKH_PB,D,20141124,000000,2.005,2.005,1.9987,2.005,0,0
SKH_PB,D,20141125,000000,1.9987,1.9987,1.9799,1.9925,0,0
SKH_PB,D,20141126,000000,1.9925,1.9925,1.9549,1.9799,0,0
SKH_PB,D,20141127,000000,1.9799,1.9925,1.9549,1.9799,0,0
SKH_PB,D,20141128,000000,1.9799,1.9925,1.9799,1.9799,0,0
SKH_PB,D,20141201,000000,1.9298,1.9486,1.9298,1.9486,0,0
SKH_PB,D,20141202,000000,1.9486,1.9737,1.9486,1.9737,0,0
SKH_PB,D,20141203,000000,1.9925,1.9925,1.9298,1.9925,0,0
SKH_PB,D,20141204,000000,1.9799,1.9799,1.9486,1.9799,0,0
SKH_PB,D,20141205,000000,1.9612,1.9612,1.9549,1.9549,0,0
SKH_PB,D,20141208,000000,1.9486,1.9486,1.9235,1.9235,0,0
SKH_PB,D,20141209,000000,1.8922,1.9612,1.8922,1.9486,0,0
SKH_PB,D,20141210,000000,1.9486,1.9486,1.9424,1.9424,0,0
SKH_PB,D,20141211,000000,1.9173,1.9173,1.9173,1.9173,0,0
SKH_PB,D,20141212,000000,1.9361,1.9361,1.8922,1.9173,0,0
SKH_PB,D,20141215,000000,1.8985,1.9486,1.8985,1.9173,0,0
SKH_PB,D,20141216,000000,1.9048,1.9173,1.9048,1.911,0,0
SKH_PB,D,20141217,000000,1.911,1.9424,1.911,1.9361,0,0
SKH_PB,D,20141218,000000,1.9486,1.9486,1.9361,1.9361,0,0
SKH_PB,D,20141219,000000,1.9486,1.9486,1.9486,1.9486,0,0
SKH_PB,D,20141222,000000,1.9173,1.9424,1.8985,1.911,0,0
SKH_PB,D,20141223,000000,1.8985,1.8985,1.8985,1.8985,0,0
SKH_PB,D,20141229,000000,1.8985,1.9173,1.8045,1.9173,0,0
SKH_PB,D,20150102,000000,1.8483,1.9737,1.8483,1.9737,0,0
SKH_PB,D,20150107,000000,1.911,1.9486,1.911,1.9486,0,0
SKH_PB,D,20150108,000000,1.9486,1.9486,1.8672,1.9173,0,0
SKH_PB,D,20150109,000000,1.8922,1.9173,1.8922,1.9173,0,0
SKH_PB,D,20150112,000000,1.8922,1.9173,1.8922,1.9173,0,0
SKH_PB,D,20150113,000000,1.9424,1.9424,1.9424,1.9424,0,0
SKH_PB,D,20150114,000000,1.8672,1.9424,1.8672,1.8985,0,0
SKH_PB,D,20150115,000000,1.8922,1.8922,1.8922,1.8922,0,0
SKH_PB,D,20150116,000000,1.7857,1.9424,1.7857,1.9424,0,0
SKH_PB,D,20150119,000000,1.7731,1.9173,1.7731,1.9173,0,0
SKH_PB,D,20150120,000000,1.9173,1.9173,1.9173,1.9173,0,0
SKH_PB,D,20150121,000000,1.9424,1.9424,1.8985,1.8985,0,0
SKH_PB,D,20150122,000000,1.9173,1.9486,1.9173,1.9486,0,0
SKH_PB,D,20150123,000000,1.9486,2.1178,1.9486,2.1052,0,0
SKH_PB,D,20150126,000000,2.1303,2.2744,2.1303,2.2431,0,0
SKH_PB,D,20150127,000000,2.2744,2.2996,2.2181,2.2305,0,0
SKH_PB,D,20150128,000000,2.2305,2.2431,2.1241,2.2431,0,0
SKH_PB,D,20150129,000000,2.2431,2.2494,2.2181,2.2368,0,0
SKH_PB,D,20150130,000000,2.2431,2.2431,2.2117,2.2181,0,0
SKH_PB,D,20150202,000000,2.2368,2.2681,2.2181,2.2305,0,0
SKH_PB,D,20150203,000000,2.2431,2.2557,2.2368,2.2368,0,0
SKH_PB,D,20150204,000000,2.2431,2.2744,2.2181,2.2431,0,0
SKH_PB,D,20150205,000000,2.2431,2.2431,2.2243,2.2431,0,0
SKH_PB,D,20150206,000000,2.2368,2.2431,2.2368,2.2431,0,0
SKH_PB,D,20150209,000000,2.2431,2.2431,2.1367,2.2431,0,0
SKH_PB,D,20150210,000000,2.2431,2.2431,2.1867,2.2431,0,0
SKH_PB,D,20150211,000000,2.2744,2.2744,2.2181,2.2243,0,0
SKH_PB,D,20150212,000000,2.2181,2.2181,1.8421,1.8421,0,0
SKH_PB,D,20150213,000000,1.8546,1.8734,1.8483,1.8734,0,0
SKH_PB,D,20150216,000000,1.8734,1.8734,1.8483,1.8546,0,0
SKH_PB,D,20150217,000000,1.8483,1.8797,1.8483,1.8797,0,0
SKH_PB,D,20150218,000000,1.8797,1.8985,1.8797,1.8985,0,0
SKH_PB,D,20150219,000000,1.8734,1.8922,1.8734,1.886,0,0
SKH_PB,D,20150220,000000,1.8734,1.8985,1.8734,1.8985,0,0
SKH_PB,D,20150223,000000,1.8922,1.8922,1.8734,1.8922,0,0
SKH_PB,D,20150224,000000,1.8922,1.8922,1.8672,1.8797,0,0
SKH_PB,D,20150225,000000,1.886,1.8922,1.886,1.886,0,0
SKH_PB,D,20150226,000000,1.8922,1.9048,1.8922,1.9048,0,0
SKH_PB,D,20150227,000000,1.9235,2.0489,1.9235,2.0426,0,0
SKH_PB,D,20150302,000000,2.0426,2.074,2.0112,2.074,0,0
SKH_PB,D,20150303,000000,2.1052,2.1491,2.0864,2.1052,0,0
SKH_PB,D,20150304,000000,2.1052,2.1428,2.0864,2.1428,0,0
SKH_PB,D,20150305,000000,2.1491,2.1804,2.0552,2.0927,0,0
SKH_PB,D,20150306,000000,2.1052,2.1052,2.0489,2.0489,0,0
SKH_PB,D,20150309,000000,2.0552,2.099,2.0552,2.0552,0,0
SKH_PB,D,20150310,000000,2.0552,2.0552,2.0176,2.0238,0,0
SKH_PB,D,20150311,000000,2.0176,2.074,2.0176,2.074,0,0
SKH_PB,D,20150312,000000,2.099,2.099,2.0363,2.0864,0,0
SKH_PB,D,20150313,000000,2.0864,2.099,2.0864,2.099,0,0
SKH_PB,D,20150316,000000,2.099,2.099,2.0927,2.0927,0,0
SKH_PB,D,20150317,000000,2.0864,2.0927,2.03,2.0489,0,0
SKH_PB,D,20150318,000000,2.074,2.1867,2.074,2.1867,0,0
SKH_PB,D,20150319,000000,2.2368,2.3059,2.1867,2.3059,0,0
SKH_PB,D,20150320,000000,2.2996,2.4311,2.2996,2.3308,0,0
SKH_PB,D,20150323,000000,2.3308,2.3872,2.3059,2.3747,0,0
SKH_PB,D,20150324,000000,2.3308,2.3559,2.2557,2.2807,0,0
SKH_PB,D,20150325,000000,2.2807,2.2996,2.1804,2.2181,0,0
SKH_PB,D,20150326,000000,2.2431,2.2431,2.2054,2.2054,0,0
SKH_PB,D,20150327,000000,2.2054,2.2494,2.2054,2.2054,0,0
SKH_PB,D,20150330,000000,2.2494,2.2494,2.193,2.2431,0,0
SKH_PB,D,20150331,000000,2.2305,2.2368,2.2054,2.2054,0,0
SKH_PB,D,20150401,000000,2.2181,2.2368,2.193,2.2054,0,0
SKH_PB,D,20150402,000000,2.2368,2.2368,2.2054,2.2054,0,0
SKH_PB,D,20150407,000000,2.2557,2.3245,2.2054,2.2431,0,0
SKH_PB,D,20150408,000000,2.2744,2.2869,2.2181,2.2557,0,0
SKH_PB,D,20150409,000000,2.2557,2.3059,2.2557,2.2807,0,0
SKH_PB,D,20150410,000000,2.3059,2.475,2.3059,2.4624,0,0
SKH_PB,D,20150413,000000,2.475,2.475,2.3935,2.4186,0,0
SKH_PB,D,20150414,000000,2.4123,2.4123,2.3872,2.4123,0,0
SKH_PB,D,20150415,000000,2.4123,2.5313,2.4123,2.5125,0,0
SKH_PB,D,20150416,000000,2.5125,2.5377,2.4875,2.5125,0,0
SKH_PB,D,20150417,000000,2.5125,2.6065,2.5125,2.5752,0,0
SKH_PB,D,20150420,000000,2.5626,2.5626,2.5377,2.5626,0,0
SKH_PB,D,20150421,000000,2.5877,2.5877,2.5564,2.5564,0,0
SKH_PB,D,20150422,000000,2.5439,2.5626,2.5062,2.5626,0,0
SKH_PB,D,20150423,000000,2.5187,2.5626,2.5125,2.5564,0,0
SKH_PB,D,20150424,000000,2.5626,2.6065,2.5626,2.5815,0,0
SKH_PB,D,20150427,000000,2.5815,2.5815,2.5187,2.5187,0,0
SKH_PB,D,20150428,000000,2.5125,2.5564,2.4938,2.5564,0,0
SKH_PB,D,20150429,000000,2.5501,2.5501,2.5125,2.5439,0,0
SKH_PB,D,20150430,000000,2.5125,2.5564,2.5125,2.5501,0,0
SKH_PB,D,20150504,000000,2.5313,2.5313,2.525,2.525,0,0
SKH_PB,D,20150505,000000,2.525,2.525,2.3872,2.4186,0,0
SKH_PB,D,20150506,000000,2.4186,2.4624,2.3997,2.3997,0,0
SKH_PB,D,20150507,000000,2.3872,2.4123,2.3872,2.4123,0,0
SKH_PB,D,20150508,000000,2.4123,2.4624,2.3559,2.4624,0,0
SKH_PB,D,20150511,000000,2.4186,2.4875,2.4186,2.4875,0,0
SKH_PB,D,20150512,000000,2.4875,2.5,2.4372,2.4687,0,0
SKH_PB,D,20150513,000000,2.4687,2.4687,2.3935,2.4498,0,0
SKH_PB,D,20150514,000000,2.4624,2.4624,2.1428,2.1428,0,0
SKH_PB,D,20150515,000000,2.1241,2.2054,2.1241,2.1992,0,0
SKH_PB,D,20150518,000000,2.193,2.2054,2.1742,2.2054,0,0
SKH_PB,D,20150519,000000,2.1867,2.2054,2.1804,2.1867,0,0
SKH_PB,D,20150520,000000,2.1867,2.1867,2.1367,2.1867,0,0
SKH_PB,D,20150521,000000,2.1867,2.2054,2.1804,2.1804,0,0
SKH_PB,D,20150522,000000,2.2054,2.2494,2.1742,2.2368,0,0
