<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAK_PB,D,20080401,000000,0.463596,0.463596,0.442423,0.456558,0,0
MAK_PB,D,20080402,000000,0.47051,0.47051,0.463596,0.463596,0,0
MAK_PB,D,20080403,000000,0.456558,0.456558,0.44949,0.456558,0,0
MAK_PB,D,20080404,000000,0.456558,0.463596,0.456558,0.463596,0,0
MAK_PB,D,20080407,000000,0.456558,0.477519,0.456558,0.47051,0,0
MAK_PB,D,20080408,000000,0.463596,0.47051,0.456558,0.47051,0,0
MAK_PB,D,20080409,000000,0.47051,0.47051,0.47051,0.47051,0,0
MAK_PB,D,20080410,000000,0.47051,0.47051,0.456558,0.456558,0,0
MAK_PB,D,20080411,000000,0.44949,0.456558,0.44949,0.44949,0,0
MAK_PB,D,20080414,000000,0.442423,0.44949,0.442423,0.44949,0,0
MAK_PB,D,20080415,000000,0.456558,0.456558,0.456558,0.456558,0,0
MAK_PB,D,20080416,000000,0.456558,0.456558,0.442423,0.442423,0,0
MAK_PB,D,20080417,000000,0.463596,0.463596,0.435394,0.435394,0,0
MAK_PB,D,20080418,000000,0.435394,0.435394,0.428452,0.435394,0,0
MAK_PB,D,20080421,000000,0.428452,0.428452,0.414346,0.414346,0,0
MAK_PB,D,20080422,000000,0.414346,0.428452,0.400269,0.400269,0,0
MAK_PB,D,20080423,000000,0.414346,0.414346,0.400269,0.414346,0,0
MAK_PB,D,20080424,000000,0.39324,0.435394,0.39324,0.428452,0,0
MAK_PB,D,20080425,000000,0.442423,0.442423,0.414346,0.421423,0,0
MAK_PB,D,20080428,000000,0.428452,0.428452,0.407346,0.407346,0,0
MAK_PB,D,20080429,000000,0.442423,0.442423,0.414346,0.414346,0,0
MAK_PB,D,20080430,000000,0.442423,0.442423,0.435394,0.442423,0,0
MAK_PB,D,20080505,000000,0.44949,0.44949,0.435394,0.435394,0,0
MAK_PB,D,20080506,000000,0.435394,0.435394,0.435394,0.435394,0,0
MAK_PB,D,20080507,000000,0.435394,0.442423,0.435394,0.442423,0,0
MAK_PB,D,20080508,000000,0.442423,0.442423,0.428452,0.442423,0,0
MAK_PB,D,20080509,000000,0.442423,0.442423,0.428452,0.428452,0,0
MAK_PB,D,20080512,000000,0.435394,0.435394,0.428452,0.428452,0,0
MAK_PB,D,20080513,000000,0.442423,0.442423,0.428452,0.435394,0,0
MAK_PB,D,20080514,000000,0.442423,0.442423,0.435394,0.435394,0,0
MAK_PB,D,20080515,000000,0.428452,0.428452,0.39324,0.400269,0,0
MAK_PB,D,20080516,000000,0.39324,0.414346,0.39324,0.414346,0,0
MAK_PB,D,20080519,000000,0.421423,0.421423,0.39324,0.39324,0,0
MAK_PB,D,20080520,000000,0.400269,0.421423,0.400269,0.407346,0,0
MAK_PB,D,20080521,000000,0.39324,0.421423,0.39324,0.414346,0,0
MAK_PB,D,20080523,000000,0.421423,0.435394,0.39324,0.428452,0,0
MAK_PB,D,20080526,000000,0.442423,0.442423,0.407346,0.421423,0,0
MAK_PB,D,20080527,000000,0.421423,0.421423,0.400269,0.400269,0,0
MAK_PB,D,20080528,000000,0.414346,0.414346,0.414346,0.414346,0,0
MAK_PB,D,20080529,000000,0.414346,0.428452,0.400269,0.428452,0,0
MAK_PB,D,20080530,000000,0.428452,0.442423,0.407346,0.442423,0,0
MAK_PB,D,20080602,000000,0.442423,0.442423,0.421423,0.442423,0,0
MAK_PB,D,20080603,000000,0.442423,0.442423,0.428452,0.442423,0,0
MAK_PB,D,20080604,000000,0.442423,0.44949,0.428452,0.44949,0,0
MAK_PB,D,20080605,000000,0.44949,0.44949,0.435394,0.435394,0,0
MAK_PB,D,20080606,000000,0.44949,0.456558,0.428452,0.442423,0,0
MAK_PB,D,20080609,000000,0.442423,0.442423,0.428452,0.428452,0,0
MAK_PB,D,20080610,000000,0.428452,0.435394,0.400269,0.428452,0,0
MAK_PB,D,20080611,000000,0.407346,0.414346,0.407346,0.414346,0,0
MAK_PB,D,20080612,000000,0.400269,0.428452,0.400269,0.428452,0,0
MAK_PB,D,20080613,000000,0.435394,0.435394,0.39324,0.421423,0,0
MAK_PB,D,20080616,000000,0.421423,0.421423,0.400269,0.421423,0,0
MAK_PB,D,20080617,000000,0.400269,0.421423,0.400269,0.421423,0,0
MAK_PB,D,20080618,000000,0.407346,0.421423,0.407346,0.421423,0,0
MAK_PB,D,20080619,000000,0.414346,0.414346,0.407346,0.414346,0,0
MAK_PB,D,20080620,000000,0.407346,0.407346,0.407346,0.407346,0,0
MAK_PB,D,20080623,000000,0.421423,0.421423,0.400269,0.414346,0,0
MAK_PB,D,20080624,000000,0.414346,0.414346,0.39324,0.414346,0,0
MAK_PB,D,20080625,000000,0.414346,0.414346,0.414346,0.414346,0,0
MAK_PB,D,20080626,000000,0.400269,0.414346,0.400269,0.407346,0,0
MAK_PB,D,20080627,000000,0.414346,0.414346,0.386231,0.39324,0,0
MAK_PB,D,20080630,000000,0.414346,0.414346,0.386231,0.39324,0,0
MAK_PB,D,20080701,000000,0.386231,0.39324,0.37926,0.37926,0,0
MAK_PB,D,20080702,000000,0.386231,0.386231,0.37926,0.37926,0,0
MAK_PB,D,20080703,000000,0.386231,0.386231,0.365221,0.365221,0,0
MAK_PB,D,20080704,000000,0.386231,0.386231,0.330077,0.330077,0,0
MAK_PB,D,20080707,000000,0.358183,0.358183,0.323058,0.323058,0,0
MAK_PB,D,20080708,000000,0.351154,0.351154,0.309029,0.316029,0,0
MAK_PB,D,20080709,000000,0.344125,0.344125,0.316029,0.323058,0,0
MAK_PB,D,20080710,000000,0.344125,0.344125,0.323058,0.330077,0,0
MAK_PB,D,20080711,000000,0.344125,0.344125,0.323058,0.330077,0,0
MAK_PB,D,20080714,000000,0.337096,0.344125,0.337096,0.344125,0,0
MAK_PB,D,20080715,000000,0.344125,0.344125,0.323058,0.323058,0,0
MAK_PB,D,20080716,000000,0.344125,0.344125,0.323058,0.323058,0,0
MAK_PB,D,20080717,000000,0.330077,0.330077,0.309029,0.309029,0,0
MAK_PB,D,20080718,000000,0.323058,0.323058,0.309029,0.316029,0,0
MAK_PB,D,20080721,000000,0.323058,0.337096,0.323058,0.323058,0,0
MAK_PB,D,20080722,000000,0.337096,0.337096,0.330077,0.330077,0,0
MAK_PB,D,20080723,000000,0.337096,0.337096,0.330077,0.337096,0,0
MAK_PB,D,20080724,000000,0.337096,0.337096,0.323058,0.337096,0,0
MAK_PB,D,20080725,000000,0.337096,0.337096,0.323058,0.337096,0,0
MAK_PB,D,20080728,000000,0.337096,0.337096,0.337096,0.337096,0,0
MAK_PB,D,20080729,000000,0.323058,0.337096,0.323058,0.337096,0,0
MAK_PB,D,20080730,000000,0.337096,0.337096,0.323058,0.330077,0,0
MAK_PB,D,20080731,000000,0.337096,0.337096,0.330077,0.337096,0,0
MAK_PB,D,20080801,000000,0.337096,0.337096,0.337096,0.337096,0,0
MAK_PB,D,20080804,000000,0.337096,0.337096,0.323058,0.330077,0,0
MAK_PB,D,20080805,000000,0.330077,0.330077,0.316029,0.330077,0,0
MAK_PB,D,20080806,000000,0.330077,0.330077,0.330077,0.330077,0,0
MAK_PB,D,20080807,000000,0.330077,0.337096,0.330077,0.337096,0,0
MAK_PB,D,20080808,000000,0.344125,0.344125,0.330077,0.330077,0,0
MAK_PB,D,20080811,000000,0.337096,0.337096,0.337096,0.337096,0,0
MAK_PB,D,20080812,000000,0.323058,0.337096,0.323058,0.337096,0,0
MAK_PB,D,20080813,000000,0.323058,0.337096,0.323058,0.337096,0,0
MAK_PB,D,20080814,000000,0.337096,0.337096,0.323058,0.337096,0,0
MAK_PB,D,20080818,000000,0.330077,0.337096,0.330077,0.337096,0,0
MAK_PB,D,20080819,000000,0.337096,0.337096,0.330077,0.337096,0,0
MAK_PB,D,20080820,000000,0.330077,0.330077,0.330077,0.330077,0,0
MAK_PB,D,20080821,000000,0.337096,0.337096,0.337096,0.337096,0,0
MAK_PB,D,20080822,000000,0.337096,0.337096,0.337096,0.337096,0,0
MAK_PB,D,20080825,000000,0.337096,0.337096,0.330077,0.337096,0,0
MAK_PB,D,20080826,000000,0.337096,0.337096,0.330077,0.330077,0,0
MAK_PB,D,20080827,000000,0.337096,0.337096,0.323058,0.330077,0,0
MAK_PB,D,20080828,000000,0.330077,0.330077,0.316029,0.330077,0,0
MAK_PB,D,20080829,000000,0.330077,0.330077,0.316029,0.323058,0,0
MAK_PB,D,20080901,000000,0.330077,0.330077,0.316029,0.330077,0,0
MAK_PB,D,20080902,000000,0.330077,0.330077,0.316029,0.330077,0,0
MAK_PB,D,20080903,000000,0.330077,0.330077,0.323058,0.323058,0,0
MAK_PB,D,20080904,000000,0.323058,0.330077,0.323058,0.330077,0,0
MAK_PB,D,20080905,000000,0.323058,0.323058,0.323058,0.323058,0,0
MAK_PB,D,20080908,000000,0.330077,0.330077,0.323058,0.323058,0,0
MAK_PB,D,20080909,000000,0.323058,0.330077,0.323058,0.330077,0,0
MAK_PB,D,20080910,000000,0.323058,0.323058,0.309029,0.323058,0,0
MAK_PB,D,20080911,000000,0.323058,0.323058,0.316029,0.323058,0,0
MAK_PB,D,20080912,000000,0.323058,0.323058,0.309029,0.316029,0,0
MAK_PB,D,20080915,000000,0.316029,0.316029,0.294962,0.294962,0,0
MAK_PB,D,20080916,000000,0.302,0.309029,0.294962,0.309029,0,0
MAK_PB,D,20080917,000000,0.302,0.302,0.294962,0.294962,0,0
MAK_PB,D,20080918,000000,0.294962,0.294962,0.287952,0.287952,0,0
MAK_PB,D,20080919,000000,0.294962,0.309029,0.287952,0.294962,0,0
MAK_PB,D,20080922,000000,0.287952,0.302,0.287952,0.287952,0,0
MAK_PB,D,20080923,000000,0.294962,0.294962,0.287952,0.294962,0,0
MAK_PB,D,20080924,000000,0.294962,0.294962,0.287952,0.294962,0,0
MAK_PB,D,20080925,000000,0.294962,0.294962,0.280923,0.287952,0,0
MAK_PB,D,20080926,000000,0.287952,0.287952,0.280923,0.287952,0,0
MAK_PB,D,20080929,000000,0.273894,0.287952,0.273894,0.287952,0,0
MAK_PB,D,20080930,000000,0.273894,0.309029,0.273894,0.287952,0,0
MAK_PB,D,20081001,000000,0.294962,0.309029,0.287952,0.309029,0,0
MAK_PB,D,20081002,000000,0.309029,0.309029,0.302,0.309029,0,0
MAK_PB,D,20081003,000000,0.309029,0.309029,0.302,0.309029,0,0
MAK_PB,D,20081006,000000,0.309029,0.309029,0.309029,0.309029,0,0
MAK_PB,D,20081007,000000,0.309029,0.309029,0.287952,0.294962,0,0
MAK_PB,D,20081008,000000,0.287952,0.294962,0.280923,0.287952,0,0
MAK_PB,D,20081009,000000,0.273894,0.287952,0.266875,0.287952,0,0
MAK_PB,D,20081010,000000,0.273894,0.287952,0.266875,0.273894,0,0
MAK_PB,D,20081013,000000,0.273894,0.287952,0.273894,0.280923,0,0
MAK_PB,D,20081014,000000,0.287952,0.287952,0.273894,0.280923,0,0
MAK_PB,D,20081015,000000,0.273894,0.280923,0.266875,0.280923,0,0
MAK_PB,D,20081016,000000,0.280923,0.280923,0.259865,0.273894,0,0
MAK_PB,D,20081017,000000,0.273894,0.273894,0.259865,0.273894,0,0
MAK_PB,D,20081020,000000,0.259865,0.287952,0.259865,0.273894,0,0
MAK_PB,D,20081021,000000,0.273894,0.273894,0.273894,0.273894,0,0
MAK_PB,D,20081022,000000,0.273894,0.273894,0.266875,0.266875,0,0
MAK_PB,D,20081023,000000,0.259865,0.273894,0.252837,0.252837,0,0
MAK_PB,D,20081024,000000,0.266875,0.266875,0.252837,0.252837,0,0
MAK_PB,D,20081027,000000,0.266875,0.266875,0.245808,0.245808,0,0
MAK_PB,D,20081028,000000,0.245808,0.245808,0.245808,0.245808,0,0
MAK_PB,D,20081029,000000,0.266875,0.266875,0.252837,0.252837,0,0
MAK_PB,D,20081030,000000,0.252837,0.252837,0.245808,0.245808,0,0
MAK_PB,D,20081031,000000,0.259865,0.259865,0.245808,0.245808,0,0
MAK_PB,D,20081103,000000,0.252837,0.252837,0.252837,0.252837,0,0
MAK_PB,D,20081104,000000,0.252837,0.266875,0.252837,0.259865,0,0
MAK_PB,D,20081105,000000,0.259865,0.266875,0.259865,0.266875,0,0
MAK_PB,D,20081106,000000,0.259865,0.266875,0.252837,0.259865,0,0
MAK_PB,D,20081107,000000,0.266875,0.266875,0.252837,0.266875,0,0
MAK_PB,D,20081110,000000,0.266875,0.266875,0.252837,0.252837,0,0
MAK_PB,D,20081112,000000,0.252837,0.252837,0.245808,0.245808,0,0
MAK_PB,D,20081113,000000,0.245808,0.245808,0.231769,0.238788,0,0
MAK_PB,D,20081114,000000,0.238788,0.252837,0.238788,0.252837,0,0
MAK_PB,D,20081117,000000,0.245808,0.252837,0.238788,0.238788,0,0
MAK_PB,D,20081118,000000,0.238788,0.238788,0.224731,0.231769,0,0
MAK_PB,D,20081119,000000,0.231769,0.231769,0.217712,0.217712,0,0
MAK_PB,D,20081120,000000,0.217712,0.217712,0.210683,0.217712,0,0
MAK_PB,D,20081121,000000,0.217712,0.224731,0.217712,0.224731,0,0
MAK_PB,D,20081124,000000,0.231769,0.231769,0.217712,0.224731,0,0
MAK_PB,D,20081125,000000,0.231769,0.238788,0.231769,0.238788,0,0
MAK_PB,D,20081126,000000,0.231769,0.231769,0.231769,0.231769,0,0
MAK_PB,D,20081127,000000,0.217712,0.224731,0.217712,0.224731,0,0
MAK_PB,D,20081128,000000,0.224731,0.231769,0.224731,0.231769,0,0
MAK_PB,D,20081201,000000,0.231769,0.231769,0.217712,0.224731,0,0
MAK_PB,D,20081202,000000,0.231769,0.231769,0.224731,0.231769,0,0
MAK_PB,D,20081203,000000,0.231769,0.231769,0.224731,0.231769,0,0
MAK_PB,D,20081204,000000,0.238788,0.238788,0.238788,0.238788,0,0
MAK_PB,D,20081205,000000,0.238788,0.238788,0.238788,0.238788,0,0
MAK_PB,D,20081208,000000,0.238788,0.238788,0.231769,0.238788,0,0
MAK_PB,D,20081209,000000,0.231769,0.238788,0.231769,0.238788,0,0
MAK_PB,D,20081210,000000,0.238788,0.238788,0.231769,0.238788,0,0
MAK_PB,D,20081211,000000,0.238788,0.238788,0.231769,0.238788,0,0
MAK_PB,D,20081212,000000,0.238788,0.245808,0.231769,0.245808,0,0
MAK_PB,D,20081215,000000,0.238788,0.252837,0.231769,0.252837,0,0
MAK_PB,D,20081216,000000,0.252837,0.266875,0.245808,0.266875,0,0
MAK_PB,D,20081217,000000,0.259865,0.266875,0.245808,0.266875,0,0
MAK_PB,D,20081218,000000,0.252837,0.266875,0.252837,0.266875,0,0
MAK_PB,D,20081219,000000,0.259865,0.266875,0.252837,0.266875,0,0
MAK_PB,D,20081222,000000,0.252837,0.266875,0.252837,0.266875,0,0
MAK_PB,D,20081223,000000,0.273894,0.273894,0.245808,0.266875,0,0
MAK_PB,D,20081229,000000,0.273894,0.273894,0.259865,0.259865,0,0
MAK_PB,D,20081230,000000,0.266875,0.266875,0.245808,0.252837,0,0
MAK_PB,D,20081231,000000,0.259865,0.259865,0.245808,0.245808,0,0
MAK_PB,D,20090105,000000,0.252837,0.259865,0.245808,0.259865,0,0
