<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKN_PB,D,20070813,000000,0.743809,0.743809,0.743809,0.743809,0,0
PKN_PB,D,20070814,000000,0.715468,0.715468,0.715468,0.715468,0,0
PKN_PB,D,20070816,000000,0.67959,0.67959,0.67959,0.67959,0,0
PKN_PB,D,20070817,000000,0.67959,0.67959,0.67959,0.67959,0,0
PKN_PB,D,20070820,000000,0.708121,0.708121,0.708121,0.708121,0,0
PKN_PB,D,20070821,000000,0.693903,0.693903,0.693903,0.693903,0,0
PKN_PB,D,20070822,000000,0.736652,0.736652,0.736652,0.736652,0,0
PKN_PB,D,20070823,000000,0.736652,0.736652,0.736652,0.736652,0,0
PKN_PB,D,20070824,000000,0.765374,0.765374,0.765374,0.765374,0,0
PKN_PB,D,20070827,000000,0.743809,0.743809,0.743809,0.743809,0,0
PKN_PB,D,20070828,000000,0.729495,0.729495,0.729495,0.729495,0,0
PKN_PB,D,20070829,000000,0.772435,0.772435,0.772435,0.772435,0,0
PKN_PB,D,20070830,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20070831,000000,0.858314,0.858314,0.858314,0.858314,0,0
PKN_PB,D,20070903,000000,0.872532,0.872532,0.872532,0.872532,0,0
PKN_PB,D,20070904,000000,0.865471,0.865471,0.865471,0.865471,0,0
PKN_PB,D,20070905,000000,0.851062,0.851062,0.851062,0.851062,0,0
PKN_PB,D,20070906,000000,0.843905,0.843905,0.843905,0.843905,0,0
PKN_PB,D,20070907,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20070910,000000,0.815279,0.815279,0.815279,0.815279,0,0
PKN_PB,D,20070911,000000,0.822436,0.822436,0.822436,0.822436,0,0
PKN_PB,D,20070912,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20070913,000000,0.858314,0.858314,0.858314,0.858314,0,0
PKN_PB,D,20070914,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20070917,000000,0.822436,0.822436,0.822436,0.822436,0,0
PKN_PB,D,20070918,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20070919,000000,0.872532,0.872532,0.872532,0.872532,0,0
PKN_PB,D,20070920,000000,0.872532,0.872532,0.872532,0.872532,0,0
PKN_PB,D,20070921,000000,0.872532,0.872532,0.872532,0.872532,0,0
PKN_PB,D,20070924,000000,0.858314,0.858314,0.858314,0.858314,0,0
PKN_PB,D,20070925,000000,0.858314,0.858314,0.858314,0.858314,0,0
PKN_PB,D,20070926,000000,0.872532,0.872532,0.872532,0.872532,0,0
PKN_PB,D,20070927,000000,0.843905,0.843905,0.843905,0.843905,0,0
PKN_PB,D,20070928,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20071001,000000,0.822436,0.822436,0.822436,0.822436,0,0
PKN_PB,D,20071002,000000,0.851062,0.851062,0.851062,0.851062,0,0
PKN_PB,D,20071003,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20071004,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20071005,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20071008,000000,0.822436,0.822436,0.822436,0.822436,0,0
PKN_PB,D,20071009,000000,0.843905,0.843905,0.843905,0.843905,0,0
PKN_PB,D,20071010,000000,0.822436,0.822436,0.822436,0.822436,0,0
PKN_PB,D,20071011,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20071012,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20071015,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20071016,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20071017,000000,0.851062,0.851062,0.851062,0.851062,0,0
PKN_PB,D,20071018,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20071019,000000,0.836749,0.836749,0.836749,0.836749,0,0
PKN_PB,D,20071022,000000,0.822436,0.822436,0.822436,0.822436,0,0
PKN_PB,D,20071023,000000,0.851062,0.851062,0.851062,0.851062,0,0
PKN_PB,D,20071024,000000,0.843905,0.843905,0.843905,0.843905,0,0
PKN_PB,D,20071025,000000,0.843905,0.843905,0.843905,0.843905,0,0
PKN_PB,D,20071026,000000,0.851062,0.851062,0.851062,0.851062,0,0
PKN_PB,D,20071029,000000,0.872532,0.872532,0.872532,0.872532,0,0
PKN_PB,D,20071030,000000,0.865471,0.865471,0.865471,0.865471,0,0
PKN_PB,D,20071031,000000,0.858314,0.858314,0.858314,0.858314,0,0
PKN_PB,D,20071102,000000,0.843905,0.843905,0.843905,0.843905,0,0
PKN_PB,D,20071105,000000,0.829688,0.829688,0.829688,0.829688,0,0
PKN_PB,D,20071106,000000,0.822436,0.822436,0.822436,0.822436,0,0
PKN_PB,D,20071107,000000,0.793905,0.793905,0.793905,0.793905,0,0
PKN_PB,D,20071108,000000,0.758217,0.758217,0.758217,0.758217,0,0
PKN_PB,D,20071109,000000,0.772435,0.772435,0.729495,0.736652,0,0
PKN_PB,D,20071112,000000,0.736652,0.751061,0.729495,0.729495,0,0
PKN_PB,D,20071113,000000,0.751061,0.772435,0.751061,0.765374,0,0
PKN_PB,D,20071114,000000,0.779687,0.793905,0.765374,0.765374,0,0
PKN_PB,D,20071115,000000,0.765374,0.779687,0.743809,0.743809,0,0
PKN_PB,D,20071116,000000,0.729495,0.758217,0.729495,0.736652,0,0
PKN_PB,D,20071119,000000,0.751061,0.758217,0.736652,0.751061,0,0
PKN_PB,D,20071120,000000,0.758217,0.758217,0.758217,0.758217,0,0
PKN_PB,D,20071121,000000,0.743809,0.772435,0.743809,0.772435,0,0
PKN_PB,D,20071122,000000,0.765374,0.772435,0.758217,0.765374,0,0
PKN_PB,D,20071123,000000,0.765374,0.779687,0.765374,0.765374,0,0
PKN_PB,D,20071126,000000,0.779687,0.779687,0.743809,0.743809,0,0
PKN_PB,D,20071127,000000,0.751061,0.751061,0.729495,0.729495,0,0
PKN_PB,D,20071128,000000,0.736652,0.743809,0.729495,0.736652,0,0
PKN_PB,D,20071129,000000,0.751061,0.751061,0.736652,0.736652,0,0
PKN_PB,D,20071130,000000,0.751061,0.772435,0.751061,0.772435,0,0
PKN_PB,D,20071203,000000,0.751061,0.758217,0.743809,0.743809,0,0
PKN_PB,D,20071204,000000,0.758217,0.779687,0.751061,0.779687,0,0
PKN_PB,D,20071205,000000,0.779687,0.808123,0.779687,0.801157,0,0
PKN_PB,D,20071206,000000,0.801157,0.815279,0.793905,0.801157,0,0
PKN_PB,D,20071207,000000,0.801157,0.801157,0.779687,0.801157,0,0
PKN_PB,D,20071210,000000,0.793905,0.815279,0.786844,0.808123,0,0
PKN_PB,D,20071211,000000,0.808123,0.815279,0.801157,0.808123,0,0
PKN_PB,D,20071212,000000,0.801157,0.822436,0.801157,0.815279,0,0
PKN_PB,D,20071213,000000,0.808123,0.808123,0.786844,0.793905,0,0
PKN_PB,D,20071214,000000,0.793905,0.793905,0.772435,0.779687,0,0
PKN_PB,D,20071217,000000,0.751061,0.772435,0.751061,0.751061,0,0
PKN_PB,D,20071218,000000,0.765374,0.765374,0.736652,0.751061,0,0
PKN_PB,D,20071219,000000,0.751061,0.772435,0.729495,0.772435,0,0
PKN_PB,D,20071220,000000,0.772435,0.779687,0.758217,0.765374,0,0
PKN_PB,D,20071221,000000,0.779687,0.793905,0.765374,0.772435,0,0
PKN_PB,D,20071227,000000,0.765374,0.779687,0.765374,0.772435,0,0
PKN_PB,D,20071228,000000,0.765374,0.772435,0.758217,0.758217,0,0
PKN_PB,D,20080102,000000,0.758217,0.779687,0.758217,0.765374,0,0
PKN_PB,D,20080103,000000,0.772435,0.772435,0.765374,0.765374,0,0
PKN_PB,D,20080104,000000,0.765374,0.779687,0.758217,0.765374,0,0
PKN_PB,D,20080107,000000,0.758217,0.765374,0.758217,0.758217,0,0
