<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFBNDXPL.PL,D,20210208,000000,135.04,135.06,134.64,134.94,2440,0
ETFBNDXPL.PL,D,20210209,000000,135.08,135.48,134.68,135.44,1973,0
ETFBNDXPL.PL,D,20210210,000000,135.72,135.72,133.02,133.02,967,0
ETFBNDXPL.PL,D,20210211,000000,134.70,135.36,134.12,134.12,19651,0
ETFBNDXPL.PL,D,20210212,000000,135.12,135.24,134.80,134.90,462,0
ETFBNDXPL.PL,D,20210215,000000,136.54,136.54,136.36,136.54,418,0
ETFBNDXPL.PL,D,20210216,000000,136.96,136.96,136.20,136.20,1393,0
ETFBNDXPL.PL,D,20210217,000000,136.00,136.00,133.92,134.52,4145,0
ETFBNDXPL.PL,D,20210218,000000,134.48,134.48,132.72,133.38,1239,0
ETFBNDXPL.PL,D,20210219,000000,134.50,135.16,134.20,134.42,569,0
ETFBNDXPL.PL,D,20210222,000000,132.84,132.84,131.00,131.04,4289,0
ETFBNDXPL.PL,D,20210223,000000,131.04,131.04,126,128.94,2615,0
ETFBNDXPL.PL,D,20210224,000000,129.94,130.80,128.00,128.04,961,0
ETFBNDXPL.PL,D,20210225,000000,131.00,131.00,129.00,129.36,669,0
ETFBNDXPL.PL,D,20210226,000000,126.28,128.50,125.76,126.20,893,0
ETFBNDXPL.PL,D,20210301,000000,129.44,129.90,128.76,129.90,261,0
ETFBNDXPL.PL,D,20210302,000000,130.14,130.78,129.84,129.84,476,0
ETFBNDXPL.PL,D,20210303,000000,129.96,129.96,126.46,126.80,755,0
ETFBNDXPL.PL,D,20210304,000000,125.56,125.56,123.68,125.00,1510,0
ETFBNDXPL.PL,D,20210305,000000,122.48,124.36,121.34,121.40,9845,0
ETFBNDXPL.PL,D,20210308,000000,122.90,125.08,121.76,124.54,1123,0
ETFBNDXPL.PL,D,20210309,000000,122.86,125.26,122.86,125.00,580,0
ETFBNDXPL.PL,D,20210310,000000,125.60,127.92,125.00,126.08,1657,0
ETFBNDXPL.PL,D,20210311,000000,127.18,127.90,127.06,127.90,1199,0
ETFBNDXPL.PL,D,20210312,000000,126.50,126.72,125.50,125.76,1581,0
ETFBNDXPL.PL,D,20210315,000000,126.68,127.64,126.68,127.08,1017,0
ETFBNDXPL.PL,D,20210316,000000,128.50,130.44,128.50,130.06,269,0
ETFBNDXPL.PL,D,20210317,000000,129.04,129.04,127.40,127.40,442,0
ETFBNDXPL.PL,D,20210318,000000,128.40,128.40,127.00,127.00,134,0
