<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETFBWTECH.PL,D,20210607,000000,153.58,155.84,153.58,154.46,2455,0
ETFBWTECH.PL,D,20210608,000000,154.64,154.86,153.68,153.78,4998,0
ETFBWTECH.PL,D,20210609,000000,154.98,154.98,153.44,153.50,893,0
ETFBWTECH.PL,D,20210610,000000,157,157,153,154,642,0
ETFBWTECH.PL,D,20210611,000000,154.62,155.32,153.88,155.02,454,0
ETFBWTECH.PL,D,20210614,000000,154.96,155.36,154.68,155.10,812,0
ETFBWTECH.PL,D,20210615,000000,156.86,156.86,155.76,155.76,1628,0
ETFBWTECH.PL,D,20210616,000000,156.00,156.00,153.90,153.90,537,0
ETFBWTECH.PL,D,20210617,000000,153.82,153.82,151.70,151.70,1912,0
ETFBWTECH.PL,D,20210618,000000,152.86,153.36,152.84,152.84,188,0
ETFBWTECH.PL,D,20210621,000000,153.66,153.66,152.44,152.44,1942,0
ETFBWTECH.PL,D,20210622,000000,153.00,153.16,152.52,152.90,156,0
ETFBWTECH.PL,D,20210623,000000,153.22,153.5,152.9,153.5,87,0
ETFBWTECH.PL,D,20210624,000000,153.86,155.84,153.86,155.84,272,0
ETFBWTECH.PL,D,20210625,000000,156.54,157.62,156.08,157.50,4202,0
ETFBWTECH.PL,D,20210628,000000,157.46,159.86,156.86,159.86,273,0
ETFBWTECH.PL,D,20210629,000000,160.00,160.56,160.00,160.08,332,0
ETFBWTECH.PL,D,20210630,000000,160.42,160.48,159.44,159.44,132,0
ETFBWTECH.PL,D,20210701,000000,160.00,160.00,159.40,159.46,169,0
ETFBWTECH.PL,D,20210702,000000,160.00,161.94,160.00,161.82,254,0
ETFBWTECH.PL,D,20210705,000000,161.98,162.20,161.90,161.90,42,0
ETFBWTECH.PL,D,20210706,000000,161.78,161.96,161.32,161.32,192,0
ETFBWTECH.PL,D,20210707,000000,160.78,162.38,160.78,162.30,64,0
ETFBWTECH.PL,D,20210708,000000,163.00,163.00,161.40,162.00,164,0
ETFBWTECH.PL,D,20210709,000000,162.20,162.20,161.40,161.40,103,0
ETFBWTECH.PL,D,20210712,000000,161.74,164.00,161.74,164.00,250,0
ETFBWTECH.PL,D,20210713,000000,164.78,165.30,164.78,165.18,494,0
ETFBWTECH.PL,D,20210714,000000,164.50,164.92,164.00,164.00,771,0
ETFBWTECH.PL,D,20210715,000000,164.58,164.80,164.00,164.00,645,0
ETFBWTECH.PL,D,20210716,000000,163.70,164.40,163.32,164.00,481,0
ETFBWTECH.PL,D,20210719,000000,164.34,164.34,160.70,160.90,996,0
ETFBWTECH.PL,D,20210720,000000,161.84,161.88,159.84,160.00,528,0
ETFBWTECH.PL,D,20210721,000000,160.96,162.14,160.96,161.50,223,0
ETFBWTECH.PL,D,20210722,000000,162.02,162.40,161.20,162.40,292,0
ETFBWTECH.PL,D,20210723,000000,163.30,164.30,163.30,163.62,187,0
ETFBWTECH.PL,D,20210726,000000,163.8,163.8,162.44,163.64,221,0
ETFBWTECH.PL,D,20210727,000000,163.66,163.66,162.52,162.90,91,0
ETFBWTECH.PL,D,20210728,000000,163.00,163.00,162.34,162.34,76,0
ETFBWTECH.PL,D,20210729,000000,163.74,163.98,162.48,162.48,134,0
ETFBWTECH.PL,D,20210730,000000,163.26,164.50,162.54,164.50,104,0
ETFBWTECH.PL,D,20210802,000000,165.00,165.00,162.72,163.30,208,0
ETFBWTECH.PL,D,20210803,000000,163.80,163.80,161.50,161.50,281,0
ETFBWTECH.PL,D,20210804,000000,162.82,162.82,161.58,162.4,673,0
ETFBWTECH.PL,D,20210805,000000,166.00,166.00,161.76,162.70,116,0
ETFBWTECH.PL,D,20210806,000000,163.58,163.58,162.80,162.80,42,0
ETFBWTECH.PL,D,20210809,000000,162.96,162.96,162.00,162.76,74,0
ETFBWTECH.PL,D,20210810,000000,162.90,162.90,161.44,161.50,330,0
ETFBWTECH.PL,D,20210811,000000,161.88,162.00,161.52,161.60,189,0
ETFBWTECH.PL,D,20210812,000000,161.64,162.56,161.64,162.38,1129,0
ETFBWTECH.PL,D,20210813,000000,162.40,162.68,161.64,161.64,281,0
ETFBWTECH.PL,D,20210816,000000,161.96,162.14,160.20,160.20,373,0
