<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1443.N,D,20160620,000000,100.02,100.02,100.02,100.02,0,0
1443.N,D,20160621,000000,100.03,100.03,100.03,100.03,0,0
1443.N,D,20160622,000000,100.03,100.03,100.03,100.03,0,0
1443.N,D,20160623,000000,100.03,100.03,100.03,100.03,0,0
1443.N,D,20160624,000000,100.04,100.04,100.04,100.04,0,0
1443.N,D,20160627,000000,100.05,100.05,100.05,100.05,0,0
1443.N,D,20160628,000000,100.05,100.05,100.05,100.05,0,0
1443.N,D,20160629,000000,100.05,100.05,100.05,100.05,0,0
1443.N,D,20160630,000000,100.06,100.06,100.06,100.06,0,0
1443.N,D,20160701,000000,100.06,100.06,100.06,100.06,0,0
1443.N,D,20160704,000000,100.07,100.07,100.07,100.07,0,0
1443.N,D,20160705,000000,100.07,100.07,100.07,100.07,0,0
1443.N,D,20160706,000000,100.07,100.07,100.07,100.07,0,0
1443.N,D,20160707,000000,100.07,100.07,100.07,100.07,0,0
1443.N,D,20160708,000000,100.08,100.08,100.08,100.08,0,0
1443.N,D,20160711,000000,100.09,100.09,100.09,100.09,0,0
1443.N,D,20160712,000000,100.09,100.09,100.09,100.09,0,0
1443.N,D,20160713,000000,100.09,100.09,100.09,100.09,0,0
1443.N,D,20160714,000000,100.1,100.1,100.1,100.1,0,0
1443.N,D,20160715,000000,100.1,100.1,100.1,100.1,0,0
1443.N,D,20160718,000000,100.11,100.11,100.11,100.11,0,0
1443.N,D,20160719,000000,100.11,100.11,100.11,100.11,0,0
1443.N,D,20160720,000000,100.11,100.11,100.11,100.11,0,0
1443.N,D,20160721,000000,100.12,100.12,100.12,100.12,0,0
1443.N,D,20160722,000000,100.12,100.12,100.12,100.12,0,0
1443.N,D,20160725,000000,100.13,100.13,100.13,100.13,0,0
1443.N,D,20160726,000000,100.13,100.13,100.13,100.13,0,0
1443.N,D,20160727,000000,100.13,100.13,100.13,100.13,0,0
1443.N,D,20160728,000000,100.14,100.14,100.14,100.14,0,0
1443.N,D,20160729,000000,100.14,100.14,100.14,100.14,0,0
1443.N,D,20160801,000000,100.14,100.14,100.14,100.14,0,0
1443.N,D,20160802,000000,100.13,100.13,100.13,100.13,0,0
1443.N,D,20160803,000000,100.11,100.11,100.11,100.11,0,0
1443.N,D,20160804,000000,100.1,100.1,100.1,100.1,0,0
1443.N,D,20160805,000000,100.09,100.09,100.09,100.09,0,0
1443.N,D,20160808,000000,100.06,100.06,100.06,100.06,0,0
1443.N,D,20160809,000000,100.05,100.05,100.05,100.05,0,0
1443.N,D,20160810,000000,100.05,100.05,100.05,100.05,0,0
1443.N,D,20160811,000000,100.04,100.04,100.04,100.04,0,0
1443.N,D,20160812,000000,100.03,100.03,100.03,100.03,0,0
1443.N,D,20160816,000000,99.99,99.99,99.99,99.99,0,0
1443.N,D,20160817,000000,99.98,99.98,99.98,99.98,0,0
