<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLG,D,20131028,000000,27.981,27.981,26.582,27.842,23259,0
MLG,D,20131029,000000,27.842,29.754,26.592,27.515,1528,0
MLG,D,20131030,000000,26.582,26.863,26.116,26.676,6898,0
MLG,D,20131031,000000,26.676,26.676,25.65,25.65,1058,0
MLG,D,20131104,000000,25.65,26.116,25.65,26.116,1343,0
MLG,D,20131105,000000,25.93,25.93,25.212,25.212,70,0
MLG,D,20131106,000000,25.184,26.107,25.184,26.107,6924,0
MLG,D,20131107,000000,26.098,26.098,26.098,26.098,26,0
MLG,D,20131114,000000,24.251,24.643,24.251,24.643,151,0
MLG,D,20131115,000000,25.417,27.049,25.184,27.049,666,0
MLG,D,20131118,000000,26.582,26.937,25.66,26.116,6178,0
MLG,D,20131119,000000,26.023,26.116,25.752,25.761,1381,0
MLG,D,20131120,000000,25.65,25.93,25.65,25.93,7464,0
MLG,D,20131122,000000,25.463,25.93,25.463,25.65,20143,0
MLG,D,20131125,000000,26.07,26.07,26.07,26.07,29,0
MLG,D,20131126,000000,25.184,25.184,25.184,25.184,172,0
MLG,D,20131127,000000,25.193,25.23,25.193,25.23,13,0
MLG,D,20131128,000000,25.184,25.23,24.671,24.773,2041,0
MLG,D,20131129,000000,25.184,25.184,25.184,25.184,12527,0
MLG,D,20131202,000000,25.22,25.92,25.22,25.92,16,0
MLG,D,20131204,000000,24.624,25.184,24.53,25.184,17658,0
MLG,D,20131205,000000,25.556,25.556,24.438,24.438,944,0
MLG,D,20131206,000000,25.165,25.556,24.726,25.184,5740,0
MLG,D,20131209,000000,25.184,25.37,25.184,25.37,911,0
MLG,D,20131216,000000,23.793,25.091,23.793,25.091,536,0
MLG,D,20131220,000000,24.886,25.091,23.459,25.091,24939,0
MLG,D,20131223,000000,25.044,25.184,25.044,25.184,32164,0
MLG,D,20131227,000000,24.717,26.116,24.717,26.116,25596,0
MLG,D,20131230,000000,25.697,26.116,24.717,26.116,11488,0
MLG,D,20140103,000000,24.726,26.116,24.726,26.116,1848,0
MLG,D,20140107,000000,24.158,26.116,24.158,26.07,14611,0
MLG,D,20140108,000000,24.158,26.07,24.158,26.07,116,0
MLG,D,20140113,000000,23.915,23.915,23.915,23.915,11,0
