<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALG,D,20130108,000000,8.5,9,7.5,9,784,0
ALG,D,20130109,000000,7.5,9,7.2,9,634,0
ALG,D,20130110,000000,9,9.05,9,9,136,0
ALG,D,20130111,000000,10,10,10,10,10,0
ALG,D,20130115,000000,9.5,10,9,10,205,0
ALG,D,20130218,000000,9.5,9.5,9.5,9.5,150,0
ALG,D,20130222,000000,9,9.99,8,9,390,0
ALG,D,20130225,000000,8,9,8,9,140,0
ALG,D,20130226,000000,9.99,9.99,9,9.5,454,0
ALG,D,20130227,000000,9.45,9.45,9.45,9.45,150,0
ALG,D,20130306,000000,9.5,9.5,9.5,9.5,20,0
ALG,D,20130307,000000,9,9,9,9,30,0
ALG,D,20130308,000000,9,9.5,9,9.5,106,0
ALG,D,20130311,000000,9,9.5,9,9.5,90,0
ALG,D,20130314,000000,9.99,9.99,9.99,9.99,1,0
ALG,D,20130315,000000,9.99,10,9.5,10,200,0
ALG,D,20130319,000000,9.86,9.86,9.86,9.86,20,0
ALG,D,20130320,000000,9.87,10,9.87,10,70,0
ALG,D,20130321,000000,9.9,9.9,9.9,9.9,100,0
ALG,D,20130322,000000,10,10,10,10,90,0
ALG,D,20130325,000000,10,10.1,10,10.1,100,0
ALG,D,20130326,000000,9.9,10.14,9.9,10.14,100,0
ALG,D,20130328,000000,10.1,10.2,10.1,10.2,54,0
ALG,D,20130405,000000,10.3,10.4,10.3,10.4,100,0
ALG,D,20130411,000000,10.9,10.9,10.9,10.9,10,0
ALG,D,20130412,000000,10.7,10.7,10.7,10.7,70,0
ALG,D,20130419,000000,10.99,10.99,10.99,10.99,10,0
ALG,D,20130426,000000,10.99,10.99,10.99,10.99,10,0
ALG,D,20130429,000000,10.99,11.19,10.99,11.19,72,0
ALG,D,20130430,000000,11.15,11.15,11.15,11.15,30,0
ALG,D,20130502,000000,11.19,11.19,11.19,11.19,10,0
ALG,D,20130507,000000,11.19,11.2,11.19,11.2,20,0
ALG,D,20130508,000000,11.45,11.45,11.45,11.45,55,0
ALG,D,20130509,000000,11.49,11.49,11.49,11.49,20,0
ALG,D,20130510,000000,11.5,11.6,11.5,11.6,50,0
ALG,D,20130513,000000,11.6,11.6,11.6,11.6,100,0
ALG,D,20130514,000000,11.55,11.95,11.55,11.95,40,0
ALG,D,20130515,000000,11.95,12,11.95,12,40,0
ALG,D,20130516,000000,11.5,11.85,11.5,11.85,30,0
ALG,D,20130517,000000,12.05,12.05,12.05,12.05,10,0
ALG,D,20130520,000000,12,12,12,12,10,0
ALG,D,20130521,000000,12.04,12.04,12.04,12.04,100,0
ALG,D,20130523,000000,12,12,12,12,10,0
ALG,D,20130524,000000,12,12,11.8,11.8,60,0
ALG,D,20130527,000000,11.5,11.5,11.5,11.5,90,0
ALG,D,20130528,000000,11.8,11.8,11.8,11.8,70,0
ALG,D,20130529,000000,12.01,12.02,12.01,12.01,60,0
ALG,D,20130531,000000,12.02,12.05,12.02,12.05,20,0
ALG,D,20130603,000000,12.05,12.05,11.22,11.22,110,0
ALG,D,20130604,000000,11.95,11.95,11.95,11.95,75,0
ALG,D,20130605,000000,12.05,12.05,12.05,12.05,10,0
ALG,D,20130606,000000,12.04,12.04,12.04,12.04,20,0
ALG,D,20130607,000000,12.05,12.1,12.05,12.1,55,0
ALG,D,20130610,000000,12.1,12.1,12.1,12.1,35,0
ALG,D,20130611,000000,12.09,12.09,12.09,12.09,20,0
ALG,D,20130612,000000,12.09,12.09,12.09,12.09,35,0
ALG,D,20130613,000000,12.09,12.09,12.09,12.09,37,0
ALG,D,20130614,000000,12.09,12.09,12.09,12.09,30,0
ALG,D,20130617,000000,12.12,12.14,12.12,12.14,35,0
ALG,D,20130619,000000,12.14,12.14,12.14,12.14,10,0
ALG,D,20130620,000000,12.15,12.15,12.15,12.15,30,0
ALG,D,20130621,000000,12.15,12.19,12.15,12.19,40,0
ALG,D,20130624,000000,12.2,12.2,12.2,12.2,25,0
ALG,D,20130625,000000,12,12,12,12,30,0
ALG,D,20130627,000000,12.1,12.1,12.1,12.1,20,0
ALG,D,20130628,000000,12.2,12.2,12.2,12.2,30,0
ALG,D,20130702,000000,12.15,12.15,12.15,12.15,25,0
ALG,D,20130703,000000,12.15,12.15,12.15,12.15,5,0
ALG,D,20130704,000000,11.36,12.2,11.36,12.2,145,0
ALG,D,20130708,000000,11.36,11.55,11.36,11.55,40,0
ALG,D,20130709,000000,11.65,11.65,11.65,11.65,10,0
ALG,D,20130710,000000,10.84,10.84,10.8,10.8,204,0
ALG,D,20130711,000000,10.8,10.8,10.8,10.8,20,0
ALG,D,20130716,000000,10.1,10.1,10.1,10.1,20,0
ALG,D,20130717,000000,10.2,10.2,10.2,10.2,30,0
ALG,D,20130725,000000,10.09,10.09,10.09,10.09,79,0
ALG,D,20130805,000000,9.5,9.5,9.5,9.5,20,0
ALG,D,20130806,000000,9.5,9.5,9.45,9.45,188,0
ALG,D,20130808,000000,9.45,9.45,9.45,9.45,10,0
ALG,D,20130813,000000,9.45,9.45,9.45,9.45,10,0
ALG,D,20130819,000000,9.4,9.4,9.4,9.4,30,0
ALG,D,20130820,000000,9.4,9.4,9.4,9.4,20,0
ALG,D,20130821,000000,9.4,9.4,9.4,9.4,30,0
ALG,D,20130822,000000,9.4,9.4,9.4,9.4,10,0
ALG,D,20130823,000000,9.44,9.44,9.44,9.44,40,0
ALG,D,20130826,000000,9.44,9.44,9.44,9.44,20,0
ALG,D,20130827,000000,9.44,9.44,9.44,9.44,20,0
ALG,D,20130829,000000,8.8,9.25,8.8,9,306,0
ALG,D,20130830,000000,8.38,9,8,9,350,0
ALG,D,20130902,000000,7.8,8.38,7.34,8.38,360,0
ALG,D,20130906,000000,7.55,7.65,7.55,7.65,40,0
ALG,D,20130909,000000,7.12,7.2,6.45,7.2,570,0
ALG,D,20130910,000000,6.5,6.53,6.5,6.53,20,0
