<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSH,D,20200831,000000,17.5,18.65,14,15,218892,0
PSH,D,20200901,000000,15.4,16.43,12.8,15.4,186105,0
PSH,D,20200902,000000,15.6,22.46,14.6,20.8,176868,0
PSH,D,20200903,000000,21,22.98,18.82,19.8,139798,0
PSH,D,20200904,000000,19.4,19.4,17.5,19,61557,0
PSH,D,20200907,000000,17.6,19,17,17,44322,0
PSH,D,20200908,000000,17,17.1,14.62,17,41171,0
PSH,D,20200909,000000,16.95,18.8,16.5,18.5,29184,0
PSH,D,20200910,000000,18.5,18.7,17.6,18.5,9518,0
PSH,D,20200911,000000,18.5,18.5,17.6,18.3,2648,0
PSH,D,20200914,000000,18.5,18.5,17.5,18.05,7998,0
PSH,D,20200915,000000,18,18,17.1,17.788,6490,0
PSH,D,20200916,000000,17.8,18.5,16,17.44,24952,0
PSH,D,20200917,000000,17,18,16.6,17.48,5797,0
PSH,D,20200918,000000,17.48,17.8,17,17.4,3795,0
PSH,D,20200921,000000,17.1,17.5,16.3,16.8,12486,0
PSH,D,20200922,000000,16.42,17.25,15.72,17.25,13798,0
PSH,D,20200923,000000,16.3,16.44,15.8,15.8,15749,0
PSH,D,20200924,000000,15.5,17.5,14.3,16,42418,0
PSH,D,20200925,000000,16.9,17.28,16,17.1,11038,0
PSH,D,20200928,000000,17.08,17.08,16.06,16.4,4738,0
PSH,D,20200929,000000,16.8,16.8,15.8,16.48,3823,0
PSH,D,20200930,000000,16,17,15.9,16.95,18098,0
PSH,D,20201001,000000,16.95,17.15,16.45,16.87,3259,0
PSH,D,20201002,000000,17.1,17.1,16.5,16.62,3097,0
PSH,D,20201005,000000,16.3,16.768,16,16,3092,0
PSH,D,20201006,000000,15.83,16.298,15.5,15.9,5979,0
PSH,D,20201007,000000,16,16.08,15.5,15.97,2250,0
PSH,D,20201008,000000,15.6,15.96,14.75,15.11,10220,0
PSH,D,20201009,000000,15.2,17.5,14.75,16.4,36771,0
