<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRC,D,20190917,000000,3.0246,3.8752,2.8355,3.0246,6905,0
CRC,D,20190918,000000,3.0246,3.1002,2.7411,3.0907,5019,0
CRC,D,20190919,000000,3.1683,3.1683,3.1198,3.1683,1016,0
CRC,D,20190920,000000,3.1489,3.1489,2.9648,3.1489,432,0
CRC,D,20190923,000000,3.0229,3.0229,2.8195,2.8583,620,0
CRC,D,20190924,000000,2.8583,2.8583,2.8583,2.8583,4,0
CRC,D,20190925,000000,2.8583,3.3911,2.8583,3.1973,1429,0
CRC,D,20190926,000000,3.6818,3.8755,3.1004,3.2942,11143,0
CRC,D,20190927,000000,3.3427,3.3427,2.8098,2.8098,2474,0
CRC,D,20190930,000000,2.7517,2.9551,2.6548,2.9551,1226,0
CRC,D,20191001,000000,2.9551,2.9551,2.7323,2.7323,871,0
CRC,D,20191002,000000,2.7905,2.9551,2.7517,2.9067,1042,0
CRC,D,20191004,000000,2.9454,2.9454,2.9454,2.9454,4,0
CRC,D,20191007,000000,2.8098,3.0035,2.8001,2.9454,517,0
CRC,D,20191008,000000,2.9454,3.1004,2.8001,3.1004,2582,0
CRC,D,20191009,000000,3.1004,3.1876,3.1004,3.1876,1712,0
CRC,D,20191010,000000,3.1876,3.1876,3.1876,3.1876,4,0
CRC,D,20191011,000000,3.1586,3.1586,3.0617,3.0617,87,0
CRC,D,20191014,000000,3.0423,3.0423,3.0423,3.0423,336,0
CRC,D,20191015,000000,3.0035,3.0035,3.0035,3.0035,37,0
CRC,D,20191016,000000,3.0035,3.0035,2.9067,2.9067,67,0
CRC,D,20191022,000000,2.9842,2.9938,2.9842,2.9938,1032,0
CRC,D,20191023,000000,3.0035,3.0035,3.0035,3.0035,4,0
CRC,D,20191024,000000,3.0229,3.0229,3.0229,3.0229,4,0
CRC,D,20191025,000000,3.0035,3.0035,3.0035,3.0035,4,0
CRC,D,20191028,000000,3.0035,3.0035,3.0035,3.0035,4,0
CRC,D,20191029,000000,2.9938,2.9938,2.9938,2.9938,10,0
CRC,D,20191030,000000,2.9938,2.9938,2.9938,2.9938,4,0
CRC,D,20191031,000000,2.9842,2.9842,2.9842,2.9842,8,0
CRC,D,20191104,000000,2.9842,2.9842,2.9842,2.9842,4,0
CRC,D,20191105,000000,2.9745,2.9745,2.9745,2.9745,4,0
CRC,D,20191106,000000,2.9745,2.9745,2.9745,2.9745,4,0
CRC,D,20191107,000000,2.9745,2.9745,2.9745,2.9745,4,0
CRC,D,20191108,000000,2.9745,2.9745,2.9745,2.9745,4,0
CRC,D,20191112,000000,2.9745,2.9745,2.9745,2.9745,4,0
CRC,D,20191113,000000,2.9745,2.9745,2.8098,2.9745,788,0
CRC,D,20191114,000000,2.9745,2.9745,2.9745,2.9745,4,0
CRC,D,20191115,000000,2.9745,2.9745,2.8098,2.9067,553,0
CRC,D,20191129,000000,2.868,2.868,2.868,2.868,4,0
CRC,D,20191202,000000,2.8292,2.8292,2.8292,2.8292,10,0
CRC,D,20191206,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20191209,000000,2.9067,2.9067,2.9067,2.9067,523,0
CRC,D,20191210,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20191211,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20191213,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20191216,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20191217,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20191218,000000,2.9067,2.9067,2.7129,2.7129,536,0
CRC,D,20191219,000000,2.616,2.616,2.5773,2.5773,217,0
CRC,D,20191220,000000,2.6936,2.6936,2.6936,2.6936,103,0
CRC,D,20191223,000000,2.6742,2.6742,2.6742,2.6742,4,0
CRC,D,20191227,000000,2.6742,2.6742,2.6742,2.6742,4,0
CRC,D,20191230,000000,2.6742,2.6742,2.6742,2.6742,5,0
CRC,D,20200102,000000,2.5385,2.5385,2.5385,2.5385,31,0
CRC,D,20200107,000000,2.6063,2.6063,2.6063,2.6063,4,0
CRC,D,20200108,000000,2.616,2.6354,2.616,2.6354,1032,0
CRC,D,20200109,000000,2.5385,2.5385,2.5191,2.5191,495,0
CRC,D,20200110,000000,2.5191,2.5191,2.5191,2.5191,4,0
CRC,D,20200115,000000,2.5094,2.6645,2.3835,2.6645,16914,0
CRC,D,20200116,000000,2.6645,2.9067,2.6645,2.9067,919,0
CRC,D,20200117,000000,2.9067,2.9067,2.9067,2.9067,321,0
CRC,D,20200120,000000,3.0229,3.0229,3.0229,3.0229,387,0
CRC,D,20200121,000000,3.178,3.178,3.178,3.178,319,0
CRC,D,20200122,000000,3.1489,3.1489,3.1004,3.1004,335,0
CRC,D,20200123,000000,3.1489,3.1489,2.9067,2.9067,484,0
CRC,D,20200124,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20200127,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20200128,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20200129,000000,2.9067,2.9067,2.9067,2.9067,4,0
CRC,D,20200130,000000,2.9067,2.9067,2.7905,2.7905,14,0
CRC,D,20200211,000000,2.8874,2.8874,2.7517,2.7517,495,0
CRC,D,20200212,000000,2.6548,2.6936,2.6548,2.6936,485,0
CRC,D,20200213,000000,2.6936,2.6936,2.6936,2.6936,103,0
CRC,D,20200214,000000,2.7323,2.7323,2.7323,2.7323,103,0
CRC,D,20200217,000000,2.616,2.7323,2.616,2.7323,206,0
CRC,D,20200220,000000,2.5966,2.5966,2.5966,2.5966,392,0
CRC,D,20200221,000000,2.6354,2.7517,2.461,2.5579,2137,0
CRC,D,20200224,000000,2.5966,2.616,2.5966,2.616,505,0
CRC,D,20200225,000000,2.7323,2.7323,2.7323,2.7323,10,0
CRC,D,20200228,000000,2.7323,2.7323,2.7323,2.7323,52,0
CRC,D,20200302,000000,2.5579,2.8583,2.5579,2.8583,882,0
CRC,D,20200303,000000,2.7129,2.7129,2.7129,2.7129,4,0
CRC,D,20200304,000000,2.7129,2.7129,2.7129,2.7129,4,0
CRC,D,20200305,000000,2.7129,2.7129,2.7129,2.7129,4,0
CRC,D,20200306,000000,2.7129,2.7129,2.7129,2.7129,4,0
CRC,D,20200309,000000,2.4222,2.6548,2.4222,2.5191,718,0
CRC,D,20200312,000000,2.7129,2.7129,2.7129,2.7129,103,0
CRC,D,20200323,000000,2.7129,2.7129,2.7129,2.7129,5,0
CRC,D,20200324,000000,2.4222,2.4222,2.4222,2.4222,52,0
CRC,D,20200325,000000,2.3447,2.3447,2.3447,2.3447,1018,0
CRC,D,20200327,000000,2.3835,2.3835,2.3835,2.3835,458,0
CRC,D,20200331,000000,2.3253,2.3253,2.3253,2.3253,52,0
CRC,D,20200403,000000,2.3253,2.3253,2.3253,2.3253,52,0
CRC,D,20200406,000000,2.4997,2.5966,2.4997,2.5966,1032,0
CRC,D,20200414,000000,2.6548,2.6742,2.1509,2.1509,1858,0
CRC,D,20200415,000000,2.3253,2.3253,2.3253,2.3253,41,0
CRC,D,20200416,000000,2.4222,2.4222,2.4222,2.4222,41,0
CRC,D,20200417,000000,2.4222,2.4222,2.4222,2.4222,5,0
CRC,D,20200420,000000,2.3059,2.3253,2.2284,2.2284,353,0
CRC,D,20200421,000000,2.1703,2.2284,1.8506,2.2284,11708,0
