<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QRT,D,20120119,000000,4,4.75,3.9,3.9,7522,0
QRT,D,20120120,000000,3.9,4.2,3.23,3.9,4830,0
QRT,D,20120123,000000,3.9,3.9,3.9,3.9,15,0
QRT,D,20120124,000000,3.9,3.9,3.9,3.9,15,0
QRT,D,20120125,000000,3.9,3.9,3.9,3.9,358,0
QRT,D,20120126,000000,4,4.05,4,4.05,869,0
QRT,D,20120127,000000,4.05,4.05,3.8,3.8,1300,0
QRT,D,20120130,000000,3.8,3.8,3.7,3.7,1009,0
QRT,D,20120201,000000,3.5,3.7,3.35,3.7,300,0
QRT,D,20120207,000000,3.55,3.55,3.5,3.5,740,0
QRT,D,20120220,000000,3.5,4.1,3.5,4.1,960,0
QRT,D,20120221,000000,4.1,4.1,4.1,4.1,50,0
QRT,D,20120222,000000,4.1,4.1,4.1,4.1,50,0
QRT,D,20120227,000000,4.2,4.2,4.2,4.2,5,0
QRT,D,20120228,000000,4.15,4.15,3.91,4,895,0
QRT,D,20120229,000000,4.01,4.01,4.01,4.01,20,0
QRT,D,20120309,000000,4.18,4.5,4.18,4.5,620,0
QRT,D,20120312,000000,4.93,5.14,4.93,5.14,20,0
QRT,D,20120313,000000,5.25,5.25,5.25,5.25,10,0
QRT,D,20120314,000000,5.4,5.56,5.4,5.56,20,0
QRT,D,20120315,000000,5.57,5.57,5.4,5.4,495,0
QRT,D,20120316,000000,5.05,5.05,5.05,5.05,496,0
QRT,D,20120319,000000,4.81,4.81,4.81,4.81,520,0
QRT,D,20120326,000000,4.4,4.4,4.15,4.15,655,0
QRT,D,20120327,000000,3.7,3.7,3.1,3.1,635,0
QRT,D,20120328,000000,3.15,3.15,3.15,3.15,5,0
QRT,D,20120402,000000,3,3,3,3,390,0
QRT,D,20120405,000000,3,3.3,3,3.3,845,0
QRT,D,20120413,000000,3.15,3.15,3.15,3.15,800,0
QRT,D,20120416,000000,3.3,3.3,3.3,3.3,100,0
QRT,D,20120417,000000,3.4,3.4,3.4,3.4,100,0
QRT,D,20120418,000000,3.5,3.5,3.5,3.5,100,0
QRT,D,20120419,000000,3.67,3.67,3.67,3.67,100,0
QRT,D,20120423,000000,3.8,3.8,3.8,3.8,15,0
QRT,D,20120424,000000,3.8,3.8,3.8,3.8,20,0
QRT,D,20120425,000000,3.8,3.8,3.8,3.8,50,0
QRT,D,20120426,000000,3.8,3.8,3.8,3.8,20,0
QRT,D,20120427,000000,3.8,3.8,3.8,3.8,30,0
QRT,D,20120504,000000,3.8,3.8,3.8,3.8,30,0
QRT,D,20120507,000000,3.63,3.63,3.63,3.63,635,0
QRT,D,20120628,000000,3.65,3.65,3.65,3.65,66687,0
QRT,D,20120710,000000,3.65,3.65,3.65,3.65,16879,0
QRT,D,20130201,000000,3.71,3.71,3,3,800,0
QRT,D,20130212,000000,3,3.6,3,3.6,1141,0
QRT,D,20130213,000000,3,3,3,3,660,0
QRT,D,20130228,000000,3,3,3,3,30,0
QRT,D,20130301,000000,3,3,3,3,15,0
QRT,D,20130304,000000,3,3,3,3,10,0
QRT,D,20130305,000000,3,3,3,3,20,0
QRT,D,20130306,000000,3,3,3,3,15,0
QRT,D,20130307,000000,3,3,3,3,25,0
QRT,D,20130308,000000,3,3,3,3,20,0
QRT,D,20130311,000000,3,3,3,3,15,0
QRT,D,20130312,000000,3,3,3,3,20,0
QRT,D,20130313,000000,3,3,3,3,15,0
QRT,D,20130314,000000,3,3,3,3,16,0
QRT,D,20130315,000000,3,3,3,3,20,0
QRT,D,20130318,000000,3,3,3,3,20,0
QRT,D,20130319,000000,3,3,3,3,20,0
QRT,D,20130320,000000,3,3,3,3,20,0
QRT,D,20130321,000000,3,3,3,3,15,0
QRT,D,20130322,000000,3,3,3,3,15,0
QRT,D,20130325,000000,3,3,3,3,15,0
QRT,D,20130326,000000,3,3,3,3,15,0
QRT,D,20130327,000000,3,3,3,3,15,0
QRT,D,20130328,000000,3,3,3,3,10,0
QRT,D,20130402,000000,3,3,3,3,10,0
QRT,D,20130403,000000,3,3,3,3,15,0
QRT,D,20130404,000000,3,3,3,3,20,0
QRT,D,20130405,000000,3,3,3,3,12,0
QRT,D,20130408,000000,3,3,3,3,15,0
QRT,D,20130409,000000,3,3,3,3,15,0
QRT,D,20130410,000000,3,3,3,3,10,0
QRT,D,20130411,000000,3,3,3,3,10,0
QRT,D,20130412,000000,3,3,3,3,10,0
QRT,D,20130419,000000,3,3,3,3,15,0
QRT,D,20130422,000000,3,3,3,3,15,0
QRT,D,20130423,000000,3,3,3,3,15,0
QRT,D,20130424,000000,3,3,3,3,15,0
QRT,D,20130425,000000,3,3,3,3,10,0
QRT,D,20130426,000000,3,3,3,3,15,0
QRT,D,20130429,000000,3,3,3,3,20,0
QRT,D,20130430,000000,3,3,3,3,10,0
QRT,D,20130502,000000,3,3,3,3,10,0
QRT,D,20130506,000000,3,3,3,3,5,0
QRT,D,20130507,000000,3,3,3,3,15,0
QRT,D,20130508,000000,3,3,3,3,20,0
QRT,D,20130509,000000,3,3,3,3,5,0
QRT,D,20130510,000000,3,3,3,3,10,0
QRT,D,20130513,000000,3,3,3,3,10,0
QRT,D,20130514,000000,3,3,3,3,10,0
QRT,D,20130515,000000,3,3,3,3,15,0
QRT,D,20130516,000000,3,3,3,3,10,0
QRT,D,20130517,000000,3,3,3,3,10,0
QRT,D,20130520,000000,3,3,3,3,10,0
QRT,D,20130521,000000,3,3,3,3,10,0
QRT,D,20130522,000000,3,3,3,3,10,0
QRT,D,20130523,000000,3,3,3,3,10,0
QRT,D,20130524,000000,3,3,3,3,10,0
QRT,D,20130527,000000,3,3,3,3,15,0
QRT,D,20130528,000000,3,3,3,3,15,0
QRT,D,20130529,000000,3,3,3,3,15,0
QRT,D,20130531,000000,3,3,3,3,10,0
QRT,D,20130603,000000,3,3,3,3,15,0
QRT,D,20130604,000000,3,3,3,3,5,0
QRT,D,20130605,000000,3,3,3,3,10,0
QRT,D,20130606,000000,3,3,3,3,5,0
QRT,D,20130607,000000,3,3,3,3,10,0
QRT,D,20130610,000000,3,3,3,3,5,0
QRT,D,20130611,000000,3,3,3,3,5,0
QRT,D,20130612,000000,3,3,3,3,5,0
QRT,D,20130613,000000,3,3,3,3,5,0
QRT,D,20130614,000000,3,3,3,3,5,0
QRT,D,20130617,000000,3,3,3,3,10,0
QRT,D,20130618,000000,3,3,3,3,10,0
QRT,D,20130619,000000,3,3,3,3,5,0
QRT,D,20130620,000000,3,3,3,3,10,0
QRT,D,20130621,000000,3,3,3,3,10,0
QRT,D,20130624,000000,3,3,3,3,10,0
QRT,D,20130625,000000,3,3,3,3,10,0
QRT,D,20130626,000000,3,3,3,3,10,0
QRT,D,20130627,000000,3,3,3,3,10,0
QRT,D,20130628,000000,3,3,3,3,10,0
QRT,D,20130703,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130704,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130705,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130708,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130709,000000,3.01,3.01,3.01,3.01,15,0
QRT,D,20130710,000000,3.01,3.01,3.01,3.01,15,0
QRT,D,20130711,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130712,000000,3.01,3.01,3.01,3.01,20,0
QRT,D,20130715,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130716,000000,3.01,3.01,3.01,3.01,15,0
QRT,D,20130717,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130718,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130719,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130722,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130723,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130724,000000,3.01,3.01,3.01,3.01,15,0
QRT,D,20130725,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130726,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130729,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130730,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130731,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130801,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130802,000000,3.01,3.01,3.01,3.01,15,0
QRT,D,20130805,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130806,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130807,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130808,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130809,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130812,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130813,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130814,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130816,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130819,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130820,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130821,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130822,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130823,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130826,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130827,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130828,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130829,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130830,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130902,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130903,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130904,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130905,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130906,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130909,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130910,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130911,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130912,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130913,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130916,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130917,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130918,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130919,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130920,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130923,000000,3.01,3.01,3.01,3.01,10,0
QRT,D,20130924,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130925,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130926,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130927,000000,3.01,3.01,3.01,3.01,5,0
QRT,D,20130930,000000,3.01,3.1,3.01,3.1,1050,0
QRT,D,20131001,000000,3.1,3.1,3.1,3.1,100,0
QRT,D,20131002,000000,3.1,3.1,3.1,3.1,50,0
QRT,D,20131007,000000,3,3,3,3,500,0
QRT,D,20140102,000000,3,3,3,3,20,0
QRT,D,20140103,000000,3,3,3,3,10,0
QRT,D,20140107,000000,3,3,3,3,5,0
QRT,D,20140108,000000,3,3,3,3,4,0
QRT,D,20140109,000000,3,3,3,3,5,0
QRT,D,20140110,000000,3,3,3,3,4,0
QRT,D,20140113,000000,3,3,3,3,5,0
QRT,D,20140114,000000,3,3,3,3,5,0
QRT,D,20140115,000000,3,3,3,3,5,0
QRT,D,20140116,000000,3,3,3,3,5,0
QRT,D,20140117,000000,3,3,3,3,5,0
QRT,D,20140120,000000,3,3,3,3,4,0
QRT,D,20140121,000000,3,3,3,3,5,0
