<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGE,D,20210428,000000,28.6,29,24.11,25.45,52828,0
DGE,D,20210429,000000,25.9,26.76,21.99,22.39,20940,0
DGE,D,20210430,000000,22.4,26.8,22.4,26,20229,0
DGE,D,20210504,000000,27,32.2,26.65,30,28012,0
DGE,D,20210505,000000,31,31.8,28.1,29.495,6295,0
DGE,D,20210506,000000,30,30,27.505,28.7,2481,0
DGE,D,20210507,000000,29.2,29.2,28.3,28.99,5954,0
DGE,D,20210510,000000,29.8,30.9,28.01,28.75,5297,0
DGE,D,20210511,000000,28.5,28.5,28,28.34,3498,0
DGE,D,20210512,000000,28.3,29.6,27,29.295,4410,0
DGE,D,20210513,000000,29,29.5,28,29.3,5143,0
DGE,D,20210514,000000,28.5,29.1,28,28.985,4275,0
DGE,D,20210517,000000,28.985,31.845,28.35,31.8,4662,0
DGE,D,20210518,000000,31.79,31.79,29.8,30.7,5091,0
DGE,D,20210519,000000,30.005,30.4,29.4,30.4,991,0
DGE,D,20210520,000000,29.8,30.79,29.3,30.4,4673,0
DGE,D,20210521,000000,29.7,30.3,29.5,30,2240,0
DGE,D,20210524,000000,28.55,30.495,28.5,30,3823,0
DGE,D,20210525,000000,29.5,29.5,28.5,29.45,2101,0
DGE,D,20210526,000000,29.5,29.5,28,29,2019,0
DGE,D,20210527,000000,28.99,29.5,28.1,29.495,2978,0
DGE,D,20210528,000000,29.485,31.37,28.5,30.85,11229,0
DGE,D,20210531,000000,30.885,31.88,30.885,31.5,4866,0
DGE,D,20210601,000000,31.87,31.89,30.6,31.5,2701,0
DGE,D,20210602,000000,31.5,31.99,30.985,31.975,3145,0
DGE,D,20210604,000000,31.975,32.5,30.71,32.48,3725,0
DGE,D,20210607,000000,32.5,33.61,32.01,33.61,4708,0
DGE,D,20210608,000000,33.7,35.95,33.7,35,3808,0
DGE,D,20210609,000000,35.2,40.3,34.9,39.8,12668,0
DGE,D,20210610,000000,40,42,38,40.8,5342,0
DGE,D,20210611,000000,42.4,50,35.2,41,4835,0
DGE,D,20210614,000000,42.9,43,40,41,517,0
DGE,D,20210615,000000,40.5,41.5,37.5,40.3,1711,0
DGE,D,20210616,000000,39.4,40,38.055,40,276,0
DGE,D,20210617,000000,39.01,39.9,37.5,39.89,1055,0
DGE,D,20210618,000000,37.61,38.8,37.5,38.8,530,0
DGE,D,20210621,000000,38.8,38.8,37,37.9,427,0
DGE,D,20210622,000000,38.5,40,36.65,39,3429,0
DGE,D,20210623,000000,37.5,39,36.925,39,1734,0
DGE,D,20210624,000000,37.51,39.47,37.51,39.47,1603,0
DGE,D,20210625,000000,38.5,39.9,37.7,39.2,1442,0
DGE,D,20210628,000000,39.885,39.9,37.41,37.9,2828,0
DGE,D,20210629,000000,37.15,37.15,35.6,36.5,3183,0
DGE,D,20210630,000000,35.2,37.5,31.56,34.98,7077,0
DGE,D,20210701,000000,35.5,35.5,33.56,35.49,3549,0
DGE,D,20210702,000000,36,36.8,36,36.8,144,0
DGE,D,20210705,000000,36.9,39.48,36.9,39.19,1652,0
DGE,D,20210706,000000,39,39,37,38,1965,0
DGE,D,20210707,000000,37.99,37.99,37,37.5,61,0
DGE,D,20210708,000000,36.5,38,35.7,37.99,453,0
DGE,D,20210709,000000,37.99,37.99,36.8,37.89,65,0
DGE,D,20210712,000000,37.2,37.5,35.015,36.95,4418,0
DGE,D,20210713,000000,37,37,34.65,35.9,1097,0
DGE,D,20210714,000000,36.98,36.98,36,36,10,0
DGE,D,20210715,000000,36,36.98,35.35,36.97,68,0
DGE,D,20210716,000000,36.97,37.5,36.11,37.5,271,0
DGE,D,20210719,000000,36.14,38.5,35.42,38.5,1255,0
DGE,D,20210720,000000,37.9,44,37.9,40.56,8239,0
DGE,D,20210721,000000,42,43.4,40.85,42.89,2080,0
DGE,D,20210722,000000,43,43,40.6,41.99,678,0
DGE,D,20210723,000000,42,42,40.6,41.9,414,0
DGE,D,20210726,000000,41.6,41.6,39.1,41.2,332,0
DGE,D,20210727,000000,39.1,41.2,39,40.6,1062,0
DGE,D,20210728,000000,39,41,39,41,1551,0
DGE,D,20210729,000000,40.8,40.8,39,40.6,3277,0
DGE,D,20210730,000000,39,40,38,40,1009,0
DGE,D,20210802,000000,39.9,41,38.13,39.5,998,0
DGE,D,20210803,000000,39.5,41,38.5,40.99,1974,0
DGE,D,20210804,000000,40.99,41.2,38.11,38.35,2850,0
DGE,D,20210805,000000,38.35,42,38.35,40,1978,0
DGE,D,20210806,000000,40,40.65,39,39.8,1887,0
DGE,D,20210809,000000,39.8,40.2,38.76,40.195,1667,0
DGE,D,20210810,000000,40.3,41.4,40.1,41.4,1016,0
DGE,D,20210811,000000,41.8,41.8,40.95,40.95,71,0
DGE,D,20210812,000000,40.95,42,39.41,41.59,983,0
DGE,D,20210813,000000,42.5,42.5,39.65,41.7,399,0
DGE,D,20210816,000000,40.505,42.48,40.505,42.48,1325,0
DGE,D,20210817,000000,42.5,46.05,42.11,45.9,3785,0
