<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1367.N,D,20200813,000000,100,100,100,100,0,0
1367.N,D,20200814,000000,100,100,100,100,0,0
1367.N,D,20200817,000000,99.99,99.99,99.99,99.99,0,0
1367.N,D,20200818,000000,99.99,99.99,99.99,99.99,0,0
1367.N,D,20200819,000000,99.99,99.99,99.99,99.99,0,0
1367.N,D,20200820,000000,99.99,99.99,99.99,99.99,0,0
1367.N,D,20200821,000000,99.99,99.99,99.99,99.99,0,0
1367.N,D,20200824,000000,99.99,99.99,99.99,99.99,0,0
1367.N,D,20200825,000000,100.02,100.02,100.02,100.02,0,0
1367.N,D,20200826,000000,100.02,100.02,100.02,100.02,0,0
1367.N,D,20200827,000000,100.03,100.03,100.03,100.03,0,0
1367.N,D,20200828,000000,100.04,100.04,100.04,100.04,0,0
1367.N,D,20200831,000000,100.04,100.04,100.04,100.04,0,0
1367.N,D,20200901,000000,100.06,100.06,100.06,100.06,0,0
1367.N,D,20200902,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200903,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200904,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200907,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200908,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200909,000000,100.06,100.06,100.06,100.06,0,0
1367.N,D,20200910,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200911,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200914,000000,100.05,100.05,100.05,100.05,0,0
1367.N,D,20200915,000000,100.04,100.04,100.04,100.04,0,0
1367.N,D,20200916,000000,100.04,100.04,100.04,100.04,0,0
1367.N,D,20200917,000000,100.03,100.03,100.03,100.03,0,0
1367.N,D,20200918,000000,100.03,100.03,100.03,100.03,0,0
1367.N,D,20200921,000000,100.04,100.04,100.04,100.04,0,0
1367.N,D,20200922,000000,100.03,100.03,100.03,100.03,0,0
1367.N,D,20200923,000000,100.01,100.01,100.01,100.01,0,0
1367.N,D,20200924,000000,100.03,100.03,100.03,100.03,0,0
1367.N,D,20200925,000000,100.02,100.02,100.02,100.02,0,0
1367.N,D,20200928,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20200929,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20200930,000000,100.08,100.08,100.08,100.08,0,0
1367.N,D,20201001,000000,100.08,100.08,100.08,100.08,0,0
1367.N,D,20201002,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20201005,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20201006,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20201007,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20201008,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20201009,000000,100.08,100.08,100.08,100.08,0,0
1367.N,D,20201012,000000,100.09,100.09,100.09,100.09,0,0
1367.N,D,20201013,000000,100.12,100.12,100.12,100.12,0,0
1367.N,D,20201014,000000,100.12,100.12,100.12,100.12,0,0
1367.N,D,20201015,000000,100.13,100.13,100.13,100.13,0,0
1367.N,D,20201016,000000,100.12,100.12,100.12,100.12,0,0
1367.N,D,20201019,000000,100.12,100.12,100.12,100.12,0,0
1367.N,D,20201020,000000,100.13,100.13,100.13,100.13,0,0
1367.N,D,20201021,000000,100.1,100.1,100.1,100.1,0,0
1367.N,D,20201022,000000,100.1,100.1,100.1,100.1,0,0
1367.N,D,20201023,000000,100.1,100.1,100.1,100.1,0,0
1367.N,D,20201026,000000,100.1,100.1,100.1,100.1,0,0
1367.N,D,20201027,000000,100.14,100.14,100.14,100.14,0,0
1367.N,D,20201028,000000,100.14,100.14,100.14,100.14,0,0
1367.N,D,20201029,000000,100.14,100.14,100.14,100.14,0,0
1367.N,D,20201030,000000,100.15,100.15,100.15,100.15,0,0
1367.N,D,20201102,000000,100.16,100.16,100.16,100.16,0,0
1367.N,D,20201103,000000,100.16,100.16,100.16,100.16,0,0
1367.N,D,20201104,000000,100.16,100.16,100.16,100.16,0,0
1367.N,D,20201105,000000,100.17,100.17,100.17,100.17,0,0
1367.N,D,20201106,000000,100.17,100.17,100.17,100.17,0,0
1367.N,D,20201109,000000,100.16,100.16,100.16,100.16,0,0
1367.N,D,20201110,000000,100.15,100.15,100.15,100.15,0,0
1367.N,D,20201112,000000,100.12,100.12,100.12,100.12,0,0
1367.N,D,20201113,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201116,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201117,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201118,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201119,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201120,000000,100.19,100.19,100.19,100.19,0,0
1367.N,D,20201123,000000,100.19,100.19,100.19,100.19,0,0
1367.N,D,20201124,000000,100.19,100.19,100.19,100.19,0,0
1367.N,D,20201125,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201126,000000,100.17,100.17,100.17,100.17,0,0
1367.N,D,20201127,000000,100.16,100.16,100.16,100.16,0,0
1367.N,D,20201130,000000,100.21,100.21,100.21,100.21,0,0
1367.N,D,20201201,000000,100.21,100.21,100.21,100.21,0,0
1367.N,D,20201202,000000,100.2,100.2,100.2,100.2,0,0
1367.N,D,20201203,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201204,000000,100.17,100.17,100.17,100.17,0,0
1367.N,D,20201207,000000,100.17,100.17,100.17,100.17,0,0
1367.N,D,20201208,000000,100.18,100.18,100.18,100.18,0,0
1367.N,D,20201209,000000,100.17,100.17,100.17,100.17,0,0
1367.N,D,20201210,000000,100.18,100.18,100.18,100.18,0,0
