<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GNB1222.PL,D,20171229,000000,89,89,89,89,55,0
GNB1222.PL,D,20180119,000000,92,92,92,92,5,0
GNB1222.PL,D,20180126,000000,92,92,92,92,5,0
GNB1222.PL,D,20180220,000000,92.5,92.5,92.5,92.5,9,0
GNB1222.PL,D,20180226,000000,93.4,93.4,93.4,93.4,20,0
GNB1222.PL,D,20180227,000000,93.5,93.5,93.5,93.5,25,0
GNB1222.PL,D,20180228,000000,94,95,94,95,21,0
GNB1222.PL,D,20180301,000000,95.01,95.01,95.01,95.01,4,0
GNB1222.PL,D,20180329,000000,98.5,98.5,98.5,98.5,15,0
GNB1222.PL,D,20180516,000000,95.5,95.5,95.5,95.5,10,0
GNB1222.PL,D,20180517,000000,94,94,94,94,1,0
GNB1222.PL,D,20180612,000000,89.99,89.99,89.99,89.99,10,0
GNB1222.PL,D,20180618,000000,89.99,90,89.99,90,10,0
GNB1222.PL,D,20180622,000000,89,89,89,89,30,0
GNB1222.PL,D,20180625,000000,89,89,89,89,10,0
GNB1222.PL,D,20180627,000000,89,89,89,89,15,0
GNB1222.PL,D,20180703,000000,89,89,89,89,45,0
GNB1222.PL,D,20180716,000000,86,86,86,86,7,0
GNB1222.PL,D,20180717,000000,86,86,86,86,10,0
GNB1222.PL,D,20180723,000000,87,87,86,86,110,0
GNB1222.PL,D,20180725,000000,86.01,86.01,86,86,150,0
GNB1222.PL,D,20180726,000000,87,87,87,87,100,0
GNB1222.PL,D,20180727,000000,88.97,89,88.97,89,42,0
GNB1222.PL,D,20180731,000000,89.99,90,89.99,90,137,0
GNB1222.PL,D,20180928,000000,87,87,87,87,10,0
GNB1222.PL,D,20181010,000000,87.47,87.5,87.47,87.5,3,0
GNB1222.PL,D,20181114,000000,78,78,73,73,2,0
GNB1222.PL,D,20181116,000000,68,68,68,68,1,0
GNB1222.PL,D,20190114,000000,70,70,70,70,3,0
GNB1222.PL,D,20190115,000000,70,74.99,70,74.99,30,0
GNB1222.PL,D,20190123,000000,79.99,80,79.99,80,6,0
GNB1222.PL,D,20190130,000000,85,85,80,80,40,0
GNB1222.PL,D,20190205,000000,82.99,82.99,82.99,82.99,2,0
GNB1222.PL,D,20190207,000000,82.99,83.99,82.99,83.99,3,0
GNB1222.PL,D,20190227,000000,84.5,84.5,84.5,84.5,5,0
GNB1222.PL,D,20190321,000000,84.79,84.79,84.79,84.79,1,0
GNB1222.PL,D,20190405,000000,84.79,84.79,84.79,84.79,1,0
GNB1222.PL,D,20190430,000000,76,77,76,77,16,0
GNB1222.PL,D,20190506,000000,70,76.99,70,76.99,7,0
GNB1222.PL,D,20190508,000000,79.9,80,79.9,80,3,0
GNB1222.PL,D,20190513,000000,75,75,75,75,14,0
GNB1222.PL,D,20190522,000000,71,71,71,71,50,0
GNB1222.PL,D,20190524,000000,71,71,71,71,35,0
GNB1222.PL,D,20190527,000000,71,71,71,71,10,0
GNB1222.PL,D,20190528,000000,71,74.1,71,74.1,63,0
GNB1222.PL,D,20190604,000000,70,70,70,70,20,0
GNB1222.PL,D,20190610,000000,65,65,65,65,2,0
GNB1222.PL,D,20190611,000000,65,65,65,65,20,0
GNB1222.PL,D,20190614,000000,64.99,65,64.5,64.9,50,0
GNB1222.PL,D,20190619,000000,75,75,75,75,35,0
GNB1222.PL,D,20190621,000000,75,75,75,75,2,0
GNB1222.PL,D,20190624,000000,75,75,75,75,16,0
GNB1222.PL,D,20190625,000000,75,75,74.5,74.5,10,0
