<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DS1029.PL,D,20190212,000000,100.1,100.1,99.58,99.58,18944,0
DS1029.PL,D,20190213,000000,99.7,99.7,99.7,99.7,1759,0
DS1029.PL,D,20190218,000000,100.5,100.5,100.1,100.1,26,0
DS1029.PL,D,20190219,000000,100.3,100.3,100.3,100.3,56,0
DS1029.PL,D,20190221,000000,100.3,100.3,100.3,100.3,14,0
DS1029.PL,D,20190222,000000,100.3,100.3,100.3,100.3,9,0
DS1029.PL,D,20190225,000000,100,100,99.9,99.9,21,0
DS1029.PL,D,20190226,000000,99.9,99.9,99.5,99.5,114,0
DS1029.PL,D,20190227,000000,99.7,99.7,99.5,99.5,31,0
DS1029.PL,D,20190301,000000,99.4,99.5,99.2,99.2,75,0
DS1029.PL,D,20190304,000000,99.2,99.2,99.2,99.2,5,0
DS1029.PL,D,20190305,000000,99.2,99.2,99.2,99.2,230,0
DS1029.PL,D,20190306,000000,99.2,99.2,99.2,99.2,692,0
DS1029.PL,D,20190307,000000,99.5,99.5,99.5,99.5,21,0
DS1029.PL,D,20190311,000000,99.35,99.35,99.3,99.3,179,0
DS1029.PL,D,20190312,000000,99.2,99.2,99.2,99.2,35,0
DS1029.PL,D,20190313,000000,99.5,99.5,99.5,99.5,1,0
DS1029.PL,D,20190315,000000,99.5,99.5,99.2,99.2,171,0
DS1029.PL,D,20190320,000000,99.2,99.2,99.2,99.2,20,0
DS1029.PL,D,20190321,000000,99.2,99.3,99.2,99.3,61,0
DS1029.PL,D,20190322,000000,99.3,99.3,99.3,99.3,1,0
DS1029.PL,D,20190326,000000,99.3,99.3,99.3,99.3,103,0
DS1029.PL,D,20190328,000000,100,100,100,100,1,0
DS1029.PL,D,20190329,000000,99.7,99.7,99.7,99.7,300,0
DS1029.PL,D,20190401,000000,99.8,99.8,99.8,99.8,30,0
DS1029.PL,D,20190402,000000,99.8,99.8,99.8,99.8,5,0
DS1029.PL,D,20190403,000000,99.5,99.5,99.5,99.5,137,0
DS1029.PL,D,20190404,000000,99.5,99.5,99.3,99.3,26,0
DS1029.PL,D,20190405,000000,99.3,99.3,99.3,99.3,27,0
DS1029.PL,D,20190409,000000,99.3,99.3,99.3,99.3,3,0
DS1029.PL,D,20190410,000000,99.3,99.3,99.3,99.3,6,0
DS1029.PL,D,20190411,000000,99.3,99.3,99.3,99.3,4,0
DS1029.PL,D,20190412,000000,99.3,99.3,99.2,99.2,201,0
DS1029.PL,D,20190415,000000,99.5,99.5,99.5,99.5,11,0
DS1029.PL,D,20190418,000000,99.5,99.5,99.5,99.5,4,0
DS1029.PL,D,20190423,000000,99.1,99.1,99.1,99.1,49,0
DS1029.PL,D,20190424,000000,99.1,99.1,99.1,99.1,6,0
DS1029.PL,D,20190425,000000,99,99,99,99,27,0
DS1029.PL,D,20190426,000000,99,99,99,99,20,0
DS1029.PL,D,20190429,000000,99.1,99.1,99.1,99.1,7,0
DS1029.PL,D,20190502,000000,98.4,98.4,98.4,98.4,10,0
DS1029.PL,D,20190506,000000,98.5,98.5,98.34,98.5,189,0
DS1029.PL,D,20190507,000000,98.5,98.6,98.5,98.6,188,0
DS1029.PL,D,20190508,000000,98.8,98.8,98.8,98.8,50,0
DS1029.PL,D,20190513,000000,99.7,99.7,99.7,99.7,4,0
DS1029.PL,D,20190514,000000,99.7,99.7,99.7,99.7,5,0
DS1029.PL,D,20190520,000000,99.5,99.5,99.5,99.5,2,0
DS1029.PL,D,20190521,000000,99.5,99.5,99.5,99.5,197,0
DS1029.PL,D,20190522,000000,99.5,99.5,99.3,99.5,139,0
DS1029.PL,D,20190523,000000,99.8,99.8,99.8,99.8,1,0
DS1029.PL,D,20190527,000000,99.8,99.8,99.8,99.8,3,0
DS1029.PL,D,20190528,000000,99.81,99.81,99.8,99.8,7,0
DS1029.PL,D,20190529,000000,100.2,100.2,100.2,100.2,1,0
DS1029.PL,D,20190530,000000,100,100,100,100,10,0
DS1029.PL,D,20190531,000000,100.6,100.6,100.52,100.6,273,0
DS1029.PL,D,20190606,000000,101.6,101.6,101.6,101.6,23,0
DS1029.PL,D,20190607,000000,102.4,102.49,102.4,102.48,20000,0
DS1029.PL,D,20190614,000000,102.2,102.2,102.2,102.2,100,0
DS1029.PL,D,20190619,000000,103.1,103.1,103.1,103.1,6,0
DS1029.PL,D,20190724,000000,107.2,107.2,107.2,107.2,5,0
DS1029.PL,D,20190805,000000,107.2,107.2,107.2,107.2,2,0
DS1029.PL,D,20190813,000000,107.8,107.8,107.8,107.8,2,0
DS1029.PL,D,20190814,000000,108.3,108.3,108.3,108.3,2,0
DS1029.PL,D,20190827,000000,107.3,107.3,107.3,107.3,6,0
DS1029.PL,D,20190828,000000,108.5,108.5,108.5,108.5,3,0
DS1029.PL,D,20190829,000000,109.1,109.1,109.1,109.1,8,0
DS1029.PL,D,20190906,000000,106.71,106.71,106.71,106.71,3,0
DS1029.PL,D,20190926,000000,107.1,107.1,107.1,107.1,10,0
DS1029.PL,D,20190927,000000,107.18,107.18,107.18,107.18,2,0
DS1029.PL,D,20190930,000000,106.30,106.30,106.30,106.30,140,0
DS1029.PL,D,20191002,000000,106.6,106.6,106.6,106.6,3,0
DS1029.PL,D,20191015,000000,107,107,107,107,10,0
DS1029.PL,D,20191018,000000,106.5,106.5,106.5,106.5,3600,0
DS1029.PL,D,20191024,000000,107.15,107.15,107.15,107.15,1000,0
DS1029.PL,D,20191025,000000,107.15,107.15,107.15,107.15,2177,0
DS1029.PL,D,20191028,000000,107.6,107.6,107.6,107.6,38,0
DS1029.PL,D,20191029,000000,107.6,107.6,107.6,107.6,6,0
DS1029.PL,D,20191030,000000,107.5,107.5,107.4,107.4,52,0
DS1029.PL,D,20191031,000000,107.40,107.40,107.40,107.40,27,0
DS1029.PL,D,20191104,000000,107.3,107.3,107.3,107.3,10,0
DS1029.PL,D,20191107,000000,107.78,107.78,106.5,106.5,57,0
DS1029.PL,D,20191108,000000,106.5,106.5,106,106,6,0
DS1029.PL,D,20191113,000000,106.5,106.5,106.5,106.5,2,0
DS1029.PL,D,20191114,000000,106,106,106,106,2,0
DS1029.PL,D,20191121,000000,106.4,106.4,106.4,106.4,69,0
DS1029.PL,D,20191122,000000,106,106,106,106,3,0
DS1029.PL,D,20191127,000000,106.5,106.8,106.5,106.8,4,0
DS1029.PL,D,20191129,000000,106.80,107.01,106.80,107.01,1280,0
DS1029.PL,D,20191202,000000,107.01,107.01,107.01,107.01,3,0
DS1029.PL,D,20191210,000000,107.5,107.5,107.5,107.5,2,0
DS1029.PL,D,20191211,000000,107.4,107.4,106.79,106.79,300,0
DS1029.PL,D,20191213,000000,107,107,107,107,5,0
DS1029.PL,D,20191217,000000,107.3,107.3,107.3,107.3,1,0
DS1029.PL,D,20191218,000000,106.45,106.51,106.33,106.33,310,0
DS1029.PL,D,20191219,000000,107,107,107,107,5,0
DS1029.PL,D,20191223,000000,106.5,106.5,106.5,106.5,11,0
DS1029.PL,D,20191227,000000,106.5,106.7,106.12,106.12,65,0
DS1029.PL,D,20191230,000000,106.7,106.7,106.7,106.7,7,0
DS1029.PL,D,20200102,000000,106.7,106.7,105.7,105.7,2,0
DS1029.PL,D,20200103,000000,106.16,106.16,106.16,106.16,2807,0
DS1029.PL,D,20200108,000000,106,106,105.48,105.48,12,0
DS1029.PL,D,20200109,000000,104.99,104.99,104.99,104.99,10,0
DS1029.PL,D,20200110,000000,105,105,104.15,104.16,638,0
DS1029.PL,D,20200113,000000,105,105,103.4,103.44,901,0
DS1029.PL,D,20200115,000000,104.7,104.7,104.7,104.7,5,0
DS1029.PL,D,20200117,000000,104.12,104.12,104.11,104.11,60,0
DS1029.PL,D,20200120,000000,103.52,103.52,103.52,103.52,4,0
DS1029.PL,D,20200123,000000,104.04,104.10,103.70,104.10,20,0
DS1029.PL,D,20200124,000000,103.88,103.88,103.88,103.88,9,0
DS1029.PL,D,20200127,000000,105.1,105.1,103.86,103.86,56,0
DS1029.PL,D,20200129,000000,105.50,105.50,105.50,105.50,5,0
DS1029.PL,D,20200130,000000,104.70,104.70,104.70,104.70,3,0
DS1029.PL,D,20200131,000000,105.70,105.70,105.70,105.70,13,0
DS1029.PL,D,20200204,000000,105.00,105.00,105.00,105.00,10,0
DS1029.PL,D,20200205,000000,104.69,104.69,104.69,104.69,16,0
DS1029.PL,D,20200212,000000,105.37,105.37,105.00,105.05,489,0
DS1029.PL,D,20200213,000000,104.80,104.80,104.69,104.69,2,0
DS1029.PL,D,20200214,000000,104.75,104.75,104.75,104.75,609,0
DS1029.PL,D,20200217,000000,105.5,105.5,105.5,105.5,5,0
DS1029.PL,D,20200218,000000,105.5,105.5,104.89,104.89,63,0
DS1029.PL,D,20200219,000000,104.69,106.00,104.69,106.00,99,0
DS1029.PL,D,20200224,000000,106,106,106,106,13,0
DS1029.PL,D,20200225,000000,107.20,107.20,107.20,107.20,10,0
DS1029.PL,D,20200227,000000,107.80,108.20,107.80,108.20,563,0
DS1029.PL,D,20200228,000000,108.20,108.70,108.20,108.70,196,0
DS1029.PL,D,20200302,000000,108.90,108.90,108.90,108.90,83,0
DS1029.PL,D,20200304,000000,109.00,109.00,108.90,108.90,5,0
DS1029.PL,D,20200306,000000,109.10,109.10,109.10,109.10,95,0
DS1029.PL,D,20200310,000000,110.30,110.30,110.30,110.30,20,0
DS1029.PL,D,20200317,000000,105.80,105.80,105.80,105.80,30,0
DS1029.PL,D,20200318,000000,105.00,105.00,105.00,105.00,14,0
DS1029.PL,D,20200319,000000,105.50,105.50,105.00,105.50,200,0
DS1029.PL,D,20200320,000000,104.20,105.99,103.48,105.99,176,0
DS1029.PL,D,20200323,000000,104.70,105.00,104.70,105.00,56,0
DS1029.PL,D,20200324,000000,106.50,106.70,106.00,106.70,366,0
DS1029.PL,D,20200326,000000,108.11,108.11,108.11,108.11,20,0
DS1029.PL,D,20200330,000000,108.50,108.50,107.88,107.88,2812,0
DS1029.PL,D,20200401,000000,109.00,109.00,109.00,109.00,2,0
DS1029.PL,D,20200403,000000,109.24,109.25,109.24,109.25,8,0
DS1029.PL,D,20200408,000000,110.25,110.25,110.25,110.25,624,0
DS1029.PL,D,20200409,000000,111.00,111.00,111.00,111.00,16,0
DS1029.PL,D,20200427,000000,112.30,112.30,112.30,112.30,2,0
DS1029.PL,D,20200428,000000,112.80,112.80,112.80,112.80,1,0
DS1029.PL,D,20200430,000000,112.72,112.72,112.72,112.72,1,0
DS1029.PL,D,20200511,000000,111.00,111.00,110.70,110.70,13,0
DS1029.PL,D,20200514,000000,112.72,113.50,112.72,113.50,9,0
DS1029.PL,D,20200518,000000,113.50,114.00,113.50,114.00,10,0
DS1029.PL,D,20200522,000000,113.00,113.00,113.00,113.00,1,0
DS1029.PL,D,20200528,000000,113.30,113.30,113.30,113.30,2,0
DS1029.PL,D,20200602,000000,113.25,113.25,113.25,113.25,5,0
DS1029.PL,D,20200617,000000,112.18,112.18,112.18,112.18,204,0
DS1029.PL,D,20200624,000000,112.20,112.20,112.20,112.20,5,0
DS1029.PL,D,20200630,000000,112.00,112.00,112.00,112.00,25,0
DS1029.PL,D,20200715,000000,111.90,113.30,111.90,113.30,54,0
DS1029.PL,D,20200720,000000,112.50,112.50,112.50,112.50,8,0
DS1029.PL,D,20200721,000000,113.50,113.50,112.93,112.93,912,0
DS1029.PL,D,20200729,000000,113.50,113.70,113.50,113.70,68,0
DS1029.PL,D,20200803,000000,113.50,114.20,113.50,114.20,19,0
DS1029.PL,D,20200810,000000,112.85,113.50,112.85,113.50,16,0
DS1029.PL,D,20200812,000000,112.50,113.95,112.45,113.95,46,0
DS1029.PL,D,20200818,000000,113.30,113.38,112.40,112.40,842,0
DS1029.PL,D,20200820,000000,112.4,112.75,112.4,112.75,45,0
DS1029.PL,D,20200825,000000,112.20,112.20,112.20,112.20,37,0
DS1029.PL,D,20200901,000000,111.60,111.60,111.60,111.60,5,0
DS1029.PL,D,20200902,000000,112.30,112.30,112.30,112.30,16,0
DS1029.PL,D,20200903,000000,112.55,112.55,112.55,112.55,11,0
DS1029.PL,D,20200907,000000,113.00,113.00,113.00,113.00,36,0
DS1029.PL,D,20200908,000000,111.30,111.30,111.30,111.30,35,0
DS1029.PL,D,20200909,000000,112.90,112.90,112.90,112.90,64,0
DS1029.PL,D,20201001,000000,112.80,112.80,112.80,112.80,4,0
DS1029.PL,D,20201002,000000,112.80,112.80,112.30,112.30,58,0
DS1029.PL,D,20201005,000000,112.70,112.70,112.70,112.70,159,0
DS1029.PL,D,20201008,000000,112.10,112.50,112.10,112.50,101,0
DS1029.PL,D,20201009,000000,113.00,113.00,113.00,113.00,27,0
DS1029.PL,D,20201015,000000,114.00,114.10,114.00,114.10,21,0
DS1029.PL,D,20201016,000000,114.10,114.10,114.10,114.10,3,0
DS1029.PL,D,20201022,000000,113.50,113.50,113.50,113.50,7,0
DS1029.PL,D,20201026,000000,113.70,113.70,113.70,113.70,2,0
DS1029.PL,D,20201028,000000,114.20,114.64,114.20,114.30,37,0
DS1029.PL,D,20201029,000000,113.90,114.48,113.90,114.48,35,0
DS1029.PL,D,20201102,000000,114.22,114.22,114.22,114.22,52,0
DS1029.PL,D,20201103,000000,113.50,114.28,113.50,114.28,121,0
DS1029.PL,D,20201104,000000,114.35,114.35,114.35,114.35,100,0
DS1029.PL,D,20201116,000000,114.40,114.40,114.40,114.40,51,0
DS1029.PL,D,20201119,000000,114.40,114.40,114.40,114.40,4,0
DS1029.PL,D,20201120,000000,114.20,114.20,114.20,114.20,6,0
DS1029.PL,D,20201125,000000,114.01,114.01,114.01,114.01,170,0
DS1029.PL,D,20201127,000000,114.01,114.01,114.01,114.01,1,0
DS1029.PL,D,20201130,000000,113.90,113.90,113.90,113.90,6,0
DS1029.PL,D,20201207,000000,113.01,113.01,113.01,113.01,86,0
DS1029.PL,D,20201208,000000,112.95,112.95,112.95,112.95,13,0
DS1029.PL,D,20201209,000000,112.95,112.95,112.95,112.95,13,0
DS1029.PL,D,20201211,000000,113.70,113.70,113.70,113.70,70,0
DS1029.PL,D,20201214,000000,112.91,112.91,112.91,112.91,12,0
DS1029.PL,D,20201215,000000,113.30,114.00,113.30,114.00,8,0
DS1029.PL,D,20201222,000000,113.61,113.61,113.61,113.61,87,0
DS1029.PL,D,20201223,000000,113.99,113.99,113.99,113.99,4,0
DS1029.PL,D,20201229,000000,114.00,114.00,114.00,114.00,5,0
DS1029.PL,D,20210104,000000,113.90,113.90,113.90,113.90,5,0
DS1029.PL,D,20210107,000000,113.30,113.30,113.30,113.30,30,0
DS1029.PL,D,20210113,000000,114.40,114.40,114.40,114.40,8,0
DS1029.PL,D,20210114,000000,114.40,114.40,114.20,114.20,6,0
DS1029.PL,D,20210115,000000,113.98,113.98,113.98,113.98,29,0
DS1029.PL,D,20210119,000000,113.80,113.80,113.80,113.80,2,0
DS1029.PL,D,20210120,000000,114.00,114.00,114.00,114.00,30,0
DS1029.PL,D,20210126,000000,114.60,114.60,114.60,114.60,8654,0
DS1029.PL,D,20210127,000000,114.75,114.85,114.00,114.00,6157,0
DS1029.PL,D,20210128,000000,115.00,115.00,115.00,115.00,5,0
DS1029.PL,D,20210129,000000,114.35,114.35,114.35,114.35,33,0
DS1029.PL,D,20210203,000000,113.55,113.55,113.55,113.55,16,0
DS1029.PL,D,20210204,000000,113.60,114.00,113.60,114.00,33,0
DS1029.PL,D,20210208,000000,114.30,114.30,114.30,114.30,1,0
DS1029.PL,D,20210210,000000,113.50,113.99,113.50,113.99,7,0
DS1029.PL,D,20210212,000000,113.50,113.50,112.80,112.80,29,0
DS1029.PL,D,20210215,000000,113.30,113.30,113.30,113.30,24,0
