<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH1123.PL,D,20181109,000000,100,100,99.99,100,224,0
ECH1123.PL,D,20181113,000000,100,100,100,100,40,0
ECH1123.PL,D,20181115,000000,100.15,100.2,100.15,100.2,290,0
ECH1123.PL,D,20181116,000000,100,100,100,100,200,0
ECH1123.PL,D,20181119,000000,100.15,100.15,100.15,100.15,42,0
ECH1123.PL,D,20181120,000000,100,100,100,100,50,0
ECH1123.PL,D,20181126,000000,99.99,100,99.99,100,70,0
ECH1123.PL,D,20181128,000000,99.95,99.95,99.95,99.95,93,0
ECH1123.PL,D,20181129,000000,99.95,99.95,99.95,99.95,28,0
ECH1123.PL,D,20181130,000000,99.9,99.9,99.9,99.9,67,0
ECH1123.PL,D,20181204,000000,99.9,99.9,99.9,99.9,305,0
ECH1123.PL,D,20181210,000000,99.95,99.99,99.95,99.99,282,0
ECH1123.PL,D,20181219,000000,99.99,99.99,99,99,317,0
ECH1123.PL,D,20181227,000000,99.8,99.8,99.8,99.8,100,0
ECH1123.PL,D,20181228,000000,99.75,99.8,99.75,99.8,300,0
ECH1123.PL,D,20190104,000000,99.8,99.8,99.8,99.8,50,0
ECH1123.PL,D,20190109,000000,99.5,99.5,99.5,99.5,11,0
ECH1123.PL,D,20190110,000000,99.5,99.5,99.5,99.5,39,0
ECH1123.PL,D,20190116,000000,99.8,99.8,99.8,99.8,20,0
ECH1123.PL,D,20190118,000000,99.2,99.2,99.2,99.2,60,0
ECH1123.PL,D,20190121,000000,99.8,99.8,99.8,99.8,78,0
ECH1123.PL,D,20190122,000000,99.4,99.8,99.4,99.8,77,0
ECH1123.PL,D,20190201,000000,99.88,99.88,99.88,99.88,10,0
ECH1123.PL,D,20190204,000000,99.88,99.88,99.88,99.88,104,0
ECH1123.PL,D,20190215,000000,99.79,99.79,99.79,99.79,195,0
ECH1123.PL,D,20190218,000000,99.9,99.9,99.9,99.9,30,0
ECH1123.PL,D,20190220,000000,99.99,99.99,99.99,99.99,110,0
ECH1123.PL,D,20190226,000000,99.11,99.11,99.11,99.11,108,0
ECH1123.PL,D,20190227,000000,99.18,99.18,99,99,440,0
ECH1123.PL,D,20190228,000000,99.5,99.5,99.5,99.5,100,0
ECH1123.PL,D,20190304,000000,99.5,99.5,99.5,99.5,95,0
