<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KRU0325.PL,D,20190528,000000,100.5,100.5,100.5,100.5,10,0
KRU0325.PL,D,20190530,000000,101,101,101,101,10,0
KRU0325.PL,D,20190611,000000,101.5,101.5,101.5,101.5,260,0
KRU0325.PL,D,20190612,000000,101.6,101.6,101.6,101.6,12,0
KRU0325.PL,D,20190625,000000,101.45,101.45,101.45,101.45,5,0
KRU0325.PL,D,20190626,000000,101.8,101.8,101.8,101.8,9,0
KRU0325.PL,D,20190627,000000,101.8,102,101.8,102,16,0
KRU0325.PL,D,20190703,000000,102.4,102.4,102.4,102.4,10,0
KRU0325.PL,D,20190705,000000,102,102,102,102,2,0
KRU0325.PL,D,20190716,000000,102.1,102.1,101,101,30,0
KRU0325.PL,D,20190729,000000,103,103,103,103,4,0
KRU0325.PL,D,20190730,000000,103.5,103.5,103.5,103.5,1,0
KRU0325.PL,D,20190813,000000,103.5,103.5,101.5,102,30,0
KRU0325.PL,D,20190821,000000,102.99,102.99,102.99,102.99,2,0
KRU0325.PL,D,20190827,000000,101.6,101.7,101.5,101.7,55,0
KRU0325.PL,D,20190828,000000,101.7,101.7,101.7,101.7,10,0
KRU0325.PL,D,20190830,000000,101.7,101.7,101.7,101.7,11,0
KRU0325.PL,D,20190903,000000,101.51,101.51,101.4,101.4,50,0
KRU0325.PL,D,20190904,000000,101.4,101.4,101.4,101.4,190,0
KRU0325.PL,D,20190905,000000,101.5,101.5,101.5,101.5,100,0
KRU0325.PL,D,20190916,000000,101.1,101.1,101,101.1,422,0
KRU0325.PL,D,20190917,000000,101.2,101.2,101.2,101.2,28,0
KRU0325.PL,D,20190918,000000,101.3,101.3,101.3,101.3,24,0
KRU0325.PL,D,20190919,000000,101.3,101.3,101.3,101.3,150,0
KRU0325.PL,D,20190920,000000,101.3,101.3,101.1,101.3,57,0
KRU0325.PL,D,20190923,000000,101.3,101.3,101.2,101.2,675,0
KRU0325.PL,D,20190924,000000,101.35,101.35,101.35,101.35,723,0
KRU0325.PL,D,20190925,000000,101.3,101.3,101.3,101.3,7,0
KRU0325.PL,D,20190926,000000,101.4,101.45,101.4,101.45,47,0
KRU0325.PL,D,20191002,000000,101.45,101.45,101.45,101.45,6,0
KRU0325.PL,D,20191007,000000,101.35,101.35,101.35,101.35,8,0
KRU0325.PL,D,20191008,000000,101.33,101.33,101.33,101.33,20,0
KRU0325.PL,D,20191016,000000,101.2,101.2,101.2,101.2,29,0
KRU0325.PL,D,20191017,000000,101.2,101.2,101.2,101.2,3,0
KRU0325.PL,D,20191018,000000,101.2,101.2,101.2,101.2,69,0
KRU0325.PL,D,20191021,000000,101.2,101.2,101.2,101.2,41,0
KRU0325.PL,D,20191022,000000,101.2,101.2,101.2,101.2,65,0
KRU0325.PL,D,20191023,000000,101.1,101.1,101.1,101.1,101,0
KRU0325.PL,D,20191024,000000,101.1,101.1,101.1,101.1,5,0
KRU0325.PL,D,20191025,000000,101.04,101.05,101.04,101.05,7,0
KRU0325.PL,D,20191028,000000,101.05,101.05,101,101,39,0
KRU0325.PL,D,20191029,000000,101,101,101,101,18,0
KRU0325.PL,D,20191030,000000,101.09,101.1,101.09,101.1,7,0
KRU0325.PL,D,20191031,000000,101,101,101,101,22,0
KRU0325.PL,D,20191105,000000,101.1,101.1,101.1,101.1,74,0
KRU0325.PL,D,20191106,000000,101.1,101.1,101.1,101.1,29,0
KRU0325.PL,D,20191108,000000,101.1,101.1,101.06,101.06,22,0
KRU0325.PL,D,20191112,000000,101.01,101.01,101.01,101.01,1,0
KRU0325.PL,D,20191113,000000,101.19,101.19,101.19,101.19,10,0
KRU0325.PL,D,20191115,000000,101.2,101.2,101.2,101.2,6,0
KRU0325.PL,D,20191120,000000,101.1,101.1,101.1,101.1,20,0
KRU0325.PL,D,20191121,000000,101.2,101.45,101.2,101.45,45,0
KRU0325.PL,D,20191122,000000,101.13,101.25,101.13,101.25,10,0
KRU0325.PL,D,20191128,000000,101.48,101.48,101.48,101.48,3,0
KRU0325.PL,D,20191129,000000,101.49,101.49,101.49,101.49,5,0
KRU0325.PL,D,20191203,000000,101.5,101.5,100.9,100.9,72,0
KRU0325.PL,D,20191209,000000,101.42,101.42,101.42,101.42,5,0
KRU0325.PL,D,20191210,000000,101.42,101.42,101.39,101.39,20,0
KRU0325.PL,D,20191211,000000,101.42,101.42,101.39,101.39,20,0
KRU0325.PL,D,20191213,000000,101.4,101.4,101.4,101.4,10,0
