<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGBP,D,20161122,000000,5.178,5.178,5.178,5.178,300,3
FGBP,D,20161123,000000,5.15,5.2075,5.15,5.2075,2500,10
FGBP,D,20161124,000000,5.2,5.2376,5.2,5.22,2200,25
FGBP,D,20161125,000000,5.1896,5.1896,5.17,5.17,500,26
FGBP,D,20161128,000000,5.169,5.192,5.1588,5.192,2700,29
FGBP,D,20161129,000000,5.192,5.2308,5.192,5.22,8000,105
FGBP,D,20161130,000000,5.2092,5.225,5.1875,5.225,2800,96
FGBP,D,20161201,000000,5.266,5.3332,5.266,5.3302,22400,132
FGBP,D,20161205,000000,5.3302,5.3302,5.3302,5.3302,500,132
FGBP,D,20161206,000000,5.328,5.3332,5.2893,5.2999,2700,127
FGBP,D,20161207,000000,5.27,5.27,5.195,5.195,2700,119
FGBP,D,20161208,000000,5.2442,5.28,5.2442,5.28,1100,113
FGBP,D,20161209,000000,5.26,5.3075,5.26,5.3047,700,119
FGBP,D,20161212,000000,5.3187,5.3224,5.3187,5.3204,1700,133
FGBP,D,20161213,000000,5.33,5.33,5.33,5.33,800,133
FGBP,D,20161214,000000,5.3022,5.3022,5.2865,5.2865,400,134
FGBP,D,20161215,000000,5.3114,5.3114,5.3114,5.3114,12600,215
FGBP,D,20161216,000000,5.3066,5.3066,5.2754,5.2754,10300,317
FGBP,D,20161219,000000,5.293,5.293,5.2789,5.2789,150800,1712
FGBP,D,20161220,000000,5.2636,5.2636,5.2636,5.2636,100,1712
FGBP,D,20161222,000000,5.2182,5.2182,5.21,5.21,50300,1715
FGBP,D,20161223,000000,5.21,5.21,5.1828,5.1828,11300,1821
FGBP,D,20161227,000000,5.1786,5.1897,5.178,5.178,1100,1820
FGBP,D,20161228,000000,5.197,5.197,5.197,5.197,50100,1821
FGBP,D,20161229,000000,5.1621,5.1621,5.1621,5.1621,300,1823
FGBP,D,20161230,000000,5.165,5.18,5.165,5.18,300,1820
FGBP,D,20170102,000000,5.1979,5.2223,5.1953,5.1953,6300,1870
FGBP,D,20170103,000000,5.1932,5.1932,5.1856,5.1856,200,1871
FGBP,D,20170104,000000,5.1731,5.1736,5.1398,5.1398,1300,1874
FGBP,D,20170105,000000,5.1225,5.1444,5.1182,5.125,1500,1875
FGBP,D,20170109,000000,5.0625,5.0808,5.058,5.0704,2600,1888
FGBP,D,20170110,000000,5.038,5.04,5.01,5.04,19700,2003
FGBP,D,20170111,000000,5.056,5.0694,5.035,5.05,3700,2016
FGBP,D,20170112,000000,5.0529,5.06,5.0334,5.0334,4500,2025
FGBP,D,20170113,000000,5.03,5.0386,5.0001,5.0386,5100,2049
FGBP,D,20170116,000000,4.9774,5,4.975,4.9844,2100,2056
FGBP,D,20170117,000000,4.9889,5.065,4.98,5.0602,14700,2058
FGBP,D,20170118,000000,5.0601,5.0601,5.0351,5.0416,6700,2032
FGBP,D,20170119,000000,5.045,5.0865,5.045,5.086,8000,2067
FGBP,D,20170120,000000,5.0642,5.067,5.05,5.0605,5000,2091
FGBP,D,20170123,000000,5.0651,5.0949,5.0651,5.083,10300,2122
FGBP,D,20170124,000000,5.0932,5.1034,5.0694,5.08,2700,2121
FGBP,D,20170125,000000,5.09,5.1219,5.09,5.1193,8900,2132
FGBP,D,20170126,000000,5.1157,5.1396,5.1015,5.1297,5300,2144
FGBP,D,20170127,000000,5.121,5.121,5.0917,5.1,55700,2156
FGBP,D,20170130,000000,5.08,5.1026,5.0764,5.0948,152100,2150
FGBP,D,20170131,000000,5.0631,5.0631,5.0294,5.037,6200,2155
FGBP,D,20170201,000000,5.0472,5.0922,5.0472,5.0816,5800,2122
FGBP,D,20170202,000000,5.065,5.065,5.007,5.01,5700,2135
FGBP,D,20170203,000000,5.026,5.0305,4.9831,4.995,37500,2384
FGBP,D,20170206,000000,4.9882,4.9882,4.9701,4.9801,3000,2386
FGBP,D,20170207,000000,4.9676,5.0012,4.9643,5.0012,3500,2362
FGBP,D,20170208,000000,5.0407,5.0698,5.0401,5.0604,7800,2329
FGBP,D,20170209,000000,5.0704,5.0849,5.0682,5.0848,10000,2331
FGBP,D,20170210,000000,5.0848,5.0848,5.0377,5.0605,7200,2346
FGBP,D,20170213,000000,5.0684,5.0936,5.0684,5.0936,2300,2327
FGBP,D,20170214,000000,5.1046,5.1046,5.0496,5.0974,4700,2320
FGBP,D,20170215,000000,5.07,5.099,5.062,5.099,50300,2322
FGBP,D,20170216,000000,5.0873,5.0873,5.0584,5.0696,900,2324
FGBP,D,20170217,000000,5.0623,5.07,5.0486,5.07,2100,2321
FGBP,D,20170220,000000,5.08,5.0823,5.0725,5.0823,11200,2073
FGBP,D,20170221,000000,5.0806,5.0924,5.0805,5.0924,800,2066
FGBP,D,20170222,000000,5.105,5.1077,5.0947,5.0981,3800,2056
FGBP,D,20170223,000000,5.0935,5.1011,5.0823,5.1011,1200,2058
FGBP,D,20170224,000000,5.098,5.1055,5.098,5.1055,200,2058
FGBP,D,20170227,000000,5.076,5.076,5.0555,5.0635,2600,2064
FGBP,D,20170228,000000,5.0691,5.0691,5.0552,5.0552,700,2061
FGBP,D,20170301,000000,5.0487,5.049,5.0151,5.0151,6700,2066
FGBP,D,20170302,000000,4.9953,5.0241,4.9953,5.0241,2500,2058
FGBP,D,20170303,000000,5.0194,5.0194,4.9752,4.9945,5500,2074
FGBP,D,20170306,000000,4.9857,4.9968,4.9763,4.9968,2700,2081
FGBP,D,20170307,000000,4.973,4.9771,4.9631,4.965,16800,2132
FGBP,D,20170308,000000,4.9723,4.975,4.9647,4.965,15500,2134
FGBP,D,20170309,000000,4.971,4.981,4.9593,4.9593,10000,2120
FGBP,D,20170310,000000,4.96,4.9637,4.9471,4.954,5300,2164
FGBP,D,20170313,000000,4.965,4.977,4.96,4.9768,12900,2118
FGBP,D,20170314,000000,4.952,4.952,4.9338,4.9378,25700,2310
FGBP,D,20170315,000000,4.951,4.9686,4.951,4.959,19200,2263
FGBP,D,20170316,000000,4.9296,4.9549,4.925,4.9466,13400,2245
FGBP,D,20170317,000000,4.968,4.968,4.9564,4.9571,4000,2273
FGBP,D,20170320,000000,4.9586,4.9645,4.937,4.937,65300,2064
FGBP,D,20170321,000000,4.9255,4.955,4.9177,4.955,2800,2072
FGBP,D,20170322,000000,4.97,4.97,4.9456,4.9456,24300,2284
FGBP,D,20170323,000000,4.9685,4.976,4.962,4.9628,2200,2293
FGBP,D,20170324,000000,4.961,4.961,4.94,4.94,1100,2301
FGBP,D,20170327,000000,4.942,4.9487,4.9348,4.9348,1600,2311
FGBP,D,20170328,000000,4.93,4.9386,4.892,4.892,3300,2303
FGBP,D,20170329,000000,4.8984,4.9181,4.8891,4.9041,58100,2354
FGBP,D,20170330,000000,4.8951,4.925,4.8932,4.925,4700,2375
FGBP,D,20170331,000000,4.925,4.966,4.925,4.9625,2500,2367
FGBP,D,20170403,000000,4.993,4.993,4.9655,4.9865,2000,2367
FGBP,D,20170404,000000,4.9756,4.9884,4.9756,4.9851,4200,2338
FGBP,D,20170405,000000,4.9585,4.9585,4.9585,4.9585,100,2338
FGBP,D,20170406,000000,4.9735,4.9735,4.947,4.947,900,2344
FGBP,D,20170407,000000,4.9537,4.9537,4.9407,4.9407,16200,2504
FGBP,D,20170410,000000,4.954,4.9639,4.954,4.961,1700,2494
FGBP,D,20170411,000000,4.9845,4.985,4.98,4.9848,3300,2466
FGBP,D,20170412,000000,5.005,5.0133,5.0046,5.0133,26400,2449
FGBP,D,20170413,000000,5.0097,5.0133,5.0097,5.011,1600,2455
FGBP,D,20170418,000000,5.0245,5.0583,5.0036,5.0518,2900,2442
FGBP,D,20170419,000000,5.08,5.0948,5.0776,5.0948,58700,2166
FGBP,D,20170420,000000,5.0916,5.0927,5.0871,5.0927,1100,2163
FGBP,D,20170421,000000,5.1226,5.125,5.1074,5.1198,2300,2163
FGBP,D,20170424,000000,5.0445,5.0445,4.988,5.0027,20000,1836
FGBP,D,20170425,000000,5.0048,5.0048,4.9689,4.977,18000,1983
FGBP,D,20170426,000000,4.9718,4.993,4.9718,4.993,3200,1985
FGBP,D,20170427,000000,4.9962,5.0239,4.9946,5.018,35200,1855
FGBP,D,20170428,000000,5.012,5.0191,5.004,5.01,22100,1855
FGBP,D,20170502,000000,4.9989,4.9989,4.9846,4.9975,2500,1853
FGBP,D,20170504,000000,4.97,4.9928,4.968,4.9889,2700,1863
FGBP,D,20170505,000000,4.9942,4.9989,4.9714,4.9888,4700,1883
FGBP,D,20170508,000000,4.9633,4.9911,4.9524,4.9911,6300,1878
FGBP,D,20170509,000000,5.0222,5.03,5.0169,5.03,4000,1873
FGBP,D,20170510,000000,5.0439,5.045,5.0239,5.0319,8900,1897
FGBP,D,20170511,000000,5.017,5.0199,5.0059,5.01,107100,2355
FGBP,D,20170512,000000,5.0029,5.0029,4.98,4.9917,8600,2389
FGBP,D,20170515,000000,4.9855,4.9855,4.9396,4.9434,7800,2419
FGBP,D,20170516,000000,4.9315,4.9315,4.889,4.891,24000,2560
FGBP,D,20170517,000000,4.8686,4.897,4.8679,4.8835,5000,2557
FGBP,D,20170518,000000,4.893,4.9599,4.8927,4.931,24700,2390
FGBP,D,20170519,000000,4.9207,4.9207,4.8892,4.896,70700,1950
FGBP,D,20170522,000000,4.8833,4.8833,4.8481,4.865,21500,1819
FGBP,D,20170523,000000,4.8658,4.87,4.8436,4.87,4100,1830
FGBP,D,20170524,000000,4.8749,4.8797,4.8397,4.8491,11800,1829
FGBP,D,20170525,000000,4.8394,4.8394,4.8146,4.8146,12600,1945
