<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBAS,D,20191001,000000,7842,7842,7751,7751,3,2
FBAS,D,20191003,000000,7440,7528,7440,7474,20,13
FBAS,D,20191007,000000,7600,7600,7600,7600,1,13
FBAS,D,20191011,000000,7600,7980,7600,7980,10,19
FBAS,D,20191015,000000,7908,7984,7896,7984,8,27
FBAS,D,20191016,000000,7945,7945,7945,7945,5,22
FBAS,D,20191017,000000,7931,7931,7931,7931,1,21
FBAS,D,20191018,000000,7832,7832,7797,7797,2,20
FBAS,D,20191021,000000,7936,7936,7936,7936,1,20
FBAS,D,20191024,000000,8018,8018,8018,8018,1,20
FBAS,D,20191029,000000,8139,8139,8139,8139,1,20
FBAS,D,20191106,000000,8551,8551,8551,8551,1,19
FBAS,D,20191107,000000,8808,8820,8808,8820,3,16
FBAS,D,20191112,000000,9110,9228,9093,9228,3,15
FBAS,D,20191113,000000,8996,8996,8850,8890,8,17
FBAS,D,20191114,000000,8894,8963,8894,8921,7,21
FBAS,D,20191118,000000,8829,8829,8829,8829,1,20
FBAS,D,20191120,000000,8581,8581,8523,8537,5,25
FBAS,D,20191122,000000,8566,8625,8558,8558,5,30
FBAS,D,20191125,000000,8648,8709,8648,8709,2,28
FBAS,D,20191126,000000,8735,8749,8735,8742,3,31
FBAS,D,20191127,000000,8792,8792,8792,8792,1,32
FBAS,D,20191128,000000,8625,8625,8625,8625,1,33
FBAS,D,20191204,000000,8444,8444,8338,8338,3,33
FBAS,D,20191210,000000,8581,8581,8581,8581,1,42
FBAS,D,20191216,000000,8621,8654,8621,8654,2,45
FBAS,D,20191217,000000,8681,8681,8681,8681,16,44
FBAS,D,20191223,000000,8532,8532,8532,8532,7,26
FBAS,D,20191227,000000,8650,8650,8650,8650,1,27
FBAS,D,20200102,000000,8796,8871,8796,8860,4,31
FBAS,D,20200103,000000,8772,8772,8772,8772,1,32
FBAS,D,20200108,000000,8643,8643,8643,8643,5,32
FBAS,D,20200204,000000,8015.00,8015.00,7921.00,7921.00,13,33
FBAS,D,20200205,000000,7967.00,8063.00,7967.00,8009.00,6,29
FBAS,D,20200212,000000,7918.00,7918.00,7918.00,7918.00,1,49
FBAS,D,20200310,000000,5461.00,5461.00,5461.00,5461.00,1,70
FBAS,D,20200311,000000,4928.00,4928.00,4928.00,4928.00,1,71
FBAS,D,20200318,000000,4874.00,4874.00,4841.00,4841.00,2,69
FBAS,D,20200508,000000,5700.00,5735.00,5700.00,5735.00,2,110
FBAS,D,20200511,000000,5765.00,5765.00,5765.00,5765.00,1,111
FBAS,D,20200519,000000,6156.00,6170.00,6156.00,6170.00,2,111
FBAS,D,20200520,000000,6138.00,6138.00,6138.00,6138.00,1,111
FBAS,D,20200526,000000,6219.00,6219.00,6219.00,6219.00,1,111
FBAS,D,20200529,000000,6483.00,6530.00,6478.00,6530.00,3,111
FBAS,D,20200602,000000,7083.00,7083.00,7083.00,7083.00,1,111
FBAS,D,20200603,000000,7256.00,7256.00,7256.00,7256.00,1,111
FBAS,D,20200605,000000,7790.00,7790.00,7790.00,7790.00,1,112
FBAS,D,20200608,000000,7774.00,7774.00,7720.00,7720.00,2,112
FBAS,D,20200609,000000,7715.00,7715.00,7715.00,7715.00,1,111
FBAS,D,20200612,000000,8978.00,8978.00,8978.00,8978.00,1,111
FBAS,D,20200615,000000,8420.00,8420.00,8420.00,8420.00,4,111
FBAS,D,20200616,000000,8514.00,8565.00,8501.00,8565.00,8,113
FBAS,D,20200623,000000,9366.00,9366.00,9366.00,9366.00,1,151
FBAS,D,20200629,000000,8447.00,8447.00,8447.00,8447.00,2,150
FBAS,D,20200630,000000,8475.00,8629.00,8475.00,8600.00,8,158
FBAS,D,20200701,000000,8495.00,8495.00,8495.00,8495.00,5,158
FBAS,D,20200703,000000,8925.00,8925.00,8783.00,8783.00,10,166
FBAS,D,20200707,000000,8846.00,8866.00,8839.00,8854.00,16,176
FBAS,D,20200708,000000,8874.00,8941.00,8859.00,8941.00,15,187
FBAS,D,20200709,000000,9045.00,9111.00,9030.00,9090.00,8,193
FBAS,D,20200710,000000,8888.00,9074.00,8888.00,9074.00,9,195
FBAS,D,20200713,000000,9354.00,9361.00,9272.00,9272.00,73,260
FBAS,D,20200715,000000,9044.00,9120.00,9013.00,9013.00,20,274
FBAS,D,20200716,000000,8983.00,9050.00,8980.00,9050.00,10,274
FBAS,D,20200717,000000,9015.00,9019.00,9015.00,9019.00,2,274
FBAS,D,20200720,000000,9060.00,9768.00,9060.00,9768.00,6,274
FBAS,D,20200722,000000,9950.00,9991.00,9943.00,9943.00,4,278
FBAS,D,20200723,000000,10060.00,10069.00,10060.00,10069.00,2,278
FBAS,D,20200724,000000,9796.00,9986.00,9788.00,9964.00,15,288
FBAS,D,20200727,000000,10061.00,10396.00,10041.00,10396.00,54,307
FBAS,D,20200728,000000,10730.00,10730.00,10255.00,10255.00,26,292
FBAS,D,20200729,000000,10130.00,10130.00,10055.00,10055.00,4,292
FBAS,D,20200730,000000,9422.00,9422.00,9422.00,9422.00,3,291
FBAS,D,20200731,000000,9670.00,9670.00,9604.00,9616.00,3,290
FBAS,D,20200803,000000,9610.00,9851.00,9555.00,9785.00,13,291
FBAS,D,20200804,000000,9765.00,9802.00,9746.00,9746.00,8,291
FBAS,D,20200805,000000,9839.00,9900.00,9839.00,9900.00,4,290
FBAS,D,20200806,000000,9915.00,9915.00,9835.00,9912.00,25,279
FBAS,D,20200807,000000,9584.00,9584.00,9581.00,9581.00,5,280
FBAS,D,20200810,000000,9642.00,9728.00,9642.00,9728.00,3,279
FBAS,D,20200811,000000,9890.00,9890.00,9810.00,9810.00,3,279
FBAS,D,20200812,000000,9670.00,9690.00,9590.00,9663.00,6,279
FBAS,D,20200813,000000,9902.00,9902.00,9902.00,9902.00,4,279
FBAS,D,20200814,000000,9635.00,9650.00,9610.00,9650.00,7,278
FBAS,D,20200818,000000,9887.00,9924.00,9743.00,9750.00,11,279
FBAS,D,20200819,000000,9890.00,9890.00,9795.00,9795.00,2,277
FBAS,D,20200820,000000,9569,9572,9540,9572,6,275
FBAS,D,20200824,000000,9855.00,9855.00,9855.00,9855.00,2,275
FBAS,D,20200825,000000,9784.00,9784.00,9784.00,9784.00,2,274
FBAS,D,20200901,000000,9505.00,9505.00,9505.00,9505.00,16,264
FBAS,D,20200903,000000,9148.00,9148.00,9001.00,9001.00,10,264
FBAS,D,20200904,000000,8911.00,9000.00,8911.00,8925.00,7,264
