<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1272.N,D,20160107,000000,841.25,841.25,841.25,841.25,0,0
1272.N,D,20160108,000000,845,845,845,845,0,0
1272.N,D,20160111,000000,835.19,835.19,835.19,835.19,0,0
1272.N,D,20160112,000000,834.86,834.86,834.86,834.86,0,0
1272.N,D,20160113,000000,844.36,844.36,844.36,844.36,0,0
1272.N,D,20160114,000000,833.51,833.51,833.51,833.51,0,0
1272.N,D,20160115,000000,826.4,826.4,826.4,826.4,0,0
1272.N,D,20160118,000000,823.26,823.26,823.26,823.26,0,0
1272.N,D,20160119,000000,835.87,835.87,835.87,835.87,0,0
1272.N,D,20160120,000000,816.44,816.44,816.44,816.44,0,0
1272.N,D,20160121,000000,809.43,809.43,809.43,809.43,0,0
1272.N,D,20160122,000000,827.04,827.04,827.04,827.04,0,0
1272.N,D,20160125,000000,834.19,834.19,834.19,834.19,0,0
1272.N,D,20160126,000000,822.78,822.78,822.78,822.78,0,0
1272.N,D,20160127,000000,828.78,828.78,828.78,828.78,0,0
1272.N,D,20160128,000000,832.86,832.86,832.86,832.86,0,0
1272.N,D,20160129,000000,846.12,846.12,846.12,846.12,0,0
1272.N,D,20160201,000000,847.43,847.43,847.43,847.43,0,0
1272.N,D,20160202,000000,841.81,841.81,841.81,841.81,0,0
1272.N,D,20160203,000000,829.76,829.76,829.76,829.76,0,0
1272.N,D,20160204,000000,836.06,836.06,836.06,836.06,0,0
1272.N,D,20160205,000000,836.16,836.16,836.16,836.16,0,0
1272.N,D,20160211,000000,804.12,804.12,804.12,804.12,0,0
1272.N,D,20160212,000000,805.29,805.29,805.29,805.29,0,0
1272.N,D,20160215,000000,818.44,818.44,818.44,818.44,0,0
1272.N,D,20160216,000000,829.12,829.12,829.12,829.12,0,0
1272.N,D,20160217,000000,829.23,829.23,829.23,829.23,0,0
1272.N,D,20160218,000000,838.99,838.99,838.99,838.99,0,0
1272.N,D,20160219,000000,838.7,838.7,838.7,838.7,0,0
1272.N,D,20160222,000000,844.25,844.25,844.25,844.25,0,0
1272.N,D,20160223,000000,845.44,845.44,845.44,845.44,0,0
1272.N,D,20160224,000000,834.66,834.66,834.66,834.66,0,0
1272.N,D,20160225,000000,830.02,830.02,830.02,830.02,0,0
1272.N,D,20160226,000000,842.31,842.31,842.31,842.31,0,0
1272.N,D,20160229,000000,833.68,833.68,833.68,833.68,0,0
1272.N,D,20160301,000000,843.53,843.53,843.53,843.53,0,0
1272.N,D,20160302,000000,859.74,859.74,859.74,859.74,0,0
1272.N,D,20160303,000000,865.97,865.97,865.97,865.97,0,0
1272.N,D,20160304,000000,867.26,867.26,867.26,867.26,0,0
1272.N,D,20160307,000000,869.05,869.05,869.05,869.05,0,0
1272.N,D,20160308,000000,860.88,860.88,860.88,860.88,0,0
1272.N,D,20160309,000000,865.09,865.09,865.09,865.09,0,0
1272.N,D,20160310,000000,865.1,865.1,865.1,865.1,0,0
1272.N,D,20160311,000000,869.84,869.84,869.84,869.84,0,0
1272.N,D,20160314,000000,877.18,877.18,877.18,877.18,0,0
1272.N,D,20160315,000000,869.8,869.8,869.8,869.8,0,0
1272.N,D,20160316,000000,871.67,871.67,871.67,871.67,0,0
1272.N,D,20160317,000000,878.02,878.02,878.02,878.02,0,0
1272.N,D,20160318,000000,884.15,884.15,884.15,884.15,0,0
1272.N,D,20160321,000000,884.71,884.71,884.71,884.71,0,0
1272.N,D,20160322,000000,884.12,884.12,884.12,884.12,0,0
1272.N,D,20160323,000000,881.56,881.56,881.56,881.56,0,0
1272.N,D,20160324,000000,876.27,876.27,876.27,876.27,0,0
1272.N,D,20160329,000000,872.67,872.67,872.67,872.67,0,0
1272.N,D,20160330,000000,879.95,879.95,879.95,879.95,0,0
1272.N,D,20160331,000000,885.23,885.23,885.23,885.23,0,0
1272.N,D,20160401,000000,873.44,873.44,873.44,873.44,0,0
1272.N,D,20160405,000000,866.42,866.42,866.42,866.42,0,0
1272.N,D,20160406,000000,867.08,867.08,867.08,867.08,0,0
1272.N,D,20160407,000000,867.51,867.51,867.51,867.51,0,0
1272.N,D,20160408,000000,867.68,867.68,867.68,867.68,0,0
1272.N,D,20160411,000000,871.34,871.34,871.34,871.34,0,0
1272.N,D,20160412,000000,870.81,870.81,870.81,870.81,0,0
1272.N,D,20160413,000000,881.54,881.54,881.54,881.54,0,0
1272.N,D,20160414,000000,887.56,887.56,887.56,887.56,0,0
1272.N,D,20160415,000000,888.67,888.67,888.67,888.67,0,0
1272.N,D,20160418,000000,884.76,884.76,884.76,884.76,0,0
1272.N,D,20160419,000000,889.79,889.79,889.79,889.79,0,0
1272.N,D,20160420,000000,883.96,883.96,883.96,883.96,0,0
1272.N,D,20160421,000000,892.25,892.25,892.25,892.25,0,0
1272.N,D,20160422,000000,890.21,890.21,890.21,890.21,0,0
1272.N,D,20160425,000000,887.62,887.62,887.62,887.62,0,0
1272.N,D,20160426,000000,886.71,886.71,886.71,886.71,0,0
1272.N,D,20160427,000000,883.99,883.99,883.99,883.99,0,0
1272.N,D,20160428,000000,882.29,882.29,882.29,882.29,0,0
1272.N,D,20160429,000000,881.17,881.17,881.17,881.17,0,0
1272.N,D,20160503,000000,879.26,879.26,879.26,879.26,0,0
1272.N,D,20160504,000000,877.46,877.46,877.46,877.46,0,0
1272.N,D,20160506,000000,872.26,872.26,872.26,872.26,0,0
1272.N,D,20160509,000000,878.39,878.39,878.39,878.39,0,0
1272.N,D,20160510,000000,881.39,881.39,881.39,881.39,0,0
1272.N,D,20160511,000000,880.02,880.02,880.02,880.02,0,0
1272.N,D,20160512,000000,877.15,877.15,877.15,877.15,0,0
1272.N,D,20160513,000000,871.39,871.39,871.39,871.39,0,0
1272.N,D,20160517,000000,880.59,880.59,880.59,880.59,0,0
1272.N,D,20160518,000000,874.18,874.18,874.18,874.18,0,0
1272.N,D,20160519,000000,869.68,869.68,869.68,869.68,0,0
1272.N,D,20160520,000000,873.88,873.88,873.88,873.88,0,0
1272.N,D,20160523,000000,871.63,871.63,871.63,871.63,0,0
1272.N,D,20160524,000000,870.48,870.48,870.48,870.48,0,0
1272.N,D,20160525,000000,883.2,883.2,883.2,883.2,0,0
1272.N,D,20160526,000000,881.25,881.25,881.25,881.25,0,0
1272.N,D,20160527,000000,886.93,886.93,886.93,886.93,0,0
1272.N,D,20160530,000000,890.59,890.59,890.59,890.59,0,0
1272.N,D,20160531,000000,893.63,893.63,893.63,893.63,0,0
1272.N,D,20160601,000000,892.44,892.44,892.44,892.44,0,0
1272.N,D,20160602,000000,889.68,889.68,889.68,889.68,0,0
1272.N,D,20160603,000000,894.52,894.52,894.52,894.52,0,0
1272.N,D,20160606,000000,897.61,897.61,897.61,897.61,0,0
1272.N,D,20160607,000000,903.3,903.3,903.3,903.3,0,0
1272.N,D,20160608,000000,903.88,903.88,903.88,903.88,0,0
1272.N,D,20160610,000000,893.53,893.53,893.53,893.53,0,0
1272.N,D,20160613,000000,882.49,882.49,882.49,882.49,0,0
1272.N,D,20160614,000000,877.67,877.67,877.67,877.67,0,0
1272.N,D,20160615,000000,875.26,875.26,875.26,875.26,0,0
1272.N,D,20160616,000000,867.26,867.26,867.26,867.26,0,0
1272.N,D,20160617,000000,870.94,870.94,870.94,870.94,0,0
1272.N,D,20160620,000000,881.59,881.59,881.59,881.59,0,0
1272.N,D,20160621,000000,883.44,883.44,883.44,883.44,0,0
1272.N,D,20160622,000000,885.11,885.11,885.11,885.11,0,0
1272.N,D,20160624,000000,866.31,866.31,866.31,866.31,0,0
1272.N,D,20160627,000000,865.07,865.07,865.07,865.07,0,0
1272.N,D,20160628,000000,861.55,861.55,861.55,861.55,0,0
1272.N,D,20160629,000000,871.18,871.18,871.18,871.18,0,0
1272.N,D,20160630,000000,884.28,884.28,884.28,884.28,0,0
1272.N,D,20160704,000000,891.32,891.32,891.32,891.32,0,0
1272.N,D,20160705,000000,883.39,883.39,883.39,883.39,0,0
1272.N,D,20160706,000000,878.44,878.44,878.44,878.44,0,0
1272.N,D,20160707,000000,885.5,885.5,885.5,885.5,0,0
1272.N,D,20160708,000000,881.76,881.76,881.76,881.76,0,0
1272.N,D,20160711,000000,892.79,892.79,892.79,892.79,0,0
1272.N,D,20160712,000000,897.97,897.97,897.97,897.97,0,0
1272.N,D,20160713,000000,901.35,901.35,901.35,901.35,0,0
1272.N,D,20160714,000000,906.88,906.88,906.88,906.88,0,0
1272.N,D,20160715,000000,909.2,909.2,909.2,909.2,0,0
1272.N,D,20160718,000000,912.51,912.51,912.51,912.51,0,0
1272.N,D,20160719,000000,909.8,909.8,909.8,909.8,0,0
1272.N,D,20160720,000000,913.64,913.64,913.64,913.64,0,0
1272.N,D,20160721,000000,918.53,918.53,918.53,918.53,0,0
1272.N,D,20160722,000000,918.7,918.7,918.7,918.7,0,0
1272.N,D,20160725,000000,921.88,921.88,921.88,921.88,0,0
1272.N,D,20160726,000000,924.82,924.82,924.82,924.82,0,0
1272.N,D,20160727,000000,925.15,925.15,925.15,925.15,0,0
1272.N,D,20160728,000000,923.8,923.8,923.8,923.8,0,0
1272.N,D,20160729,000000,922.13,922.13,922.13,922.13,0,0
1272.N,D,20160801,000000,930.25,930.25,930.25,930.25,0,0
1272.N,D,20160802,000000,926.78,926.78,926.78,926.78,0,0
1272.N,D,20160803,000000,916.07,916.07,916.07,916.07,0,0
1272.N,D,20160804,000000,920.8,920.8,920.8,920.8,0,0
1272.N,D,20160805,000000,925.83,925.83,925.83,925.83,0,0
1272.N,D,20160808,000000,936.8,936.8,936.8,936.8,0,0
1272.N,D,20160809,000000,936.22,936.22,936.22,936.22,0,0
1272.N,D,20160810,000000,937.53,937.53,937.53,937.53,0,0
1272.N,D,20160811,000000,938.63,938.63,938.63,938.63,0,0
1272.N,D,20160812,000000,941.02,941.02,941.02,941.02,0,0
1272.N,D,20160816,000000,938.85,938.85,938.85,938.85,0,0
1272.N,D,20160817,000000,933.17,933.17,933.17,933.17,0,0
1272.N,D,20160818,000000,934.56,934.56,934.56,934.56,0,0
1272.N,D,20160819,000000,932.17,932.17,932.17,932.17,0,0
1272.N,D,20160822,000000,930.46,930.46,930.46,930.46,0,0
1272.N,D,20160823,000000,933.39,933.39,933.39,933.39,0,0
