<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JRH_PE,D,20121128,000000,14.3,14.3,14.3,14.3,0,0
JRH_PE,D,20121129,000000,12.6,12.6,11.9,11.9,0,0
JRH_PE,D,20121130,000000,11.9,11.9,9.5,9.6,0,0
JRH_PE,D,20121203,000000,10.5,10.5,10.4,10.4,0,0
JRH_PE,D,20121204,000000,10.2,11.5,10.2,11,0,0
JRH_PE,D,20121205,000000,11,11,9.6,10.8,0,0
JRH_PE,D,20121206,000000,10.9,11,10.9,11,0,0
JRH_PE,D,20121210,000000,9.9,9.9,9.2,9.2,0,0
JRH_PE,D,20121212,000000,5.9,5.9,5.9,5.9,0,0
JRH_PE,D,20121213,000000,5.9,5.9,5.8,5.8,0,0
JRH_PE,D,20121214,000000,5.8,5.8,5.8,5.8,0,0
JRH_PE,D,20121217,000000,6.1,6.4,6,6.1,0,0
JRH_PE,D,20121218,000000,6.1,6.4,6.1,6.2,0,0
JRH_PE,D,20121219,000000,6.4,6.7,6.1,6.7,0,0
JRH_PE,D,20121227,000000,6.5,7,6.5,7,0,0
JRH_PE,D,20121228,000000,7,7.7,7,7.7,0,0
JRH_PE,D,20130102,000000,7.4,7.4,7.4,7.4,0,0
JRH_PE,D,20130103,000000,7.1,7.3,7.1,7.3,0,0
JRH_PE,D,20130104,000000,7.3,7.3,7.3,7.3,0,0
JRH_PE,D,20130107,000000,7.3,7.3,7,7,0,0
JRH_PE,D,20130108,000000,7,7,7,7,0,0
JRH_PE,D,20130110,000000,6.6,6.6,6.6,6.6,0,0
JRH_PE,D,20130114,000000,6.2,6.2,6.2,6.2,0,0
JRH_PE,D,20130115,000000,6.2,6.2,6.2,6.2,0,0
JRH_PE,D,20130118,000000,6.6,7.3,6.6,7.3,0,0
JRH_PE,D,20130121,000000,6.7,6.7,6.7,6.7,0,0
JRH_PE,D,20130122,000000,7.1,7.1,7.1,7.1,0,0
JRH_PE,D,20130124,000000,6.6,6.6,6.4,6.4,0,0
JRH_PE,D,20130131,000000,6.9,6.9,6.9,6.9,0,0
JRH_PE,D,20130201,000000,6.9,7.3,6.9,7.3,0,0
JRH_PE,D,20130207,000000,7.1,7.2,7.1,7.2,0,0
JRH_PE,D,20130214,000000,7.2,7.2,6.3,6.3,0,0
JRH_PE,D,20130215,000000,6.4,6.4,6.4,6.4,0,0
JRH_PE,D,20130218,000000,6.4,7.1,6.2,7.1,0,0
JRH_PE,D,20130219,000000,7.1,7.4,7.1,7.4,0,0
JRH_PE,D,20130220,000000,6.9,7.7,6.8,7.2,0,0
JRH_PE,D,20130222,000000,6.8,7.3,6.8,6.8,0,0
JRH_PE,D,20130225,000000,7.2,7.2,6.6,6.6,0,0
JRH_PE,D,20130226,000000,6.8,7,6.8,7,0,0
JRH_PE,D,20130228,000000,6.5,6.6,6.5,6.6,0,0
JRH_PE,D,20130301,000000,6.6,6.6,6.6,6.6,0,0
JRH_PE,D,20130304,000000,6.6,6.6,6.6,6.6,0,0
JRH_PE,D,20130305,000000,6.6,6.6,6.6,6.6,0,0
JRH_PE,D,20130306,000000,6.6,6.9,6,6.8,0,0
JRH_PE,D,20130307,000000,5.9,6,5.9,6,0,0
JRH_PE,D,20130308,000000,6.4,6.4,6.4,6.4,0,0
JRH_PE,D,20130311,000000,6,6,6,6,0,0
JRH_PE,D,20130326,000000,6,6.3,6,6.2,0,0
JRH_PE,D,20130403,000000,4.9,4.9,4.9,4.9,0,0
JRH_PE,D,20130405,000000,4.9,6.2,4.9,6.2,0,0
JRH_PE,D,20130411,000000,5.7,6.1,5.7,6.1,0,0
JRH_PE,D,20130415,000000,7.3,8.7,7.3,8.7,0,0
JRH_PE,D,20130417,000000,7.1,7.6,7.1,7.6,0,0
JRH_PE,D,20130419,000000,7.1,7.1,6.3,6.9,0,0
JRH_PE,D,20130423,000000,6.3,6.9,6.3,6.9,0,0
JRH_PE,D,20130425,000000,6.1,6.6,5.6,6.6,0,0
JRH_PE,D,20130506,000000,5.6,5.6,5.6,5.6,0,0
JRH_PE,D,20130507,000000,5.5,6,4.8,6,0,0
JRH_PE,D,20130513,000000,6,6,6,6,0,0
JRH_PE,D,20130517,000000,6,6,6,6,0,0
JRH_PE,D,20130520,000000,6,6,6,6,0,0
JRH_PE,D,20130521,000000,4.8,5.3,4.7,5.3,0,0
JRH_PE,D,20130522,000000,5.5,6.2,5.5,6.2,0,0
JRH_PE,D,20130523,000000,6.2,6.2,6.2,6.2,0,0
