<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDI_PE,D,20180731,000000,102.3,102.3,102.3,102.3,0,0
DDI_PE,D,20180801,000000,96.5,101.9,91.5,101.9,0,0
DDI_PE,D,20180802,000000,104.1,104.9,92.1,92.1,0,0
DDI_PE,D,20180803,000000,97.1,97.1,86.1,91.6,0,0
DDI_PE,D,20180806,000000,91,91.8,74.3,84.7,0,0
DDI_PE,D,20180807,000000,87.7,90.2,82,85.9,0,0
DDI_PE,D,20180808,000000,88.1,90.2,82.4,85.1,0,0
DDI_PE,D,20180809,000000,86.9,86.9,82.8,85.9,0,0
DDI_PE,D,20180810,000000,84,86.1,82.4,85.5,0,0
DDI_PE,D,20180813,000000,85.7,85.7,79.5,85.1,0,0
DDI_PE,D,20180814,000000,85.2,85.2,77.9,82.6,0,0
DDI_PE,D,20180816,000000,82.4,82.4,75.9,81.8,0,0
DDI_PE,D,20180817,000000,81.6,81.6,75,80.6,0,0
DDI_PE,D,20180820,000000,80.7,93,79.5,88.8,0,0
DDI_PE,D,20180821,000000,89.3,89.3,84,88,0,0
DDI_PE,D,20180822,000000,86.9,86.9,80.7,83.9,0,0
DDI_PE,D,20180823,000000,84,84,78.7,80.6,0,0
DDI_PE,D,20180824,000000,81.1,84,81.1,83.9,0,0
DDI_PE,D,20180827,000000,84.4,84.4,79.1,82.6,0,0
DDI_PE,D,20180828,000000,82.4,82.4,76.7,80.2,0,0
DDI_PE,D,20180829,000000,79.5,79.5,73.8,79.4,0,0
DDI_PE,D,20180830,000000,75.8,77.9,73.8,77.7,0,0
DDI_PE,D,20180831,000000,77.6,83.7,77.6,82.6,0,0
DDI_PE,D,20180903,000000,84.5,84.5,81.2,81.4,0,0
DDI_PE,D,20180904,000000,75.8,84,75.8,83.9,0,0
DDI_PE,D,20180905,000000,83.6,83.6,79.9,82.6,0,0
DDI_PE,D,20180906,000000,76.3,77.1,69.8,75.7,0,0
DDI_PE,D,20180907,000000,77.5,77.5,70,70,0,0
DDI_PE,D,20180910,000000,70.5,70.5,68,68.7,0,0
DDI_PE,D,20180911,000000,69.4,73.6,69.4,73.6,0,0
DDI_PE,D,20180912,000000,73.5,76.1,73.5,76.1,0,0
DDI_PE,D,20180913,000000,77,84.4,77,81.8,0,0
DDI_PE,D,20180914,000000,83.2,83.6,79.5,81.8,0,0
DDI_PE,D,20180917,000000,77,81.6,77,81,0,0
DDI_PE,D,20180918,000000,77.9,77.9,74.6,76.9,0,0
DDI_PE,D,20180919,000000,76.2,82,76.2,81.4,0,0
DDI_PE,D,20180920,000000,81.1,82,80.6,80.6,0,0
DDI_PE,D,20180921,000000,80.7,84,79.9,81.8,0,0
DDI_PE,D,20180924,000000,82,83.6,78.7,80.2,0,0
DDI_PE,D,20180925,000000,83.2,83.2,81.4,81.4,0,0
DDI_PE,D,20180926,000000,82.8,82.8,77.9,81.8,0,0
DDI_PE,D,20180927,000000,77.9,79.9,74.2,76.1,0,0
