<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOK_PB,D,20171204,000000,7.38,7.38,7.38,7.38,0,0
DOK_PB,D,20171205,000000,6.98,7.38,5.6,7.38,0,0
DOK_PB,D,20171206,000000,5.59,6.4,5.59,5.83,0,0
DOK_PB,D,20171207,000000,6,6,5.87,5.87,0,0
DOK_PB,D,20171208,000000,5.9,6.3,5.9,6.3,0,0
DOK_PB,D,20171211,000000,6.3,6.3,5.94,5.94,0,0
DOK_PB,D,20171212,000000,5.94,6.1,5.94,6.1,0,0
DOK_PB,D,20171213,000000,6.13,6.13,6,6,0,0
DOK_PB,D,20171215,000000,6.38,6.38,6.38,6.38,0,0
DOK_PB,D,20171218,000000,6.38,6.38,6.38,6.38,0,0
DOK_PB,D,20171219,000000,6.38,6.38,6.38,6.38,0,0
DOK_PB,D,20171220,000000,6.38,6.38,5.79,5.79,0,0
DOK_PB,D,20171227,000000,6.08,6.38,6.08,6.38,0,0
DOK_PB,D,20171228,000000,6.21,6.21,5.9,5.9,0,0
DOK_PB,D,20171229,000000,5.9,5.9,5.9,5.9,0,0
DOK_PB,D,20180105,000000,5,5,5,5,0,0
DOK_PB,D,20180115,000000,5.21,5.32,5.14,5.32,0,0
DOK_PB,D,20180118,000000,5.37,5.37,5.37,5.37,0,0
DOK_PB,D,20180122,000000,5.4,6.05,5.4,6.05,0,0
DOK_PB,D,20180123,000000,6.05,7.4,6.05,7,0,0
DOK_PB,D,20180124,000000,7,7,7,7,0,0
DOK_PB,D,20180125,000000,6.71,6.71,6.6,6.6,0,0
DOK_PB,D,20180130,000000,6.32,6.32,6.05,6.08,0,0
DOK_PB,D,20180206,000000,6.32,6.4,6.32,6.4,0,0
DOK_PB,D,20180207,000000,6.4,6.4,6.4,6.4,0,0
DOK_PB,D,20180212,000000,6.4,6.4,6.4,6.4,0,0
DOK_PB,D,20180213,000000,6.4,6.88,6.4,6.88,0,0
DOK_PB,D,20180215,000000,6.77,6.77,6.77,6.77,0,0
DOK_PB,D,20180219,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180220,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180221,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180222,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180223,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180226,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180227,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180228,000000,6.52,6.52,6.52,6.52,0,0
DOK_PB,D,20180307,000000,6.35,6.52,5.25,6.52,0,0
DOK_PB,D,20180321,000000,5.25,6.05,5.25,6.05,0,0
DOK_PB,D,20180326,000000,5.55,5.55,5.55,5.55,0,0
DOK_PB,D,20180327,000000,5.67,5.67,5.67,5.67,0,0
DOK_PB,D,20180328,000000,5.67,5.67,5.67,5.67,0,0
DOK_PB,D,20180329,000000,5.67,5.67,5.67,5.67,0,0
DOK_PB,D,20180403,000000,5.67,5.92,5.67,5.92,0,0
DOK_PB,D,20180404,000000,5.92,5.92,5.92,5.92,0,0
DOK_PB,D,20180405,000000,6.08,6.13,6.08,6.13,0,0
DOK_PB,D,20180406,000000,6.22,6.22,6.22,6.22,0,0
DOK_PB,D,20180409,000000,6.3,6.3,6.3,6.3,0,0
DOK_PB,D,20180410,000000,6.3,6.52,6.3,6.52,0,0
DOK_PB,D,20180411,000000,6.6,6.6,6.6,6.6,0,0
DOK_PB,D,20180416,000000,6.6,6.6,6.6,6.6,0,0
DOK_PB,D,20180511,000000,5.7,5.7,5.7,5.7,0,0
