<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EPR_PB,D,20181029,000000,1.24,1.24,1.24,1.24,0,0
EPR_PB,D,20181030,000000,1.22,1.24,0.98,0.98,0,0
EPR_PB,D,20181031,000000,1.08,1.23,1.08,1.17,0,0
EPR_PB,D,20181102,000000,1.15,1.15,1.15,1.15,0,0
EPR_PB,D,20181108,000000,1.05,1.05,1.05,1.05,0,0
EPR_PB,D,20181113,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181114,000000,1.01,1.01,1.01,1.01,0,0
EPR_PB,D,20181115,000000,1.01,1.01,1.01,1.01,0,0
EPR_PB,D,20181119,000000,1.01,1.01,1,1,0,0
EPR_PB,D,20181121,000000,1.01,1.01,1.01,1.01,0,0
EPR_PB,D,20181126,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181128,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181129,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181130,000000,1.03,1.03,1.03,1.03,0,0
EPR_PB,D,20181203,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181205,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181207,000000,1.04,1.11,1.04,1.11,0,0
EPR_PB,D,20181210,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181211,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181212,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181213,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181214,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181217,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181218,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181219,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181220,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181221,000000,1.04,1.04,1.04,1.04,0,0
EPR_PB,D,20181227,000000,1.08,1.22,1.08,1.22,0,0
EPR_PB,D,20190102,000000,1.22,1.46,1.22,1.46,0,0
EPR_PB,D,20190103,000000,1.38,1.38,1.32,1.38,0,0
