<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MVR_MV,D,20101228,000000,10.17,10.17,10.17,10.17,0,0
MVR_MV,D,20101230,000000,22.04,22.04,22.04,22.04,0,0
MVR_MV,D,20101231,000000,24.25,29.1,24.25,29.1,0,0
MVR_MV,D,20110103,000000,34.92,41.9,34.92,41.63,0,0
MVR_MV,D,20110104,000000,41.63,49.72,41.63,49.72,0,0
MVR_MV,D,20110105,000000,50.62,51.08,39.55,39.55,0,0
MVR_MV,D,20110107,000000,39.54,42.93,25.99,42.93,0,0
MVR_MV,D,20110110,000000,37.29,44.07,37.29,41.81,0,0
MVR_MV,D,20110111,000000,41.53,41.81,37.35,41.81,0,0
MVR_MV,D,20110112,000000,41.81,42.38,41.81,42.32,0,0
MVR_MV,D,20110113,000000,42.38,56.5,42.38,56.5,0,0
MVR_MV,D,20110114,000000,56.5,67.46,56.5,65.09,0,0
MVR_MV,D,20110117,000000,66.44,74.58,53.16,67.8,0,0
MVR_MV,D,20110118,000000,72.32,72.32,59.89,63.28,0,0
MVR_MV,D,20110119,000000,62.15,88.03,58.2,88.03,0,0
MVR_MV,D,20110120,000000,84.74,84.74,64.42,64.42,0,0
MVR_MV,D,20110121,000000,64.42,64.42,51.54,51.54,0,0
MVR_MV,D,20110124,000000,41.23,42.94,33,33,0,0
MVR_MV,D,20110125,000000,32.63,34.47,26.79,26.79,0,0
MVR_MV,D,20110126,000000,28.7,29.38,25.43,26.56,0,0
MVR_MV,D,20110127,000000,26.56,26.77,23.73,24.62,0,0
MVR_MV,D,20110128,000000,21.92,21.92,21.92,21.92,0,0
MVR_MV,D,20110131,000000,21.8,24.3,20.34,23.84,0,0
MVR_MV,D,20110201,000000,23.17,25.31,22.04,25.26,0,0
MVR_MV,D,20110202,000000,23.73,23.73,22.37,22.37,0,0
MVR_MV,D,20110203,000000,22.6,22.6,19.68,22.04,0,0
MVR_MV,D,20110204,000000,22.6,23.9,21.7,23.9,0,0
MVR_MV,D,20110207,000000,24.86,24.86,23.56,23.73,0,0
MVR_MV,D,20110208,000000,22.6,23.73,21.58,22.49,0,0
MVR_MV,D,20110209,000000,22.48,23.21,21.19,21.92,0,0
MVR_MV,D,20110210,000000,21.47,21.87,19.29,19.29,0,0
MVR_MV,D,20110211,000000,19.78,20.55,18.65,20.55,0,0
MVR_MV,D,20110214,000000,20.91,21.13,19.27,20.91,0,0
MVR_MV,D,20110215,000000,19.21,20.57,18.09,18.19,0,0
MVR_MV,D,20110216,000000,18.42,18.65,17.57,18.65,0,0
MVR_MV,D,20110217,000000,18.29,19.78,16.5,17.44,0,0
MVR_MV,D,20110218,000000,16.61,18.53,16.61,17.63,0,0
MVR_MV,D,20110221,000000,16.89,17.11,16.61,16.61,0,0
MVR_MV,D,20110222,000000,16.62,18.87,16.62,18.08,0,0
MVR_MV,D,20110223,000000,16.95,17.97,16.95,17.93,0,0
MVR_MV,D,20110224,000000,17.06,17.57,16.39,16.39,0,0
MVR_MV,D,20110225,000000,16.67,16.9,15.88,16.9,0,0
MVR_MV,D,20110228,000000,16.92,17.27,16.05,16.69,0,0
MVR_MV,D,20110301,000000,16.43,16.89,15.61,16.39,0,0
MVR_MV,D,20110302,000000,16.39,16.39,15.26,16.31,0,0
MVR_MV,D,20110303,000000,16.22,16.61,15.72,15.72,0,0
MVR_MV,D,20110304,000000,15.83,19.1,15.27,19.1,0,0
MVR_MV,D,20110307,000000,19.21,20.11,16.95,18.31,0,0
MVR_MV,D,20110308,000000,17.85,18.08,16.95,17.85,0,0
MVR_MV,D,20110309,000000,17.85,24.86,16.95,20.34,0,0
MVR_MV,D,20110310,000000,20.45,21.81,19.23,20.74,0,0
