<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECC_PB,D,20190214,000000,14.72,14.72,9.4,12.29,0,0
ECC_PB,D,20190215,000000,12.91,15.49,12.91,14.1,0,0
ECC_PB,D,20190218,000000,13.89,13.89,10.07,10.69,0,0
ECC_PB,D,20190219,000000,11.31,11.31,9.45,9.45,0,0
ECC_PB,D,20190220,000000,9.29,10.33,9.29,9.91,0,0
ECC_PB,D,20190221,000000,9.6,9.81,9.5,9.81,0,0
ECC_PB,D,20190222,000000,9.81,10.22,9.29,9.6,0,0
ECC_PB,D,20190225,000000,9.24,9.55,8.83,8.88,0,0
ECC_PB,D,20190226,000000,8.78,9.29,8.78,9.24,0,0
ECC_PB,D,20190227,000000,9.24,9.45,8.78,9.04,0,0
ECC_PB,D,20190228,000000,9.04,9.14,8.83,9.04,0,0
ECC_PB,D,20190301,000000,9.19,9.81,8.93,9.65,0,0
ECC_PB,D,20190304,000000,9.65,11.23,9.65,10.69,0,0
ECC_PB,D,20190305,000000,10.64,12.65,10.64,12.29,0,0
ECC_PB,D,20190306,000000,12.49,14.35,12.49,14.35,0,0
ECC_PB,D,20190307,000000,14.46,14.46,12.91,13.17,0,0
ECC_PB,D,20190308,000000,13.43,13.43,12.13,13.16,0,0
ECC_PB,D,20190311,000000,13.16,13.17,11.88,12.38,0,0
ECC_PB,D,20190312,000000,12.39,12.59,11.39,11.79,0,0
ECC_PB,D,20190313,000000,11.79,12.55,11.36,12.39,0,0
ECC_PB,D,20190314,000000,12.39,12.55,11.93,12.24,0,0
ECC_PB,D,20190315,000000,12.39,12.91,11.62,12.55,0,0
ECC_PB,D,20190318,000000,12.65,13.17,11.52,11.94,0,0
ECC_PB,D,20190319,000000,11.88,12.24,11.88,12.24,0,0
ECC_PB,D,20190320,000000,12.24,12.6,12.19,12.48,0,0
ECC_PB,D,20190321,000000,12.86,12.86,12.13,12.55,0,0
ECC_PB,D,20190322,000000,12.75,13.01,12.4,12.4,0,0
ECC_PB,D,20190325,000000,12.4,12.45,11.9,12.2,0,0
ECC_PB,D,20190326,000000,12.23,12.23,11.88,12.1,0,0
ECC_PB,D,20190327,000000,12.1,12.1,11.46,11.8,0,0
ECC_PB,D,20190328,000000,11.95,12.15,11.41,12.15,0,0
ECC_PB,D,20190329,000000,11.8,12.3,11.8,12.15,0,0
ECC_PB,D,20190401,000000,12.29,12.89,12.25,12.79,0,0
ECC_PB,D,20190402,000000,12.84,13.79,12.59,12.59,0,0
ECC_PB,D,20190403,000000,13.14,13.14,12.41,12.7,0,0
ECC_PB,D,20190404,000000,12.93,13.29,12.75,12.84,0,0
ECC_PB,D,20190405,000000,13.39,14.12,12.89,14.07,0,0
ECC_PB,D,20190408,000000,14.03,14.53,13.46,14.48,0,0
ECC_PB,D,20190409,000000,14.38,14.38,13.91,13.91,0,0
