<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMA_PB,D,20140401,000000,8.15,8.15,8.15,8.15,0,0
EMA_PB,D,20140402,000000,7.3,10.19,7.3,10.19,0,0
EMA_PB,D,20140403,000000,12.22,14.6,10.19,14.6,0,0
EMA_PB,D,20140404,000000,17.52,21.02,17.52,21.02,0,0
EMA_PB,D,20140407,000000,21.9,26.28,21.9,26.28,0,0
EMA_PB,D,20140408,000000,28.18,40.58,28.18,40.58,0,0
EMA_PB,D,20140409,000000,41.43,49.71,33.14,33.14,0,0
EMA_PB,D,20140410,000000,37.35,37.35,30.57,37.01,0,0
EMA_PB,D,20140411,000000,35.04,40.07,34.64,34.64,0,0
EMA_PB,D,20140414,000000,35.31,35.31,30.56,30.56,0,0
EMA_PB,D,20140416,000000,33.61,33.61,33.61,33.61,0,0
EMA_PB,D,20140417,000000,30.9,30.9,29.2,29.2,0,0
EMA_PB,D,20140422,000000,28.47,33.61,28.47,33.61,0,0
EMA_PB,D,20140423,000000,32.77,34.09,32.77,34.09,0,0
EMA_PB,D,20140424,000000,34.64,35.31,33.96,33.96,0,0
EMA_PB,D,20140425,000000,35.31,38.71,35.31,38.71,0,0
EMA_PB,D,20140428,000000,33.96,33.96,33.96,33.96,0,0
EMA_PB,D,20140502,000000,37.35,38.71,37.35,38.71,0,0
EMA_PB,D,20140505,000000,38.71,54.33,38.71,54.33,0,0
EMA_PB,D,20140506,000000,43.8,45.26,42.1,45.26,0,0
EMA_PB,D,20140507,000000,45.5,54.33,45.5,54.33,0,0
EMA_PB,D,20140508,000000,54.33,78.1,54.33,78.1,0,0
EMA_PB,D,20140509,000000,78.1,93.04,78.1,87.26,0,0
EMA_PB,D,20140512,000000,87.26,87.26,67.91,67.91,0,0
EMA_PB,D,20140513,000000,64.52,76.06,52.29,74.7,0,0
EMA_PB,D,20140514,000000,73,81.49,73,81.49,0,0
EMA_PB,D,20140515,000000,76.4,88.28,76.4,78.1,0,0
EMA_PB,D,20140516,000000,78.98,79.05,77.42,77.42,0,0
EMA_PB,D,20140519,000000,76.74,76.74,76.74,76.74,0,0
EMA_PB,D,20140520,000000,76.06,76.06,76.06,76.06,0,0
EMA_PB,D,20140521,000000,81.77,81.77,81.77,81.77,0,0
EMA_PB,D,20140522,000000,88.28,101.87,88.28,101.87,0,0
EMA_PB,D,20140523,000000,95.04,95.04,81.77,91.68,0,0
EMA_PB,D,20140526,000000,95.07,95.07,95.07,95.07,0,0
EMA_PB,D,20140527,000000,95.07,95.07,88.97,88.97,0,0
EMA_PB,D,20140528,000000,88.49,88.49,88.49,88.49,0,0
EMA_PB,D,20140529,000000,84.89,84.89,67.91,84.89,0,0
EMA_PB,D,20140530,000000,84.82,84.82,71.31,71.31,0,0
EMA_PB,D,20140602,000000,69.95,76.74,56.02,56.37,0,0
EMA_PB,D,20140603,000000,58.4,59.76,58.4,59.76,0,0
EMA_PB,D,20140604,000000,61.12,63.84,59.08,59.08,0,0
EMA_PB,D,20140605,000000,58.06,58.4,58.06,58.4,0,0
EMA_PB,D,20140606,000000,56.95,57.04,55.35,57.04,0,0
EMA_PB,D,20140609,000000,56.36,57.73,56.36,57.73,0,0
EMA_PB,D,20140610,000000,54.33,54.33,54.33,54.33,0,0
EMA_PB,D,20140612,000000,52.97,52.97,33.96,33.96,0,0
EMA_PB,D,20140613,000000,33.96,40.75,27.16,29.19,0,0
EMA_PB,D,20140616,000000,27.16,27.16,23.77,23.77,0,0
EMA_PB,D,20140617,000000,24.45,24.45,20.37,23.36,0,0
EMA_PB,D,20140618,000000,25.11,27.01,25.11,27.01,0,0
EMA_PB,D,20140620,000000,27.74,31.24,27.74,31.24,0,0
EMA_PB,D,20140623,000000,31.24,37.49,31.24,37.49,0,0
EMA_PB,D,20140624,000000,36.5,43.8,36.5,43.8,0,0
EMA_PB,D,20140625,000000,45.99,54.02,36.5,36.5,0,0
EMA_PB,D,20140626,000000,35.33,38.32,28.26,28.48,0,0
EMA_PB,D,20140627,000000,27.74,39.94,27.08,39.86,0,0
EMA_PB,D,20140630,000000,39.78,47.45,31.46,31.46,0,0
EMA_PB,D,20140701,000000,33.68,35.77,28.54,31.39,0,0
EMA_PB,D,20140702,000000,28.61,40.15,28.03,39.78,0,0
EMA_PB,D,20140703,000000,40.88,48.91,37.37,48.91,0,0
EMA_PB,D,20140704,000000,49.64,58.4,49.64,58.4,0,0
EMA_PB,D,20140707,000000,51.83,72.99,47.45,72.99,0,0
EMA_PB,D,20140708,000000,72.99,105.11,72.99,105.11,0,0
EMA_PB,D,20140709,000000,109.49,156.94,109.49,156.94,0,0
EMA_PB,D,20140710,000000,166.43,197.09,138.69,197.09,0,0
EMA_PB,D,20140711,000000,162.05,189.79,162.05,189.79,0,0
EMA_PB,D,20140714,000000,154.02,189.79,145.99,189.79,0,0
EMA_PB,D,20140715,000000,182.49,189.79,167.89,189.79,0,0
EMA_PB,D,20140716,000000,182.49,189.79,145.99,189.79,0,0
EMA_PB,D,20140717,000000,182.49,189.79,176.65,189.79,0,0
EMA_PB,D,20140718,000000,189.79,217.52,152.19,176.65,0,0
EMA_PB,D,20140721,000000,175.19,175.19,149.64,149.64,0,0
EMA_PB,D,20140722,000000,149.64,149.64,149.64,149.64,0,0
EMA_PB,D,20140723,000000,149.64,149.64,145.99,145.99,0,0
EMA_PB,D,20140724,000000,145.99,145.99,116.79,120.44,0,0
EMA_PB,D,20140725,000000,124.09,124.09,124.09,124.09,0,0
EMA_PB,D,20140728,000000,124.09,145.99,124.09,145.99,0,0
EMA_PB,D,20140729,000000,145.99,175.19,93.58,93.58,0,0
EMA_PB,D,20140730,000000,98.55,111.68,78.83,78.83,0,0
EMA_PB,D,20140731,000000,72.99,82.49,58.4,58.4,0,0
EMA_PB,D,20140801,000000,54.02,54.02,43.8,43.8,0,0
EMA_PB,D,20140804,000000,42.41,42.41,27.14,27.14,0,0
EMA_PB,D,20140805,000000,28.06,32.85,17.96,18.39,0,0
EMA_PB,D,20140806,000000,17.88,25.75,16.13,25.55,0,0
EMA_PB,D,20140807,000000,28.1,33.7,27.74,33.7,0,0
EMA_PB,D,20140808,000000,40.15,43.06,22.63,22.63,0,0
EMA_PB,D,20140811,000000,22.63,32.42,21.4,32.42,0,0
EMA_PB,D,20140812,000000,33.3,34.92,21.16,21.16,0,0
EMA_PB,D,20140813,000000,22.26,24.6,14.25,14.92,0,0
EMA_PB,D,20140814,000000,14.92,14.92,12.73,14.84,0,0
EMA_PB,D,20140818,000000,16.02,18.27,14.46,14.92,0,0
EMA_PB,D,20140819,000000,14.92,16.03,11.93,11.93,0,0
EMA_PB,D,20140820,000000,12.46,12.68,9.04,9.42,0,0
EMA_PB,D,20140821,000000,9.79,10.89,6.86,10.89,0,0
EMA_PB,D,20140822,000000,10.87,11.91,9.7,9.79,0,0
EMA_PB,D,20140825,000000,10.44,10.44,8.43,9.04,0,0
EMA_PB,D,20140826,000000,8.58,9.66,8.5,9.32,0,0
EMA_PB,D,20140827,000000,9.46,13.2,9.32,11.19,0,0
