<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MO2_PE,D,20151125,000000,32.4,32.4,32.4,32.4,0,0
MO2_PE,D,20151126,000000,37.2,37.6,32.4,32.4,0,0
MO2_PE,D,20151207,000000,27.5,27.5,27.5,27.5,0,0
MO2_PE,D,20151215,000000,22.3,22.3,19.1,19.1,0,0
MO2_PE,D,20151221,000000,18.1,869.5,15.3,869.5,0,0
MO2_PE,D,20151223,000000,700,730.4,700,730.4,0,0
MO2_PE,D,20151228,000000,700,730.4,700,730.4,0,0
MO2_PE,D,20151230,000000,833.3,869.5,833.3,869.5,0,0
MO2_PE,D,20160104,000000,1000,1043.4,1000,1043.4,0,0
MO2_PE,D,20160107,000000,1200,1495.5,1200,1495.5,0,0
MO2_PE,D,20160108,000000,1566.7,1704.2,1566.7,1704.2,0,0
MO2_PE,D,20160112,000000,1500,1500,1266.7,1460.8,0,0
MO2_PE,D,20160119,000000,1166.7,1166.7,1050,1095.6,0,0
MO2_PE,D,20160127,000000,950,991.2,950,991.2,0,0
MO2_PE,D,20160129,000000,950,991.2,950,991.2,0,0
MO2_PE,D,20160210,000000,950,991.2,950,991.2,0,0
MO2_PE,D,20160215,000000,950,991.2,950,991.2,0,0
MO2_PE,D,20180607,000000,188.9,190.2,188.9,190.2,0,0
MO2_PE,D,20180612,000000,155.6,156.6,155.6,156.6,0,0
MO2_PE,D,20180628,000000,138.9,138.9,116.7,117.5,0,0
MO2_PE,D,20190619,000000,1000,1000,902.9,902.9,0,0
MO2_PE,D,20190621,000000,1200,1200,1083.5,1083.5,0,0
MO2_PE,D,20190703,000000,1000,1000,722.3,722.3,0,0
MO2_PE,D,20190729,000000,800,800,722.3,722.3,0,0
MO2_PE,D,20190730,000000,800,800,722.3,722.3,0,0
MO2_PE,D,20190805,000000,800,800,722.3,722.3,0,0
MO2_PE,D,20210212,000000,6.5,6.5,6.5,6.5,0,0
