<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_GRY,D,20161230,000000,5175.4,5175.4,5175.4,5175.4,0,0
WIG_GRY,D,20170102,000000,5203.58,5203.58,5203.58,5203.58,0,0
WIG_GRY,D,20170103,000000,5187.92,5187.92,5187.92,5187.92,0,0
WIG_GRY,D,20170104,000000,5177.97,5177.97,5177.97,5177.97,0,0
WIG_GRY,D,20170105,000000,5192.77,5192.77,5192.77,5192.77,0,0
WIG_GRY,D,20170109,000000,5238.5,5238.5,5238.5,5238.5,0,0
WIG_GRY,D,20170110,000000,5255.1,5255.1,5255.1,5255.1,0,0
WIG_GRY,D,20170111,000000,5377.53,5377.53,5377.53,5377.53,0,0
WIG_GRY,D,20170112,000000,5397.95,5397.95,5397.95,5397.95,0,0
WIG_GRY,D,20170113,000000,5313.74,5313.74,5313.74,5313.74,0,0
WIG_GRY,D,20170116,000000,5408.18,5408.18,5408.18,5408.18,0,0
WIG_GRY,D,20170117,000000,5422.21,5422.21,5422.21,5422.21,0,0
WIG_GRY,D,20170118,000000,5414.64,5414.64,5414.64,5414.64,0,0
WIG_GRY,D,20170119,000000,5498.49,5498.49,5498.49,5498.49,0,0
WIG_GRY,D,20170120,000000,5679.04,5679.04,5679.04,5679.04,0,0
WIG_GRY,D,20170123,000000,5737.63,5737.63,5737.63,5737.63,0,0
WIG_GRY,D,20170124,000000,5786.83,5786.83,5786.83,5786.83,0,0
WIG_GRY,D,20170125,000000,5809.77,5809.77,5809.77,5809.77,0,0
WIG_GRY,D,20170126,000000,5796.75,5796.75,5796.75,5796.75,0,0
WIG_GRY,D,20170127,000000,5765.03,5765.03,5765.03,5765.03,0,0
WIG_GRY,D,20170130,000000,5744.18,5744.18,5744.18,5744.18,0,0
WIG_GRY,D,20170131,000000,5723.09,5723.09,5723.09,5723.09,0,0
WIG_GRY,D,20170201,000000,5762.89,5762.89,5762.89,5762.89,0,0
WIG_GRY,D,20170202,000000,5779.16,5779.16,5779.16,5779.16,0,0
WIG_GRY,D,20170203,000000,5736.83,5736.83,5736.83,5736.83,0,0
WIG_GRY,D,20170206,000000,5830.37,5830.37,5830.37,5830.37,0,0
WIG_GRY,D,20170207,000000,6007.71,6007.71,6007.71,6007.71,0,0
WIG_GRY,D,20170208,000000,6138.79,6138.79,6138.79,6138.79,0,0
WIG_GRY,D,20170209,000000,6251.6,6251.6,6251.6,6251.6,0,0
WIG_GRY,D,20170210,000000,6429.01,6429.01,6429.01,6429.01,0,0
WIG_GRY,D,20170213,000000,6672.86,6672.86,6672.86,6672.86,0,0
WIG_GRY,D,20170214,000000,6654.42,6654.42,6654.42,6654.42,0,0
WIG_GRY,D,20170215,000000,6669.83,6669.83,6669.83,6669.83,0,0
WIG_GRY,D,20170216,000000,6660.53,6660.53,6660.53,6660.53,0,0
WIG_GRY,D,20170217,000000,6622.5,6622.5,6622.5,6622.5,0,0
WIG_GRY,D,20170220,000000,6702.42,6702.42,6702.42,6702.42,0,0
WIG_GRY,D,20170221,000000,7112.36,7112.36,7112.36,7112.36,0,0
WIG_GRY,D,20170222,000000,6985.14,6985.14,6985.14,6985.14,0,0
WIG_GRY,D,20170223,000000,7142.32,7142.32,7142.32,7142.32,0,0
WIG_GRY,D,20170224,000000,6840.42,6840.42,6840.42,6840.42,0,0
WIG_GRY,D,20170227,000000,6930.74,6930.74,6930.74,6930.74,0,0
WIG_GRY,D,20170228,000000,6794,6794,6794,6794,0,0
WIG_GRY,D,20170301,000000,7114.7,7114.7,7114.7,7114.7,0,0
WIG_GRY,D,20170302,000000,7081.54,7081.54,7081.54,7081.54,0,0
WIG_GRY,D,20170303,000000,7013.46,7013.46,7013.46,7013.46,0,0
WIG_GRY,D,20170306,000000,6849.83,6849.83,6849.83,6849.83,0,0
WIG_GRY,D,20170307,000000,6998.29,6998.29,6998.29,6998.29,0,0
WIG_GRY,D,20170308,000000,6985.2,6985.2,6985.2,6985.2,0,0
WIG_GRY,D,20170309,000000,6914.19,6914.19,6914.19,6914.19,0,0
WIG_GRY,D,20170310,000000,6997.67,6997.67,6997.67,6997.67,0,0
WIG_GRY,D,20170313,000000,6995.05,6995.05,6995.05,6995.05,0,0
WIG_GRY,D,20170314,000000,7084.35,7084.35,7084.35,7084.35,0,0
WIG_GRY,D,20170315,000000,7080.81,7080.81,7080.81,7080.81,0,0
WIG_GRY,D,20170316,000000,7264.29,7264.29,7264.29,7264.29,0,0
WIG_GRY,D,20170317,000000,7346.8,7346.8,7346.8,7346.8,0,0
WIG_GRY,D,20170320,000000,7300.95,7300.95,7300.95,7300.95,0,0
WIG_GRY,D,20170321,000000,7278.49,7278.49,7278.49,7278.49,0,0
WIG_GRY,D,20170322,000000,7087.05,7087.05,7087.05,7087.05,0,0
WIG_GRY,D,20170323,000000,7237.66,7237.66,7237.66,7237.66,0,0
WIG_GRY,D,20170324,000000,7237.23,7237.23,7237.23,7237.23,0,0
WIG_GRY,D,20170327,000000,7102.23,7102.23,7102.23,7102.23,0,0
WIG_GRY,D,20170328,000000,7043.21,7043.21,7043.21,7043.21,0,0
WIG_GRY,D,20170329,000000,6985.05,6985.05,6985.05,6985.05,0,0
WIG_GRY,D,20170330,000000,7138.75,7138.75,7138.75,7138.75,0,0
WIG_GRY,D,20170331,000000,7122.8,7122.8,7122.8,7122.8,0,0
WIG_GRY,D,20170403,000000,7087.81,7087.81,7087.81,7087.81,0,0
WIG_GRY,D,20170404,000000,7081.62,7081.62,7081.62,7081.62,0,0
WIG_GRY,D,20170405,000000,7072.64,7072.64,7072.64,7072.64,0,0
WIG_GRY,D,20170406,000000,7014.49,7014.49,7014.49,7014.49,0,0
WIG_GRY,D,20170407,000000,6994.78,6994.78,6994.78,6994.78,0,0
WIG_GRY,D,20170410,000000,6736.39,6736.39,6736.39,6736.39,0,0
WIG_GRY,D,20170411,000000,6479.02,6479.02,6479.02,6479.02,0,0
WIG_GRY,D,20170412,000000,6465.39,6465.39,6465.39,6465.39,0,0
WIG_GRY,D,20170413,000000,6342.04,6342.04,6342.04,6342.04,0,0
WIG_GRY,D,20170418,000000,6466.47,6466.47,6466.47,6466.47,0,0
WIG_GRY,D,20170419,000000,6741.12,6741.12,6741.12,6741.12,0,0
