<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNPPGOLD1222.PL,D,20200110,000000,971.1,971.1,971.1,971.1,4,0
BNPPGOLD1222.PL,D,20200210,000000,977,977,977,977,36,0
BNPPGOLD1222.PL,D,20200306,000000,987.1,987.1,987.1,987.1,100,0
BNPPGOLD1222.PL,D,20200312,000000,988,988,986.5,986.5,550,0
BNPPGOLD1222.PL,D,20200316,000000,977.5,977.7,977.5,977.7,212,0
BNPPGOLD1222.PL,D,20200317,000000,984.1,984.1,984.1,984.1,100,0
BNPPGOLD1222.PL,D,20200408,000000,978.2,978.3,978.2,978.3,373,0
BNPPGOLD1222.PL,D,20200409,000000,970.9,970.9,970.9,970.9,40,0
BNPPGOLD1222.PL,D,20200420,000000,974.8,974.8,974.8,974.8,51,0
BNPPGOLD1222.PL,D,20200506,000000,978.7,978.7,978.7,978.7,190,0
BNPPGOLD1222.PL,D,20200615,000000,987.5,987.5,987.5,987.5,5,0
BNPPGOLD1222.PL,D,20200623,000000,988.5,988.5,988.5,988.5,100,0
BNPPGOLD1222.PL,D,20200703,000000,987.5,987.5,987.5,987.5,150,0
BNPPGOLD1222.PL,D,20200706,000000,987.5,987.5,987.5,987.5,52,0
BNPPGOLD1222.PL,D,20200714,000000,992.5,992.5,992.5,992.5,150,0
BNPPGOLD1222.PL,D,20200716,000000,993,993,993,993,100,0
BNPPGOLD1222.PL,D,20200724,000000,996,996,996,996,73,0
BNPPGOLD1222.PL,D,20200811,000000,998,998,998,998,10,0
BNPPGOLD1222.PL,D,20200904,000000,997.5,997.5,997.5,997.5,166,0
BNPPGOLD1222.PL,D,20200914,000000,999,999,999,999,110,0
BNPPGOLD1222.PL,D,20200917,000000,999.5,999.5,999.5,999.5,107,0
BNPPGOLD1222.PL,D,20200924,000000,1001,1001,1001,1001,29,0
BNPPGOLD1222.PL,D,20201002,000000,1001,1001,1001,1001,10,0
BNPPGOLD1222.PL,D,20201006,000000,1000,1000,1000,1000,5,0
