<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCFL4GOLD1.PL,D,20200319,000000,7.33,7.33,7.33,7.33,150,0
RCFL4GOLD1.PL,D,20200324,000000,10.11,11.15,10.11,11.15,1580,0
RCFL4GOLD1.PL,D,20200326,000000,11.27,11.27,11,11,290,0
RCFL4GOLD1.PL,D,20200327,000000,10.22,10.22,10.22,10.22,60,0
RCFL4GOLD1.PL,D,20200330,000000,10.33,10.33,10.33,10.33,100,0
RCFL4GOLD1.PL,D,20200331,000000,10.1,10.1,10.1,10.1,100,0
RCFL4GOLD1.PL,D,20200403,000000,10.18,10.18,10.18,10.18,90,0
RCFL4GOLD1.PL,D,20200414,000000,13.5,13.5,13.5,13.5,100,0
RCFL4GOLD1.PL,D,20200416,000000,13.18,13.18,13.18,13.18,30,0
RCFL4GOLD1.PL,D,20200417,000000,11.82,11.82,11.82,11.82,350,0
RCFL4GOLD1.PL,D,20200420,000000,11.41,11.41,11.41,11.41,1000,0
RCFL4GOLD1.PL,D,20200423,000000,13.21,13.21,13.21,13.21,82,0
RCFL4GOLD1.PL,D,20200424,000000,13.17,13.17,13.17,13.17,40,0
RCFL4GOLD1.PL,D,20200427,000000,12.62,12.63,12.49,12.49,218,0
RCFL4GOLD1.PL,D,20200428,000000,12.14,12.14,12.14,12.14,150,0
RCFL4GOLD1.PL,D,20200513,000000,11.82,11.82,11.82,11.82,100,0
RCFL4GOLD1.PL,D,20200515,000000,12.99,12.99,12.99,12.99,20,0
RCFL4GOLD1.PL,D,20200518,000000,13.18,13.18,13.18,13.18,100,0
RCFL4GOLD1.PL,D,20200520,000000,12.98,12.98,12.98,12.98,20,0
RCFL4GOLD1.PL,D,20200527,000000,11.08,11.08,11.08,11.08,200,0
RCFL4GOLD1.PL,D,20200608,000000,10.24,10.24,10.24,10.24,300,0
RCFL4GOLD1.PL,D,20200610,000000,10.82,10.88,10.82,10.88,700,0
RCFL4GOLD1.PL,D,20200615,000000,11.08,11.08,11.08,11.08,900,0
RCFL4GOLD1.PL,D,20200624,000000,12.36,12.36,12.36,12.36,100,0
RCFL4GOLD1.PL,D,20200706,000000,12.88,12.88,12.88,12.88,30,0
RCFL4GOLD1.PL,D,20200708,000000,13.72,13.72,13.72,13.72,50,0
RCFL4GOLD1.PL,D,20200709,000000,13.34,13.34,13.34,13.34,15,0
RCFL4GOLD1.PL,D,20200720,000000,13.06,13.06,13.06,13.06,470,0
