<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLPKN04119.PL,D,20200131,000000,47.25,47.25,47.25,47.25,40,0
INTLPKN04119.PL,D,20200224,000000,41.26,41.26,41.26,41.26,40,0
INTLPKN04119.PL,D,20200309,000000,25.23,25.23,25.23,25.23,30,0
INTLPKN04119.PL,D,20200310,000000,23.65,23.65,23.65,23.65,180,0
INTLPKN04119.PL,D,20200311,000000,23.16,23.16,18.15,18.15,225,0
INTLPKN04119.PL,D,20200312,000000,16.71,16.71,15,15,252,0
INTLPKN04119.PL,D,20200313,000000,17.63,20.92,17.63,20.42,537,0
INTLPKN04119.PL,D,20200316,000000,14.8,20.05,14.7,19,4720,0
INTLPKN04119.PL,D,20200317,000000,21.72,21.74,19.79,20.6,4180,0
INTLPKN04119.PL,D,20200318,000000,19.56,21.2,18.5,19.44,448,0
INTLPKN04119.PL,D,20200319,000000,20.82,20.82,20,20.32,254,0
INTLPKN04119.PL,D,20200320,000000,24.45,24.45,24.45,24.45,500,0
INTLPKN04119.PL,D,20200323,000000,20.53,22.9,20.53,22.4,335,0
INTLPKN04119.PL,D,20200324,000000,23.32,23.32,21.3,21.7,635,0
INTLPKN04119.PL,D,20200325,000000,23,23.33,21.3,21.7,516,0
INTLPKN04119.PL,D,20200326,000000,22.09,22.09,22.09,22.09,10,0
INTLPKN04119.PL,D,20200330,000000,23.45,24,23.45,24,40,0
INTLPKN04119.PL,D,20200331,000000,24.69,25.66,24.31,25.66,60,0
INTLPKN04119.PL,D,20200401,000000,26.91,26.91,26.91,26.91,20,0
INTLPKN04119.PL,D,20200402,000000,31.8,31.8,31.09,31.09,104,0
INTLPKN04119.PL,D,20200403,000000,34.47,34.78,34.43,34.78,90,0
INTLPKN04119.PL,D,20200407,000000,38.6,38.6,38.6,38.6,45,0
INTLPKN04119.PL,D,20200416,000000,31.24,32,31.24,31.82,104,0
INTLPKN04119.PL,D,20200420,000000,32.01,32.01,32.01,32.01,20,0
INTLPKN04119.PL,D,20200421,000000,31.5,31.5,31.5,31.5,20,0
INTLPKN04119.PL,D,20200424,000000,32.62,32.62,32.62,32.62,20,0
INTLPKN04119.PL,D,20200427,000000,31.05,31.05,31.05,31.05,56,0
INTLPKN04119.PL,D,20200428,000000,31.01,32.1,31.01,32.1,115,0
INTLPKN04119.PL,D,20200504,000000,31.59,31.59,31.59,31.59,20,0
INTLPKN04119.PL,D,20200505,000000,32.03,32.03,32.03,32.03,20,0
INTLPKN04119.PL,D,20200506,000000,29.12,30.27,29.12,30.27,40,0
INTLPKN04119.PL,D,20200526,000000,37.18,37.18,37.18,37.18,65,0
INTLPKN04119.PL,D,20200528,000000,37.64,37.64,37.64,37.64,65,0
INTLPKN04119.PL,D,20200529,000000,38.13,38.13,38.13,38.13,15,0
INTLPKN04119.PL,D,20200602,000000,38.55,38.55,38.55,38.55,15,0
INTLPKN04119.PL,D,20200610,000000,41.3,41.3,40.7,40.7,245,0
INTLPKN04119.PL,D,20200612,000000,37.55,37.55,37.55,37.55,205,0
INTLPKN04119.PL,D,20200615,000000,35.3,35.3,35.3,35.3,15,0
INTLPKN04119.PL,D,20200616,000000,36.85,36.85,36.85,36.85,15,0
INTLPKN04119.PL,D,20200618,000000,36.55,36.55,36.55,36.55,15,0
INTLPKN04119.PL,D,20200619,000000,37.75,37.75,37.75,37.75,15,0
INTLPKN04119.PL,D,20200625,000000,34.65,35.7,34.65,35.7,40,0
INTLPKN04119.PL,D,20200717,000000,30.9,30.9,30.45,30.45,50,0
INTLPKN04119.PL,D,20200720,000000,30.9,31.15,30.9,31.15,50,0
INTLPKN04119.PL,D,20200730,000000,26.8,26.8,25.1,25.1,40,0
INTLPKN04119.PL,D,20200731,000000,26,26,26,26,20,0
INTLPKN04119.PL,D,20200804,000000,25.15,25.15,25.15,25.15,10,0
INTLPKN04119.PL,D,20200811,000000,26.1,26.1,26.1,26.1,20,0
INTLPKN04119.PL,D,20200814,000000,27.45,27.45,27.45,27.45,20,0
INTLPKN04119.PL,D,20200817,000000,27.5,27.9,27.35,27.9,103,0
INTLPKN04119.PL,D,20200818,000000,26.25,26.25,26.25,26.25,10,0
INTLPKN04119.PL,D,20200819,000000,24.6,24.8,24.6,24.8,40,0
INTLPKN04119.PL,D,20200820,000000,25.65,26.15,25.65,25.75,130,0
INTLPKN04119.PL,D,20200821,000000,25,25,25,25,30,0
INTLPKN04119.PL,D,20200826,000000,26.45,26.45,26.45,26.45,30,0
INTLPKN04119.PL,D,20200827,000000,25.7,25.7,25.7,25.7,20,0
INTLPKN04119.PL,D,20200828,000000,24.6,24.6,24.6,24.6,30,0
INTLPKN04119.PL,D,20200831,000000,23.45,23.45,23.45,23.45,80,0
INTLPKN04119.PL,D,20200901,000000,22.05,22.5,22.05,22.3,200,0
INTLPKN04119.PL,D,20200902,000000,21.9,21.9,21.9,21.9,20,0
INTLPKN04119.PL,D,20200904,000000,22.05,22.05,22.05,22.05,40,0
INTLPKN04119.PL,D,20200908,000000,21.85,21.85,19.66,19.66,190,0
INTLPKN04119.PL,D,20200909,000000,20,20.45,20,20.45,40,0
INTLPKN04119.PL,D,20200910,000000,21.7,21.7,20.7,20.7,220,0
INTLPKN04119.PL,D,20200914,000000,21.45,21.45,21.45,21.45,50,0
INTLPKN04119.PL,D,20200916,000000,20.05,20.05,19.44,19.44,90,0
INTLPKN04119.PL,D,20200921,000000,18.76,18.76,18.04,18.26,320,0
INTLPKN04119.PL,D,20200922,000000,17.08,17.44,16.66,17.24,1709,0
INTLPKN04119.PL,D,20200923,000000,17.64,17.64,17.64,17.64,30,0
INTLPKN04119.PL,D,20200924,000000,16.32,16.32,15.7,15.7,175,0
INTLPKN04119.PL,D,20200925,000000,15.8,16.3,15.8,16.3,180,0
INTLPKN04119.PL,D,20200928,000000,18.1,18.1,18,18,1035,0
INTLPKN04119.PL,D,20201002,000000,15.86,15.86,15.52,15.52,75,0
INTLPKN04119.PL,D,20201005,000000,17.36,17.36,17.36,17.36,25,0
INTLPKN04119.PL,D,20201006,000000,18.32,18.32,18.32,18.32,50,0
INTLPKN04119.PL,D,20201013,000000,15,15.46,14.88,15.46,265,0
INTLPKN04119.PL,D,20201014,000000,15,15,14.9,14.9,366,0
INTLPKN04119.PL,D,20201015,000000,13.82,13.82,12.56,12.58,9820,0
INTLPKN04119.PL,D,20201016,000000,12.3,13.88,12,13.88,1579,0
INTLPKN04119.PL,D,20201019,000000,14.28,14.6,14,14.24,1165,0
INTLPKN04119.PL,D,20201020,000000,14.2,14.3,14.18,14.18,835,0
INTLPKN04119.PL,D,20201021,000000,14.16,14.16,14.16,14.16,250,0
INTLPKN04119.PL,D,20201022,000000,13.5,13.5,13.5,13.5,185,0
INTLPKN04119.PL,D,20201023,000000,13.14,13.4,13.14,13.4,450,0
INTLPKN04119.PL,D,20201026,000000,12.72,12.72,11.9,11.9,291,0
INTLPKN04119.PL,D,20201027,000000,11.54,11.54,9.67,9.67,5227,0
INTLPKN04119.PL,D,20201028,000000,9.05,9.61,9.05,9.54,1795,0
INTLPKN04119.PL,D,20201029,000000,10.36,10.36,9.67,9.67,1840,0
INTLPKN04119.PL,D,20201030,000000,9.35,9.35,9.35,9.35,500,0
INTLPKN04119.PL,D,20201103,000000,11.5,14.24,11.34,14.24,943,0
INTLPKN04119.PL,D,20201104,000000,13.74,13.74,12.4,12.4,305,0
INTLPKN04119.PL,D,20201105,000000,12.92,12.92,12.2,12.38,2490,0
INTLPKN04119.PL,D,20201106,000000,10.84,10.84,10.7,10.7,1050,0
INTLPKN04119.PL,D,20201109,000000,12.04,16.4,12.04,16.4,15384,0
INTLPKN04119.PL,D,20201110,000000,16.8,20.15,16.7,20.15,865,0
INTLPKN04119.PL,D,20201112,000000,18.68,18.68,17.3,17.3,1644,0
INTLPKN04119.PL,D,20201113,000000,17.06,17.14,16.8,17.1,780,0
INTLPKN04119.PL,D,20201116,000000,19.2,21,18.98,21,1740,0
INTLPKN04119.PL,D,20201117,000000,22.25,22.5,21.1,22.5,2567,0
INTLPKN04119.PL,D,20201118,000000,23,23.3,23,23.3,290,0
INTLPKN04119.PL,D,20201120,000000,20,20,20,20,55,0
INTLPKN04119.PL,D,20201123,000000,23.7,23.8,23.3,23.3,195,0
INTLPKN04119.PL,D,20201127,000000,24.5,24.5,24.5,24.5,90,0
INTLPKN04119.PL,D,20201130,000000,26.7,27.75,26.7,27.75,95,0
INTLPKN04119.PL,D,20201207,000000,29.7,31,29.7,31,155,0
INTLPKN04119.PL,D,20201208,000000,30.55,31.5,30.55,31.5,120,0
INTLPKN04119.PL,D,20201209,000000,33.7,33.7,33.1,33.1,48,0
INTLPKN04119.PL,D,20201210,000000,33.5,33.5,33.5,33.5,50,0
INTLPKN04119.PL,D,20201214,000000,32.3,33,32.3,33,1100,0
INTLPKN04119.PL,D,20201215,000000,31.25,31.25,31.25,31.25,32,0
INTLPKN04119.PL,D,20201217,000000,31.5,31.5,31.5,31.5,40,0
INTLPKN04119.PL,D,20201221,000000,28.5,28.5,26.3,26.8,1077,0
INTLPKN04119.PL,D,20201228,000000,31.1,31.1,31.1,31.1,33,0
INTLPKN04119.PL,D,20210104,000000,31.2,31.2,31.2,31.2,1030,0
INTLPKN04119.PL,D,20210105,000000,29.85,29.85,29.85,29.85,30,0
INTLPKN04119.PL,D,20210107,000000,33.05,33.05,33.05,33.05,52,0
