<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTLGLD30130.PL,D,20200414,000000,105.1,113,102.4,111.5,19135,0
INTLGLD30130.PL,D,20200415,000000,107.5,112.8,104.2,111.7,1290,0
INTLGLD30130.PL,D,20200416,000000,114.2,118.8,109.6,114.9,755,0
INTLGLD30130.PL,D,20200417,000000,103.3,103.3,98,98.2,906,0
INTLGLD30130.PL,D,20200420,000000,93.2,97.05,90.5,96.4,2446,0
INTLGLD30130.PL,D,20200421,000000,101.4,101.9,85.9,98.2,1650,0
INTLGLD30130.PL,D,20200422,000000,96.4,107.4,96.4,107.4,3150,0
INTLGLD30130.PL,D,20200423,000000,109.8,118,106.8,118,564,0
INTLGLD30130.PL,D,20200424,000000,116.1,116.1,107,108,264,0
INTLGLD30130.PL,D,20200427,000000,108.4,108.4,102.4,102.4,19,0
INTLGLD30130.PL,D,20200428,000000,102.7,107.6,101,101,285,0
INTLGLD30130.PL,D,20200429,000000,102.2,106.2,101.5,101.5,78,0
INTLGLD30130.PL,D,20200430,000000,109.2,110.6,99,102.1,243,0
INTLGLD30130.PL,D,20200504,000000,103.5,106,102.5,102.5,218,0
INTLGLD30130.PL,D,20200505,000000,99.4,104,99,99.9,65,0
INTLGLD30130.PL,D,20200506,000000,103.7,103.7,93.5,93.5,298,0
INTLGLD30130.PL,D,20200507,000000,97.3,99,97.3,99,26,0
INTLGLD30130.PL,D,20200508,000000,109.2,109.2,103.7,108.6,81,0
INTLGLD30130.PL,D,20200511,000000,100.3,101.5,95.85,100,84,0
INTLGLD30130.PL,D,20200512,000000,102.2,104.3,102.2,104.3,70,0
INTLGLD30130.PL,D,20200513,000000,103.8,108.3,103.8,108.3,84,0
INTLGLD30130.PL,D,20200514,000000,107.3,115.1,107.3,115.1,162,0
INTLGLD30130.PL,D,20200515,000000,116.4,118.1,114,117.7,65,0
INTLGLD30130.PL,D,20200518,000000,128.4,128.5,112.8,117.4,629,0
INTLGLD30130.PL,D,20200519,000000,113.9,113.9,113.2,113.2,15,0
INTLGLD30130.PL,D,20200520,000000,119.8,121.4,119.6,119.8,123,0
INTLGLD30130.PL,D,20200521,000000,113.2,113.2,106.6,106.6,41,0
INTLGLD30130.PL,D,20200522,000000,114,114.5,112.4,114.5,51,0
INTLGLD30130.PL,D,20200525,000000,111.1,111.1,111.1,111.1,5,0
INTLGLD30130.PL,D,20200526,000000,109.7,109.7,101,101,24,0
INTLGLD30130.PL,D,20200527,000000,101,101,94.2,97,147,0
INTLGLD30130.PL,D,20200528,000000,103.4,106.2,103.4,104.4,30,0
INTLGLD30130.PL,D,20200529,000000,104.6,104.6,104.6,104.6,40,0
INTLGLD30130.PL,D,20200601,000000,108.4,108.4,108.4,108.4,20,0
INTLGLD30130.PL,D,20200602,000000,108.4,110,107.4,110,47,0
INTLGLD30130.PL,D,20200603,000000,101,101,90.6,90.6,113,0
INTLGLD30130.PL,D,20200604,000000,96,99.1,96,96.8,165,0
INTLGLD30130.PL,D,20200605,000000,89,89,82.3,82.3,198,0
INTLGLD30130.PL,D,20200608,000000,91.2,91.3,90.2,90.2,48,0
INTLGLD30130.PL,D,20200609,000000,95.7,101.4,95.7,101.4,236,0
INTLGLD30130.PL,D,20200612,000000,107.8,109.8,106.8,109.8,79,0
INTLGLD30130.PL,D,20200615,000000,101,101.8,98,99,68,0
INTLGLD30130.PL,D,20200616,000000,102,104,102,102.8,79,0
INTLGLD30130.PL,D,20200617,000000,99.5,99.5,99.5,99.5,7,0
INTLGLD30130.PL,D,20200618,000000,107.2,107.2,101,101,37,0
INTLGLD30130.PL,D,20200619,000000,106.4,111.4,106.4,111.4,120,0
INTLGLD30130.PL,D,20200622,000000,112.4,113.4,111,113.4,99,0
INTLGLD30130.PL,D,20200623,000000,112.6,118.4,112.6,118.4,100,0
INTLGLD30130.PL,D,20200624,000000,120,123,116.2,119.4,232,0
INTLGLD30130.PL,D,20200625,000000,117,117,116.8,116.8,126,0
INTLGLD30130.PL,D,20200626,000000,120,120,115,115,16,0
INTLGLD30130.PL,D,20200629,000000,120.6,120.6,120.6,120.6,7,0
INTLGLD30130.PL,D,20200630,000000,123,123,122,122,20,0
INTLGLD30130.PL,D,20200701,000000,126.4,127.6,117.2,117.2,385,0
INTLGLD30130.PL,D,20200702,000000,120.8,125,116.4,125,234,0
INTLGLD30130.PL,D,20200703,000000,122.4,123.2,121.8,121.8,175,0
INTLGLD30130.PL,D,20200706,000000,124,127,123,127,167,0
INTLGLD30130.PL,D,20200707,000000,125.4,130.6,124.4,130.6,240,0
INTLGLD30130.PL,D,20200708,000000,133,136.2,133,136.2,18,0
INTLGLD30130.PL,D,20200709,000000,133.6,133.6,133.6,133.6,3,0
INTLGLD30130.PL,D,20200714,000000,128.2,128.2,128.2,128.2,1,0
INTLGLD30130.PL,D,20200715,000000,135,135,135,135,3,0
INTLGLD30130.PL,D,20200717,000000,130.8,130.8,130.8,130.8,30,0
INTLGLD30130.PL,D,20200721,000000,137.6,142.2,137.6,142.2,104,0
INTLGLD30130.PL,D,20200722,000000,145,145,145,145,10,0
INTLGLD30130.PL,D,20200723,000000,154.8,154.8,154.8,154.8,10,0
INTLGLD30130.PL,D,20200724,000000,162,162,162,162,10,0
INTLGLD30130.PL,D,20200727,000000,174.6,178,173.8,173.8,346,0
INTLGLD30130.PL,D,20200728,000000,177.4,179,168.8,179,255,0
INTLGLD30130.PL,D,20200729,000000,183.8,183.8,183.8,183.8,27,0
INTLGLD30130.PL,D,20200731,000000,186,187.8,183.8,183.8,58,0
INTLGLD30130.PL,D,20200804,000000,189.4,189.4,189.4,189.4,5,0
INTLGLD30130.PL,D,20200805,000000,207,212.5,206.5,212.5,199,0
